
[00:00:00.000 --> 00:00:06.960]  這段聖經的故事確實是一段很令人沉重的經文
[00:00:06.960 --> 00:00:10.760]  因為經文裡面說到我們的救主耶穌基督為人的緣故而死
[00:00:10.760 --> 00:00:15.760]  不知道大家是否相信這個世界是有鬼的呢?
[00:00:15.760 --> 00:00:19.760]  又或者不知道大家是否害怕鬼呢?
[00:00:19.760 --> 00:00:21.760]  我不是說在一個西方國家
[00:00:21.760 --> 00:00:25.500]  你在街上看到鬼佬或者是魔鬼撒旦
[00:00:25.500 --> 00:00:26.500]  我不是說這些
[00:00:26.500 --> 00:00:29.500]  我是說人死去之後的那個靈魂
[00:00:29.500 --> 00:00:36.000]  大家是否相信在世界上仍然會見到這些亡者的靈魂呢?
[00:00:36.000 --> 00:00:37.000]  你可能會說
[00:00:37.000 --> 00:00:38.500]  牧師當然不相信
[00:00:38.500 --> 00:00:41.000]  我們基督徒的聖經講得很清楚
[00:00:41.000 --> 00:00:45.000]  人死後的靈魂是在陰間裡面
[00:00:45.000 --> 00:00:48.000]  它們不可以來到我們這個世界
[00:00:48.000 --> 00:00:52.500]  好啊,這是基督教主流的思想
[00:00:52.500 --> 00:00:54.000]  那復活呢?
[00:00:54.000 --> 00:00:56.500]  大家是否相信復活呢?
[00:00:56.500 --> 00:01:00.000]  你相不相信人死了之後是會復活的?
[00:01:00.000 --> 00:01:01.000]  你都可能會說
[00:01:01.000 --> 00:01:02.500]  當然相信啦
[00:01:02.500 --> 00:01:05.500]  因為這是聖經講的嘛,對不對?
[00:01:05.500 --> 00:01:06.500]  那我問你
[00:01:06.500 --> 00:01:12.500]  你猜這個世界上相信死後靈魂仍在世間
[00:01:12.500 --> 00:01:16.000]  還是多過人相信復活的呢?
[00:01:16.000 --> 00:01:19.000]  哪一個類型的人會多一些呢?
[00:01:19.000 --> 00:01:20.500]  我嘗試上網看看
[00:01:20.500 --> 00:01:25.000]  我發覺上網找資料的時候很不一致
[00:01:25.000 --> 00:01:28.000]  有些地方就說更多人相信復活
[00:01:28.000 --> 00:01:29.500]  有些地方說不是
[00:01:29.500 --> 00:01:35.000]  更多人相信人的靈魂走在地上
[00:01:35.000 --> 00:01:36.500]  大家會有什麼經驗呢?
[00:01:36.500 --> 00:01:38.000]  我自己的經驗
[00:01:38.000 --> 00:01:41.000]  對我自己周圍的人的觀察
[00:01:41.000 --> 00:01:45.000]  我自己覺得更多人相信鬼魂
[00:01:45.000 --> 00:01:47.500]  多過復活的,對不對?
[00:01:47.500 --> 00:01:49.000]  你說不是吧?
[00:01:49.000 --> 00:01:51.500]  我不相信有鬼魂的
[00:01:51.500 --> 00:01:54.500]  所以我也不怕有鬼的
[00:01:54.500 --> 00:01:58.000]  曾經有一個人很不相信有鬼的
[00:01:58.000 --> 00:02:00.000]  他覺得自己不怕鬼的
[00:02:00.000 --> 00:02:07.000]  不過有一次偶然就需要走夜路
[00:02:07.000 --> 00:02:08.500]  經過一個墳場
[00:02:08.500 --> 00:02:10.000]  他就跟自己說
[00:02:10.000 --> 00:02:12.000]  去墳場,晚上有什麼問題呢?
[00:02:12.000 --> 00:02:15.000]  不怕不怕,沒有鬼的這個世界
[00:02:15.000 --> 00:02:17.000]  不過同一時間他心跳加速
[00:02:17.000 --> 00:02:19.000]  手心冒汗
[00:02:19.000 --> 00:02:21.000]  一邊走一邊害怕
[00:02:21.000 --> 00:02:25.000]  走到半路的時候不知道為什麼有些聲音
[00:02:25.000 --> 00:02:29.000]  原來發覺有聲音
[00:02:29.000 --> 00:02:35.000]  原來有一個老人家在半夜山間鑿石頭
[00:02:35.000 --> 00:02:36.000]  他就走到老人家那裡
[00:02:36.000 --> 00:02:37.000]  你有沒有搞錯?
[00:02:37.000 --> 00:02:40.000]  半夜山間你這樣嚇死人嗎?
[00:02:40.000 --> 00:02:45.000]  那個老人家就說
[00:02:45.000 --> 00:02:49.000]  他們鑿錯了我的名字
[00:02:49.000 --> 00:02:52.000]  當然是一個笑話
[00:02:52.000 --> 00:02:55.000]  但是我覺得這個笑話說了一個很有趣
[00:02:55.000 --> 00:02:59.000]  讓我們很多常忽略的事實
[00:02:59.000 --> 00:03:00.000]  這是什麼事實呢?
[00:03:00.000 --> 00:03:02.000]  這個事實就是說
[00:03:02.000 --> 00:03:05.000]  縱然有一些東西我們不相信
[00:03:05.000 --> 00:03:07.000]  但是很奇怪的
[00:03:07.000 --> 00:03:11.000]  這些東西仍然在影響我們的生活
[00:03:11.000 --> 00:03:13.000]  其實復活一樣
[00:03:13.000 --> 00:03:15.000]  我不管你信不信人會復活
[00:03:15.000 --> 00:03:17.000]  但是復活這個事實
[00:03:17.000 --> 00:03:19.000]  影響著整個世界
[00:03:19.000 --> 00:03:21.000]  影響著整個人類
[00:03:21.000 --> 00:03:22.000]  同意嗎?
[00:03:22.000 --> 00:03:28.000]  讓我通過剛才我們所讀的經文探討一下
[00:03:28.000 --> 00:03:32.000]  今天我們已經來到《史壇行傳》的另外一個很重要的訊息
[00:03:32.000 --> 00:03:33.000]  這個訊息是什麼?
