
[00:00:00.000 --> 00:00:02.800]  各位最後弟兄姊妹朋友 早安
[00:00:02.800 --> 00:00:07.400]  很高興今天是我們慶祝聖誕節的日子
[00:00:07.400 --> 00:00:09.240]  主耶穌基督降生的日子
[00:00:09.240 --> 00:00:10.960]  我們今天會從加勒賽書
[00:00:10.960 --> 00:00:13.960]  剛才大家所讀的經文當中去明白
[00:00:13.960 --> 00:00:16.400]  究竟神的計劃是甚麼
[00:00:16.400 --> 00:00:20.120]  以及我們怎樣去預備聖誕節
[00:00:20.120 --> 00:00:26.520]  題目是我們對神的兒子的認識是怎樣呢
[00:00:26.520 --> 00:00:32.480]  我們最近在Christianity Today有個問卷調查
[00:00:32.480 --> 00:00:38.480]  他問這班受訪者 我們有幾個受訪者
[00:00:38.480 --> 00:00:42.400]  受訪者包括有一班美國的國民
[00:00:42.400 --> 00:00:46.000]  他們未必是不信耶穌的
[00:00:46.000 --> 00:00:49.360]  另一班就是信了主一班的基督徒
[00:00:49.360 --> 00:00:54.720]  他們就是一班活躍的基督徒
[00:00:54.720 --> 00:00:57.160]  這班活躍的基督徒我們怎樣去定義呢
[00:00:57.160 --> 00:01:01.640]  就是每一個月裏面會有四次教會
[00:01:01.640 --> 00:01:04.720]  這班活躍的基督徒訪問了他們
[00:01:04.720 --> 00:01:08.800]  另一類就是完全兩樣都不是
[00:01:08.800 --> 00:01:12.160]  他就不想告訴大家他信甚麼信不信
[00:01:12.160 --> 00:01:15.920]  這個問卷調查就在12月的Christianity Today
[00:01:15.920 --> 00:01:21.080]  基督徒今天那本雜誌刊登出來
[00:01:21.080 --> 00:01:25.400]  是由Liveray這個組織去搜集這個調查
[00:01:25.400 --> 00:01:32.000]  當中有很多朋友無論我們信不信主耶穌為我們個人救主
[00:01:32.000 --> 00:01:35.040]  都會去慶祝聖誕節
[00:01:35.040 --> 00:01:40.120]  很多都是超過90%信主耶穌基督是神的兒子
[00:01:40.120 --> 00:01:42.880]  第二個問題他就問
[00:01:42.880 --> 00:01:47.480]  究竟主耶穌降生是不是2000年前在伯尼恆出生的呢
[00:01:47.480 --> 00:01:49.360]  又是很好的反應
[00:01:49.360 --> 00:01:52.160]  多數都信98%就跌了去95%
[00:01:52.160 --> 00:01:53.640]  跌了3%
[00:01:53.640 --> 00:01:54.560]  就說是呀
[00:01:54.560 --> 00:01:58.840]  他們在2000多年前在伯尼恆出生的
[00:01:58.840 --> 00:02:00.160]  但是越來越低了
[00:02:00.160 --> 00:02:02.000]  那些美國的成年人就說
[00:02:02.000 --> 00:02:02.800]  咦 不是的
[00:02:02.800 --> 00:02:04.160]  可能七成二是這樣
[00:02:04.160 --> 00:02:07.320]  但是問到第三個問題的時候
[00:02:07.320 --> 00:02:09.120]  就差別很大
[00:02:09.120 --> 00:02:10.280]  第三個問題就問
[00:02:10.280 --> 00:02:16.920]  究竟神的兒子是不是在主耶穌降生之前已經在那裏呢
[00:02:16.920 --> 00:02:19.240]  究竟我們信的主耶穌基督是神
[00:02:19.240 --> 00:02:25.520]  是不是在創造世界之前已經存在
[00:02:25.520 --> 00:02:27.640]  無論是基督徒
[00:02:27.640 --> 00:02:28.800]  經常回教會的基督徒
[00:02:28.800 --> 00:02:33.080]  對這個問題都開始有一點不明白
[00:02:33.080 --> 00:02:36.240]  究竟主耶穌基督降生的時候
[00:02:36.240 --> 00:02:42.200]  神怎樣藉著主耶穌基督降生來成就這個救恩的計劃呢
[00:02:42.200 --> 00:02:45.560]  這個救恩的計劃是怎樣能夠成就起來呢
[00:02:45.560 --> 00:02:50.080]  我們今天就從《迦太書》第四章四至七節那裏看
[00:02:50.080 --> 00:02:52.840]  究竟主耶穌降生我們慶祝聖誕節
[00:02:52.840 --> 00:02:58.320]  這個聖誕節的主角究竟是和我們救恩的計劃有什麼關係
[00:02:58.320 --> 00:03:02.320]  祂的情況怎樣能夠成就
[00:03:02.320 --> 00:03:04.080]  神的愛我們
[00:03:04.080 --> 00:03:06.520]  我們一起跟著祈禱 我們繼續
[00:03:06.520 --> 00:03:10.520]  我是你的天父上帝 我們再次感謝你
[00:03:10.520 --> 00:03:13.040]  你真的愛我們每一個人
[00:03:13.040 --> 00:03:14.080]  神愛世人
[00:03:14.080 --> 00:03:17.560]  甚至將祂的你的獨生子賜給我們
[00:03:17.560 --> 00:03:21.400]  使一切信祂的不致滅亡 反得永生
[00:03:21.400 --> 00:03:22.760]  求聖靈去幫助我們
[00:03:22.760 --> 00:03:26.480]  幫助我們每一位在座的信徒
[00:03:26.480 --> 00:03:29.880]  能夠更加去明白了解你的話語
[00:03:29.880 --> 00:03:32.840]  當中我們有名信主的無道的朋友
[00:03:32.840 --> 00:03:34.440]  求神去憐憫他們
[00:03:34.440 --> 00:03:40.480]  使我們無論是處於什麼光景的時候
[00:03:40.480 --> 00:03:44.480]  都能夠在一會的時間當中能夠看得清楚
[00:03:44.480 --> 00:03:47.600]  看得明白你告訴我們的信息
[00:03:47.600 --> 00:03:51.320]  好使我們聽到之後能夠會行出來
[00:03:51.320 --> 00:03:54.400]  我們以上的禱告是奉主耶穌得聖的面子祈求
[00:03:54.400 --> 00:03:56.400]  阿們
[00:04:10.480 --> 00:04:20.520]  祂的兒子為祂的女子所生
[00:04:20.520 --> 00:04:22.520]  且身在律法之下
[00:04:22.520 --> 00:04:26.560]  這個救恩的計劃是神在祂計劃當中
[00:04:26.560 --> 00:04:30.040]  神是猜祂的獨生愛子來到我們當中
