
[00:00:00.000 --> 00:00:03.640]  好,弟兄姊妹平安,我們一起做一次禱告
[00:00:03.640 --> 00:00:09.720]  天父我們多謝祢,因為祢救贖的計劃是出乎我們所能夠想像
[00:00:09.720 --> 00:00:13.920]  適合看到路德的故事,看到神如何去恩待
[00:00:13.920 --> 00:00:22.320]  一些在人世間好像都是被遺棄,或者成為邊緣的人
[00:00:22.320 --> 00:00:26.420]  亦都在他們的生命當中,如何彰顯到神的作為
[00:00:26.420 --> 00:00:28.840]  今天我們讀路德的故事的時候
[00:00:28.840 --> 00:00:32.440]  亦都讓我們看到我們自己的影子
[00:00:32.440 --> 00:00:38.400]  在當中,祢的工作如何可以昔日在路德的身上來顯明
[00:00:38.400 --> 00:00:40.520]  今天我們都是同樣的經歷
[00:00:40.520 --> 00:00:43.160]  奉行蘇基督的救命祈求,阿們
[00:00:43.160 --> 00:00:46.400]  今天路德記第四章就是最後一章
[00:00:46.400 --> 00:00:54.640]  上一次講到路德記的高潮
[00:00:54.640 --> 00:01:04.760]  就是路德主動地跟波阿斯提出,叫他贖他的田地
[00:01:04.760 --> 00:01:10.520]  其實背後的意思就是主動地提出一個婚事
[00:01:10.520 --> 00:01:16.040]  波阿斯亦都義不容辭,即時爽快答應了
[00:01:16.040 --> 00:01:27.160]  剛才讀的這一章講到,波阿斯如何完成婚事的處理和安排
[00:01:27.160 --> 00:01:33.160]  在當中的時候,路德記一開始第二章的時候
[00:01:33.160 --> 00:01:40.480]  之前都有講過,他們兩個的寡婦回到以色列地的時候
[00:01:40.480 --> 00:01:46.240]  路德記第二章是三節,路德就去了來到田間
[00:01:46.240 --> 00:01:49.000]  在收割的人身後拾取墨水
[00:01:49.000 --> 00:01:54.040]  他合巧到了以利米勒本族的人波阿斯那塊田裡
[00:01:54.040 --> 00:01:57.080]  這裏講到是他們沒有計劃的
[00:01:57.080 --> 00:02:02.760]  合巧就去到以利米勒本族的波阿斯的田裡
[00:02:02.760 --> 00:02:05.880]  去到第四章,又是這樣出現
[00:02:05.880 --> 00:02:13.760]  波阿斯到了城門,坐在那裏,合巧波阿斯所說的那次的親屬經過
[00:02:13.760 --> 00:02:19.240]  波阿斯說:某人啊,你來坐在這裏,他就來坐下
[00:02:19.240 --> 00:02:27.280]  兩段經文都是一開始的時候,好像是合巧,他們沒有計劃地去到田裡
[00:02:27.280 --> 00:02:35.720]  去到第四章的時候,波阿斯要找回那個至近的親屬來完成婚事的時候
[00:02:35.720 --> 00:02:38.560]  又說合巧這個人又出現了
[00:02:38.560 --> 00:02:43.600]  之前都提過這個觀念就是稱為神的護理
[00:02:43.600 --> 00:02:48.640]  神的護理的意思就是,在信的人當中
[00:02:48.640 --> 00:02:56.160]  沒有一件事情是神不積極地來參與
[00:02:56.160 --> 00:03:01.360]  有時候人世間好像是沒有計劃地來發生的事情
[00:03:01.360 --> 00:03:05.240]  好像在人體裏我們就說,幸運吧,廣東話就是
[00:03:05.240 --> 00:03:11.080]  廣東話有時候我們用合巧的字,或者是這麼巧,或者是幸運吧
[00:03:11.080 --> 00:03:17.120]  但在神的計劃當中,其實就沒有說幸運和這麼巧
[00:03:17.120 --> 00:03:19.680]  在信的人身上發生的事情
[00:03:19.680 --> 00:03:28.280]  在羅馬書第八章28至29節,九道更加清楚地說
[00:03:28.280 --> 00:03:32.480]  我們曉得萬事都互相效力,叫愛神的人得益處
[00:03:32.480 --> 00:03:36.680]  就是按他旨意被召的人,因為他預先所知道的人
[00:03:36.680 --> 00:03:39.360]  就預先定下效法他兒子的模樣
[00:03:39.360 --> 00:03:42.280]  使他兒子在許多弟兄中作長子
[00:03:42.280 --> 00:03:44.320]  預先所定下的人,又召他們來
[00:03:44.320 --> 00:03:46.120]  所召來的人,又稱他們為兒
[00:03:46.120 --> 00:03:50.200]  所稱為兒的人,又叫他們得榮耀
[00:03:50.200 --> 00:03:55.440]  這裡第八章28節,那次聖經很多人都會背的
[00:03:55.440 --> 00:03:57.400]  這是一個金句來的,是不是?
[00:03:57.400 --> 00:04:00.160]  沒有多少人背過這個金句
[00:04:00.160 --> 00:04:03.720]  如果你門徒訓練,你是背過的
[00:04:03.720 --> 00:04:05.840]  你沒有舉手,你只是忘記了
[00:04:05.840 --> 00:04:09.200]  但是你應該是背過的
[00:04:09.200 --> 00:04:13.080]  我們曉得萬事都互相效力,叫愛神的人得益處
[00:04:13.080 --> 00:04:16.120]  就是按他旨意被召的人
[00:04:16.120 --> 00:04:20.560]  這個意思是說到萬事都互相效力
[00:04:20.560 --> 00:04:28.400]  就是所有事情都是互相有所貢獻地
[00:04:28.400 --> 00:04:32.720]  令到愛神的人得益處
[00:04:32.720 --> 00:04:34.960]  神護理的教導上一次都說過
[00:04:34.960 --> 00:04:38.840]  不過現在再一次想提醒就是
[00:04:38.840 --> 00:04:43.720]  不是說所有事情,譬如發生的
[00:04:43.720 --> 00:04:48.960]  特別是有些事情好像是沒有意義地發生的
[00:04:48.960 --> 00:04:52.280]  都一定是神的計劃,未必是這樣
[00:04:52.280 --> 00:04:55.120]  但是有一樣保證,這裡所說的就是
[00:04:55.120 --> 00:04:58.360]  對於屬神的人,對於愛神的人
[00:04:58.360 --> 00:05:03.200]  所以神的保證就是在你身上發生的事情
[00:05:03.200 --> 00:05:05.760]  祂會叫你得益處
[00:05:05.760 --> 00:05:11.040]  雖然表面來說未必是即時的益處
[00:05:11.040 --> 00:05:13.640]  譬如在拿航米來說
[00:05:13.640 --> 00:05:17.640]  當然他是很大的損失
[00:05:17.640 --> 00:05:20.160]  他一家的男丁全都死了
[00:05:20.160 --> 00:05:23.440]  但是在這樣的發生的背後
[00:05:23.440 --> 00:05:25.520]  我們就不知道他那些先生
[00:05:25.520 --> 00:05:28.520]  或者那些男子他們的信仰情況
[00:05:28.520 --> 00:05:32.800]  但是很明顯就知道拿航米是信靠神的
[00:05:32.800 --> 00:05:38.000]  他經過發生這些不幸的事情
[00:05:38.000 --> 00:05:41.720]  神都可以叫他得益處
[00:05:41.720 --> 00:05:48.120]  叫他回來,叫他帶路德去以色列地
[00:05:48.120 --> 00:05:52.760]  成就神所預定的計劃
[00:05:52.760 --> 00:05:57.280]  這個是神對信他的人的保證
