
[00:00:00.000 --> 00:00:03.760]  我們說的是保羅對提摩泰的勸告
[00:00:03.760 --> 00:00:05.760]  如果我們看第一節
[00:00:05.760 --> 00:00:09.560]  一開始的時候就說「所以」
[00:00:09.560 --> 00:00:11.560]  「所以」的時候是在說什麼呢?
[00:00:11.560 --> 00:00:13.560]  說的是前面第一章
[00:00:13.560 --> 00:00:15.560]  特別是第十八節
[00:00:15.560 --> 00:00:18.360]  之前都聽過這堂課
[00:00:18.360 --> 00:00:20.360]  就說「我疑提摩泰」
[00:00:20.360 --> 00:00:23.360]  你要照從前指示你的預言
[00:00:23.360 --> 00:00:26.360]  將這個命令交托給你
[00:00:26.360 --> 00:00:32.360]  使你能藉著這個意願打爛美好的仗
[00:00:32.360 --> 00:00:35.360]  長存信心無愧的良心」
[00:00:35.360 --> 00:00:37.360]  重要的
[00:00:37.360 --> 00:00:43.360]  保羅藉著提摩泰神要他在教會所作的
[00:00:43.360 --> 00:00:46.360]  是要去打美好的仗
[00:00:46.360 --> 00:00:49.360]  要打仗的時候是怎樣呢?
[00:00:49.360 --> 00:00:52.360]  接著就去到二章一節
[00:00:52.360 --> 00:00:56.360]  他說「所以」就去接續第一章
[00:00:56.360 --> 00:01:00.360]  最後那兩節保羅所說
[00:01:00.360 --> 00:01:04.360]  頂尖的我們的生命更新
[00:01:04.360 --> 00:01:07.360]  我們可以從我們的日常的屬靈生命
[00:01:07.360 --> 00:01:08.360]  我們的生活
[00:01:08.360 --> 00:01:10.360]  我們的禱告靈修
[00:01:10.360 --> 00:01:15.360]  去體會神每一天怎樣跟你說話
[00:01:15.360 --> 00:01:17.360]  你每一個禮拜回來崇拜
[00:01:17.360 --> 00:01:20.360]  完了之後出去都是一個更新的經歷
[00:01:20.360 --> 00:01:22.360]  藉著神的話語
[00:01:22.360 --> 00:01:23.360]  藉著詩歌
[00:01:23.360 --> 00:01:24.360]  藉著禱告
[00:01:24.360 --> 00:01:26.360]  藉著你的奉獻
[00:01:26.360 --> 00:01:28.360]  你一個更新的經歷
[00:01:28.360 --> 00:01:33.360]  我們怎樣去體會
[00:01:33.360 --> 00:01:36.360]  原來在我們的生命裏
[00:01:36.360 --> 00:01:38.360]  當我們回到教會
[00:01:38.360 --> 00:01:40.360]  但另一方面
[00:01:40.360 --> 00:01:43.360]  我們面對這個時代的挑戰和需要的時候
[00:01:43.360 --> 00:01:45.360]  我們面對自己
[00:01:45.360 --> 00:01:52.360]  需要有一個安殊的環境去禱告
[00:01:52.360 --> 00:01:56.360]  合而的環境去傳福音
[00:01:56.360 --> 00:01:58.360]  我們由思念上主
[00:01:58.360 --> 00:01:59.360]  直著主耶穌基督
[00:01:59.360 --> 00:02:01.360]  祂道成肉身的生命
[00:02:01.360 --> 00:02:02.360]  寫在十字架上
[00:02:02.360 --> 00:02:07.360]  叫我們成為祂的門徒
[00:02:07.360 --> 00:02:11.360]  保羅就去提點提摩太
[00:02:11.360 --> 00:02:15.360]  先從祈禱開始
[00:02:15.360 --> 00:02:18.360]  所以我勸你首先要為人仁
[00:02:18.360 --> 00:02:19.360]  和合本正說
[00:02:19.360 --> 00:02:20.360]  領司跟我們讀
[00:02:20.360 --> 00:02:23.360]  第一
[00:02:23.360 --> 00:02:26.360]  這裡說第一不是跟著說第二第三
[00:02:26.360 --> 00:02:28.360]  不是在數字上的次序
[00:02:28.360 --> 00:02:34.360]  而是說原來祈禱是一個優先的次序
[00:02:34.360 --> 00:02:39.360]  表示一個重要性
[00:02:39.360 --> 00:02:40.360]  一開始就說
[00:02:40.360 --> 00:02:43.360]  你要為人仁
[00:02:43.360 --> 00:02:47.360]  然後祈求、禱告、代求
[00:02:47.360 --> 00:02:48.360]  這三樣好像有一樣
[00:02:48.360 --> 00:02:50.360]  除了感謝
[00:02:50.360 --> 00:02:53.360]  和合本是祝謝
[00:02:53.360 --> 00:02:54.360]  這裡是和收本
[00:02:54.360 --> 00:02:57.360]  感謝
[00:02:57.360 --> 00:03:00.360]  戒義文去解這段經文的時候
[00:03:00.360 --> 00:03:02.360]  看這段經文的時候
[00:03:02.360 --> 00:03:06.360]  祈求、禱告、代求都好像很一樣
[00:03:06.360 --> 00:03:10.360]  但具體要分都可以
[00:03:10.360 --> 00:03:15.360]  其實最後一個是懇求
[00:03:15.360 --> 00:03:18.360]  因為個人很深層的需要
[00:03:18.360 --> 00:03:22.360]  具體的向神提出請求
[00:03:22.360 --> 00:03:26.360]  向神去祈求
[00:03:26.360 --> 00:03:29.360]  一個很具體的需要
[00:03:29.360 --> 00:03:32.360]  禱告就是將請求帶到主的面前
[00:03:32.360 --> 00:03:37.360]  又或者很籠統的說所有有關祈禱都是禱告
[00:03:37.360 --> 00:03:47.360]  代求就是要將你的請求大膽向神傾訴
[00:03:47.360 --> 00:03:50.360]  大膽向神傾訴
[00:03:50.360 --> 00:03:53.360]  又或者好像來到君王的面前
[00:03:53.360 --> 00:03:56.360]  呈上你的請求
[00:03:56.360 --> 00:03:59.360]  一個代求
[00:03:59.360 --> 00:04:03.360]  其實很難分
[00:04:03.360 --> 00:04:07.360]  在那個處境裏
[00:04:07.360 --> 00:04:09.360]  但是保羅就很清楚地說
[00:04:09.360 --> 00:04:10.360]  這是首要
[00:04:10.360 --> 00:04:11.360]  這是首先
[00:04:11.360 --> 00:04:13.360]  很重要
[00:04:13.360 --> 00:04:16.360]  然後感謝
[00:04:16.360 --> 00:04:23.360]  是一個謝恩、感恩的祈禱
[00:04:23.360 --> 00:04:27.360]  在一節、二節說到為人人、為君王
[00:04:27.360 --> 00:04:31.360]  弟兄姊妹,你的祈禱生活是怎樣?
[00:04:31.360 --> 00:04:35.360]  大家為甚麼祈禱比較多?
[00:04:35.360 --> 00:04:37.360]  我作為父母很坦白地說
[00:04:37.360 --> 00:04:41.360]  除了為教會禱告
[00:04:41.360 --> 00:04:46.360]  原來我們每個月份都印了七十份
[00:04:46.360 --> 00:04:47.360]  每個月份七十份
[00:04:47.360 --> 00:04:49.360]  假設起碼有七十個
[00:04:49.360 --> 00:04:55.360]  我們當有二、三十份在禱告會裏備用的時候
[00:04:55.360 --> 00:04:57.360]  用的時間
[00:04:57.360 --> 00:04:59.360]  我們有理由相信
[00:04:59.360 --> 00:05:03.360]  起碼有三、四十個帶著祈禱間回家
[00:05:03.360 --> 00:05:04.360]  為教會祈禱
[00:05:04.360 --> 00:05:06.360]  不同的事工祈禱
[00:05:06.360 --> 00:05:08.360]  為差權祈禱
[00:05:08.360 --> 00:05:11.360]  為香港、世界不同的需要祈禱
[00:05:11.360 --> 00:05:12.360]  但是作為父母
[00:05:12.360 --> 00:05:16.360]  我大部份時間很多時候都是為子女祈禱
[00:05:16.360 --> 00:05:18.360]  對不對?
[00:05:18.360 --> 00:05:20.360]  老人家
[00:05:20.360 --> 00:05:22.360]  更多這些
[00:05:22.360 --> 00:05:24.360]  為子女祈禱之餘
[00:05:24.360 --> 00:05:26.360]  為孫子祈禱
[00:05:26.360 --> 00:05:32.360]  逐個孫子去祈禱
[00:05:32.360 --> 00:05:34.360]  一般的情況
[00:05:34.360 --> 00:05:36.360]  我們的禱告都是為家人
[00:05:36.360 --> 00:05:38.360]  為朋友
[00:05:38.360 --> 00:05:39.360]  又或者教會裏面
[00:05:39.360 --> 00:05:41.360]  我們為我們所認識的人
[00:05:41.360 --> 00:05:43.360]  或者鄰舍去禱告
[00:05:43.360 --> 00:05:47.360]  今天在我們的教會裏面
[00:05:47.360 --> 00:05:49.360]  我們說弟兄姊妹
[00:05:49.360 --> 00:05:51.360]  我們最應該提及
[00:05:51.360 --> 00:05:54.360]  弟兄姊妹的關係就是兄弟
[00:05:54.360 --> 00:05:55.360]  Brother and sister
