
[00:00:00.000 --> 00:00:01.440]  我想問大家
[00:00:01.440 --> 00:00:05.720]  知不知道2015年我們講福堂的連題是什麼呢?
[00:00:05.720 --> 00:00:10.520]  我看看有沒有人可以不裝周刊都講得出
[00:00:10.520 --> 00:00:12.480]  是什麼呢?
[00:00:12.480 --> 00:00:17.120]  「作主門徒 改變天下」
[00:00:17.120 --> 00:00:22.200]  當然我們也想將其中一個重點
[00:00:22.200 --> 00:00:25.240]  放在學習作耶穌基督的門徒
[00:00:25.240 --> 00:00:28.480]  所以我們今年的講台
[00:00:28.480 --> 00:00:31.520]  是用《馬太福音》作為一個主幹
[00:00:31.520 --> 00:00:35.520]  不同的教會和公會輪流詮釋《馬太福音》的經文
[00:00:35.520 --> 00:00:36.640]  今天是第一次
[00:00:36.640 --> 00:00:38.200]  所以會講第一章
[00:00:38.200 --> 00:00:41.400]  然後牧師也會在他的講道裡面
[00:00:41.400 --> 00:00:44.640]  用一些與門徒訓練有關的專題
[00:00:44.640 --> 00:00:46.920]  去教導我們如何跟隨主
[00:00:46.920 --> 00:00:50.440]  因為特別講到一個故事
[00:00:50.440 --> 00:00:52.520]  很多時候是聖誕的時間
[00:00:52.520 --> 00:00:54.160]  我們才覺得要聽的
[00:00:54.160 --> 00:00:56.520]  一講到《馬太福音》第一、第二章
[00:00:56.520 --> 00:00:57.880]  一定是聖誕
[00:00:58.080 --> 00:00:59.080]  聖誕聽什麼?
[00:00:59.080 --> 00:01:02.120]  一定是《馬太福音》第一章
[00:01:02.120 --> 00:01:05.320]  但是我們其實要認識
[00:01:05.320 --> 00:01:08.200]  當馬太去寫這本書的時候
[00:01:08.200 --> 00:01:12.040]  他沒有想過將來會有一個叫做聖誕節
[00:01:12.040 --> 00:01:13.800]  沒有想過他要寫的經文
[00:01:13.800 --> 00:01:17.720]  頭兩章經常專注在聖誕的時候
[00:01:17.720 --> 00:01:21.680]  才會拿來給人去用、去中讀、去宣講
[00:01:22.360 --> 00:01:29.000]  馬太他所描述的是耶穌這位以馬來尼神同在的救主
[00:01:29.000 --> 00:01:31.720]  其中一個很重要的主題
[00:01:31.720 --> 00:01:33.520]  也是耶穌在在世的時候
[00:01:33.520 --> 00:01:35.040]  如何去教導一群門徒
[00:01:35.040 --> 00:01:36.440]  讓跟隨他的門徒
[00:01:36.440 --> 00:01:38.000]  透過不單是他的教訓
[00:01:38.000 --> 00:01:41.120]  也透過耶穌的行為
[00:01:41.120 --> 00:01:43.920]  去認識應該如何去跟隨主
[00:01:43.920 --> 00:01:48.920]  而的確在寫這一本福音書的時候
[00:01:48.920 --> 00:01:52.000]  我相信馬太是採取了一些
[00:01:52.000 --> 00:01:53.400]  他寫作的技巧
[00:01:53.400 --> 00:01:55.200]  已經在第一章裏面
[00:01:55.200 --> 00:01:59.680]  蘊藏了一些作門徒我們要學習的地方
[00:01:59.680 --> 00:02:01.760]  當然你會說怎麼搞的
[00:02:01.760 --> 00:02:04.120]  第一章耶穌好像還沒有出世
[00:02:04.120 --> 00:02:05.960]  何況說到修門徒
[00:02:05.960 --> 00:02:07.280]  很久都還沒有到
[00:02:07.280 --> 00:02:08.920]  關什麼門婚事
[00:02:08.920 --> 00:02:11.160]  一會兒我會跟大家去講的
