
[00:00:00.000 --> 00:00:02.360]  這個題目我也把它改了
[00:00:02.360 --> 00:00:08.980]  內容沒改好 但是題目改了
[00:00:08.980 --> 00:00:13.280]  今天我要講的是
[00:00:13.280 --> 00:00:18.580]  復興以色列 versus 神的國降臨
[00:00:18.580 --> 00:00:24.360]  剛才我們讀聖經裡面告訴我們說馬太福音
[00:00:24.360 --> 00:00:29.660]  主耶穌在教導門徒的禱告文裡面
[00:00:29.660 --> 00:00:32.900]  一開始就說我們在天上的父
[00:00:32.900 --> 00:00:38.960]  願人都尊你的名為聖
[00:00:38.960 --> 00:00:41.980]  願你的國降臨
[00:00:41.980 --> 00:00:44.820]  願你的旨意行在地上
[00:00:44.820 --> 00:00:46.980]  如同行在天上
[00:00:46.980 --> 00:00:50.120]  所以主耶穌教導我們的禱告
[00:00:50.120 --> 00:00:53.120]  這個可以說是一個典範
[00:00:53.120 --> 00:00:56.180]  如果說什麼是我們今天應該學習禱告的
[00:00:56.180 --> 00:00:59.640]  主耶穌教導我們的禱告文就是一個最好的教導
[00:01:00.540 --> 00:01:04.180]  主耶穌告訴我們說我們一開始的時候先為什麼禱告呢
[00:01:04.180 --> 00:01:09.060]  先為我工作找到禱告
[00:01:09.060 --> 00:01:15.820]  先為我們小孩子能夠今年申請到好大學禱告
[00:01:15.820 --> 00:01:21.820]  先為我的孫子他最近生病能夠病得醫治禱告
[00:01:21.820 --> 00:01:28.860]  我剛才的意思沒有說剛才所說的這些不要禱告
[00:01:28.860 --> 00:01:33.680]  但是我們的天性裡面
[00:01:33.680 --> 00:01:35.860]  當我們要禱告的時候我們會為什麼禱告
[00:01:35.860 --> 00:01:38.860]  剛才說的這些事情
[00:01:38.860 --> 00:01:45.480]  可是主耶穌在這裡不是明明教導我們說
[00:01:45.480 --> 00:01:49.980]  他說一開始就說我們在天上的父
[00:01:49.980 --> 00:01:51.380]  願人都尊你的名為聖
[00:01:51.380 --> 00:01:53.580]  願你的國降臨
[00:01:53.580 --> 00:01:56.380]  願你的旨意行在地上如同行在天上
[00:01:56.380 --> 00:01:59.380]  所以主耶穌要我們先求祂的國
[00:01:59.380 --> 00:02:01.380]  在今年年初的時候我們講了一篇信息
[00:02:01.380 --> 00:02:05.780]  講說先求神的國和祂的意是不是
[00:02:05.780 --> 00:02:08.780]  這些東西祂就要嫁給我們了
[00:02:08.780 --> 00:02:10.880]  你相信嗎
[00:02:10.880 --> 00:02:13.780]  杜子維不要只是當作知識
[00:02:13.780 --> 00:02:16.780]  你相信的你就去經歷
[00:02:16.780 --> 00:02:18.880]  你相信你就會經歷
[00:02:18.880 --> 00:02:20.980]  你要禱告而且你要照著神的話去做
[00:02:20.980 --> 00:02:21.980]  你會經歷的
[00:02:21.980 --> 00:02:23.780]  Amen
[00:02:23.780 --> 00:02:27.580]  所以主耶穌在這裡告訴我們的一個禱告
[00:02:27.580 --> 00:02:29.180]  讓我們看見事情
[00:02:29.180 --> 00:02:32.280]  這個前面的這個三願
[00:02:32.280 --> 00:02:35.380]  代表著是一個祂最渴望的
[00:02:35.380 --> 00:02:37.480]  代表著這是祂的禱告
[00:02:37.480 --> 00:02:39.480]  主耶穌教導我們的禱告
[00:02:39.480 --> 00:02:45.680]  首先的最重要的先為這個來禱告
[00:02:45.680 --> 00:02:48.680]  而且你看見
[00:02:48.680 --> 00:02:51.980]  在耶穌傳道的過程當中
[00:02:51.980 --> 00:02:54.580]  神的國是祂傳講的中心
[00:02:54.580 --> 00:02:58.080]  耶穌說天國盡了
[00:02:58.080 --> 00:03:04.480]  你們應當悔改
[00:03:04.480 --> 00:03:06.680]  想想看耶穌出來的時候
[00:03:06.680 --> 00:03:08.880]  請注意這句話很重要
[00:03:08.880 --> 00:03:12.280]  祂說天國盡了是不是
[00:03:12.280 --> 00:03:16.280]  祂有沒有說天堂盡了
[00:03:16.280 --> 00:03:22.880]  祂有沒有說以色列的國盡了
[00:03:22.880 --> 00:03:26.780]  沒有耶穌說天國盡了
[00:03:26.780 --> 00:03:29.480]  換句話說天國神的國
[00:03:29.480 --> 00:03:31.080]  By the way天國神的國
[00:03:31.080 --> 00:03:32.880]  都是指的同樣一件事情
[00:03:32.880 --> 00:03:34.780]  只不過用不同的稱呼
[00:03:34.780 --> 00:03:37.780]  對猶太人來講他們很清楚知道
[00:03:37.780 --> 00:03:42.180]  所以呢耶穌說天國盡了
[00:03:42.180 --> 00:03:44.180]  是不是但是對那些外邦人
[00:03:44.180 --> 00:03:45.580]  他們不太清楚
[00:03:45.580 --> 00:03:49.380]  所以要講清楚點神的國盡了
[00:03:49.380 --> 00:03:50.880]  但是不管是天國也好
[00:03:50.880 --> 00:03:52.780]  或者神的國也好
[00:03:52.780 --> 00:03:54.380]  講的是同一個國
[00:03:54.380 --> 00:03:56.280]  懂這意思嗎
[00:03:56.280 --> 00:03:57.880]  所以你在看四福音的時候
[00:03:57.880 --> 00:03:59.180]  有時候會看到是天國
[00:03:59.180 --> 00:04:00.580]  有時候會看到神的國
[00:04:00.580 --> 00:04:01.680]  就是這個意思
[00:04:01.680 --> 00:04:05.080]  那麼接著耶穌祂在事上面傳到
[00:04:05.080 --> 00:04:07.180]  整個的中心就是講到神的國
[00:04:07.180 --> 00:04:11.580]  神的國神的國
[00:04:11.580 --> 00:04:13.180]  但是我們為什麼基督
[00:04:13.180 --> 00:04:16.980]  在我們華人的教會
[00:04:16.980 --> 00:04:18.880]  很多時候很少講神的國
[00:04:18.880 --> 00:04:20.380]  我們都講什麼
[00:04:20.380 --> 00:04:24.380]  我們都把神的國用天堂代替
[00:04:24.380 --> 00:04:27.280]  請問耶穌在跟尼哥蒂姆在談話的時候
[00:04:27.280 --> 00:04:31.280]  祂說人若不重生就不能夠進什麼
[00:04:31.280 --> 00:04:33.880]  祂沒有說不能夠進天堂
[00:04:33.880 --> 00:04:35.880]  祂說什麼
[00:04:35.880 --> 00:04:39.080]  祂說不能夠進神的國
[00:04:39.080 --> 00:04:41.780]  看到沒有
[00:04:41.780 --> 00:04:43.280]  所以我們在年初的時候講的
[00:04:43.280 --> 00:04:45.480]  神的國是什麼
[00:04:45.480 --> 00:04:51.780]  神的國就是神掌權的地方
[00:04:51.780 --> 00:04:55.680]  天主說神的國有沒有在你的心裡面
[00:04:55.680 --> 00:04:57.080]  那個意思就是說神的國
[00:04:57.080 --> 00:04:59.680]  有沒有在你的心中掌權有嗎
[00:04:59.680 --> 00:05:02.380]  神的國有沒有在你家掌權
[00:05:02.380 --> 00:05:04.680]  還是是你老公掌權
[00:05:04.680 --> 00:05:09.580]  或者是老婆掌權
[00:05:09.580 --> 00:05:13.880]  那天有一個韓國的牧師
[00:05:13.880 --> 00:05:17.380]  我們在聊天談來談
[00:05:17.380 --> 00:05:21.180]  就談到說為什麼
[00:05:21.180 --> 00:05:23.180]  韓國的姐妹
[00:05:23.180 --> 00:05:28.780]  她們都很想要嫁給中國的弟兄
[00:05:28.780 --> 00:05:31.180]  我就告訴她原因是什麼
[00:05:31.180 --> 00:05:33.280]  我說因為中國的男人
[00:05:33.280 --> 00:05:36.080]  都會幫忙做家事
[00:05:36.080 --> 00:05:37.980]  特別上海男人
[00:05:37.980 --> 00:05:44.580]  還會幫忙煮菜對不對
[00:05:44.580 --> 00:05:50.280]  她一聽 哦 原來是這個樣子
[00:05:50.280 --> 00:05:52.280]  但是親愛的丘子妹
[00:05:52.280 --> 00:05:53.680]  我講的意思不是說
[00:05:53.680 --> 00:05:55.780]  今天你要嫁給一個中國男人
