
[00:00:00.000 --> 00:00:02.800]  各位弟兄姊妹,讓我們再次同心祈禱
[00:00:02.800 --> 00:00:09.740]  願仆人口中的言語
[00:00:09.740 --> 00:00:13.040]  弟兄姊妹的心思意念
[00:00:13.040 --> 00:00:15.300]  蒙聖靈的啟迪
[00:00:15.300 --> 00:00:17.100]  蒙主的月立
[00:00:17.100 --> 00:00:19.820]  禱告藉主耶穌基督的聖名而求
[00:00:19.820 --> 00:00:21.040]  阿門
[00:00:28.640 --> 00:00:31.580]  在不少的電視
[00:00:31.580 --> 00:00:33.560]  或者電影當中
[00:00:33.560 --> 00:00:36.140]  有一個這樣的情節
[00:00:36.140 --> 00:00:38.180]  久不久就會出現
[00:00:38.180 --> 00:00:40.700]  同樣的,這些情節可能在大家
[00:00:40.700 --> 00:00:43.060]  現實的生活裏面都會出現
[00:00:43.060 --> 00:00:46.420]  就是兩個人在對話當中
[00:00:46.420 --> 00:00:49.460]  其中一個就向對方說
[00:00:49.460 --> 00:00:52.000]  我有兩個消息要告訴你
[00:00:52.000 --> 00:00:55.080]  一個是好消息,一個是壞消息
[00:00:55.080 --> 00:00:57.280]  你想先聽哪一個呢?
[00:00:58.640 --> 00:01:01.620]  如果是你,你會先聽哪一個呢?
[00:01:01.620 --> 00:01:04.380]  有些人想先聽好消息
[00:01:04.380 --> 00:01:06.260]  然後才聽壞消息
[00:01:06.260 --> 00:01:09.940]  但比較多人選擇的是要先聽壞消息
[00:01:09.940 --> 00:01:12.680]  然後才聽好的消息,為什麼呢?
[00:01:12.680 --> 00:01:16.360]  因為聽了壞的消息
[00:01:16.360 --> 00:01:19.260]  聽完之後,當然會帶來一些打擊
[00:01:19.260 --> 00:01:20.720]  不開心
[00:01:20.720 --> 00:01:23.400]  但接著聽一個好的消息
[00:01:23.400 --> 00:01:26.980]  就可以有抵消的作用,平衡一下
[00:01:27.280 --> 00:01:29.640]  但如果先聽了好的消息
[00:01:29.640 --> 00:01:32.360]  歡喜快樂一輪之後
[00:01:32.360 --> 00:01:35.660]  一聽壞消息,就將你打沉了
[00:01:35.660 --> 00:01:38.760]  那你可能會從一個高處的地方
[00:01:38.760 --> 00:01:40.100]  跌入一個低谷
[00:01:40.100 --> 00:01:42.480]  心情可能會更加壞
[00:01:42.480 --> 00:01:46.260]  對於今時今日的香港人來說
[00:01:46.260 --> 00:01:50.700]  什麼消息才是好的消息呢?
[00:01:50.700 --> 00:01:55.220]  對大家來說,什麼消息
[00:01:55.280 --> 00:01:58.060]  才是一個好的消息呢?
[00:01:58.060 --> 00:02:02.100]  在過去這個多月裏面
[00:02:02.100 --> 00:02:05.200]  因為港鐵的大學站關閉了
[00:02:05.200 --> 00:02:09.260]  所以我們全家出入都很不方便
[00:02:09.260 --> 00:02:13.580]  在校園裏面還有很多教職員在那裏居住
[00:02:13.580 --> 00:02:15.360]  大家就天天在那裏問
[00:02:15.360 --> 00:02:21.160]  究竟什麼時候才可以再開通這個火車呢?
[00:02:22.760 --> 00:02:26.740]  等著等著,其實大家已經慢慢習慣了
[00:02:26.740 --> 00:02:30.000]  每天爬上去山上
[00:02:30.000 --> 00:02:32.600]  等巴士等小巴
[00:02:32.600 --> 00:02:37.680]  預計車輛來到,都是爆棚,飛站
[00:02:37.680 --> 00:02:40.180]  那就沒得坐了
[00:02:40.180 --> 00:02:44.500]  不過當它真的再開的時候
[00:02:44.500 --> 00:02:46.840]  其實大家都不是非常的雀躍
[00:02:46.840 --> 00:02:50.560]  因為過了五個多禮拜,都已經慢慢習慣了
[00:02:50.700 --> 00:02:54.060]  反而大家關心的是,沒有火車不要緊
[00:02:54.060 --> 00:02:56.400]  有巴士,有小巴
[00:02:56.400 --> 00:03:00.180]  有其他的方法可以離開這個校園
[00:03:00.180 --> 00:03:01.380]  那就沒問題
[00:03:01.380 --> 00:03:06.820]  而且還發覺原來這樣可能比往時去某些地區還要快
[00:03:06.820 --> 00:03:10.820]  對大家來說,什麼是好消息呢?
[00:03:10.820 --> 00:03:13.740]  可能就是在每一個週末
[00:03:13.740 --> 00:03:15.780]  你可以如常的
[00:03:15.780 --> 00:03:20.380]  有家庭的相聚,朋友的相聚
[00:03:20.380 --> 00:03:23.980]  不需要擔心突然間沒得坐車
[00:03:23.980 --> 00:03:28.980]  或者就是周圍都充滿著這個催淚的煙
[00:03:28.980 --> 00:03:31.340]  影響了你們的心情
[00:03:31.340 --> 00:03:34.540]  又或者有很多人很希望
[00:03:34.540 --> 00:03:36.540]  一切回復正常
[00:03:36.540 --> 00:03:39.300]  讓我們過回一些安樂的日子
[00:03:39.300 --> 00:03:41.300]  也都有些人會認為
[00:03:41.300 --> 00:03:45.820]  沒有真正的自由,沒有真正的民主,根本就不是好的消息
[00:03:45.820 --> 00:03:48.780]  用西方的諺語來說
[00:03:48.780 --> 00:03:51.500]  No news is good news
[00:03:51.500 --> 00:03:53.500]  就是沒有任何的消息
[00:03:53.500 --> 00:03:55.180]  可能就是好的消息
[00:03:55.180 --> 00:03:57.180]  或者這個也是我們
[00:03:57.180 --> 00:03:59.580]  今天對於好消息的定義
[00:03:59.580 --> 00:04:02.460]  打開這個新聞
[00:04:02.460 --> 00:04:03.580]  看到直播
[00:04:03.580 --> 00:04:05.580]  每一區都沒事
[00:04:05.580 --> 00:04:07.580]  可能已經是很好的消息
[00:04:07.580 --> 00:04:10.060]  在今年的聖誕日
[00:04:10.060 --> 00:04:12.780]  經課當中,舊約的聖經
[00:04:12.780 --> 00:04:16.300]  以賽亞書第52章7至10節
[00:04:16.300 --> 00:04:18.780]  剛才我們所聽到的經文
[00:04:18.780 --> 00:04:20.780]  是去記述
[00:04:20.780 --> 00:04:23.980]  怎樣將一個好的消息傳開
[00:04:23.980 --> 00:04:27.500]  究竟有多好的消息
