
[00:00:00.000 --> 00:00:01.640]  讓我們來讀一段經文
[00:00:01.640 --> 00:00:05.400]  在提摩太後書第四章第二節
[00:00:05.400 --> 00:00:09.000]  這裏說,物要傳道,無論得時不得時
[00:00:09.000 --> 00:00:11.880]  總要專心,並用百般的忍耐
[00:00:11.880 --> 00:00:16.680]  各樣的教訓、責備人、警戒人、勸免人
[00:00:16.680 --> 00:00:19.080]  我們就讀到這裏
[00:00:19.080 --> 00:00:21.680]  這次的新冠病毒的疫情
[00:00:21.680 --> 00:00:24.880]  真是帶給全世界一個
[00:00:24.880 --> 00:00:28.280]  天翻地覆的一個轉變
[00:00:28.280 --> 00:00:34.080]  它所影響的範圍無論是在社區、政治、經濟、文化
[00:00:34.080 --> 00:00:37.480]  都是過去我們無法想象的
[00:00:37.480 --> 00:00:39.280]  當然對我們個人而言
[00:00:39.280 --> 00:00:41.880]  雖然我們不見得被感染
[00:00:41.880 --> 00:00:47.080]  但居家隔離所帶給我們身心靈的一個影響
[00:00:47.080 --> 00:00:49.080]  也是不可忽視的
[00:00:49.080 --> 00:00:50.080]  所以很多人說
[00:00:50.080 --> 00:00:51.280]  就算疫情過去
[00:00:51.280 --> 00:00:56.680]  我們也不見得能夠回到我們以前所謂的正常的生活
[00:00:56.680 --> 00:01:00.080]  我想不但是我們個人日常的生活受到影響
[00:01:00.080 --> 00:01:02.680]  教會的聚會受到影響
[00:01:02.680 --> 00:01:07.080]  甚至在宣教的事工也受到很大的影響
[00:01:07.080 --> 00:01:11.280]  以前個人談到挨家挨戶的傳福音
[00:01:11.280 --> 00:01:15.080]  都是很正常的、很持續在進行
[00:01:15.080 --> 00:01:19.280]  現在在疫情期間要保持社交距離
[00:01:19.280 --> 00:01:24.080]  忽然間傳福音就變得不那麼方便了,不是嗎?
[00:01:24.080 --> 00:01:28.680]  以前去宣教坐上飛機十幾個鐘頭也就到了
[00:01:28.680 --> 00:01:32.280]  現在進出都有困難
[00:01:32.280 --> 00:01:35.880]  特別在疫情期間很多第三世界的國家
[00:01:35.880 --> 00:01:39.280]  他們都採取一個鎖國的政策
[00:01:39.280 --> 00:01:41.480]  不但宣教士進不去
[00:01:41.480 --> 00:01:46.680]  而且境內的宣教士也都全部被驅逐出境
[00:01:46.680 --> 00:01:50.880]  所以我們真的看見目前在整個宣教事工上
[00:01:50.880 --> 00:01:55.280]  我們真的是面對一個極大的困境
