
[00:00:00.000 --> 00:00:02.000]  靜止未平安
[00:00:02.000 --> 00:00:05.500]  祝大家有個愉快的一日
[00:00:05.500 --> 00:00:11.500]  祝每一個母親有個好幸福美麗的母親節
[00:00:11.500 --> 00:00:16.500]  在這個時候我想做一個禱告
[00:00:16.500 --> 00:00:18.500]  親愛的天父我們感謝你
[00:00:18.500 --> 00:00:21.000]  讓我們能夠來敬拜你
[00:00:21.000 --> 00:00:23.500]  我們為在在的母親禱告
[00:00:23.500 --> 00:00:26.500]  祈求神你將天上的安慰
[00:00:26.500 --> 00:00:28.500]  天上的平安喜樂
[00:00:28.500 --> 00:00:30.500]  都放在他們的心靈裏面
[00:00:30.500 --> 00:00:31.500]  在這個時刻
[00:00:31.500 --> 00:00:33.500]  神與他們同在
[00:00:33.500 --> 00:00:34.500]  祝福他們每一個
[00:00:34.500 --> 00:00:37.500]  我們都為我們能夠揭開你的話語
[00:00:37.500 --> 00:00:40.500]  來聆聽你的訊息禱告
[00:00:40.500 --> 00:00:42.500]  求神你都打開我們的心靈
[00:00:42.500 --> 00:00:44.500]  以致我們能夠明白
[00:00:44.500 --> 00:00:46.500]  神你自己的說話
[00:00:46.500 --> 00:00:47.500]  我們這樣祈禱
[00:00:47.500 --> 00:00:49.500]  奉主耶穌名求
[00:00:49.500 --> 00:00:50.500]  阿們
[00:00:50.500 --> 00:00:54.500]  今天簡易主題是後信父母
[00:00:54.500 --> 00:01:00.500]  我不知你有沒有和我這樣收到WhatsApp的訊息
[00:01:00.500 --> 00:01:02.500]  是封根的智慧
[00:01:02.500 --> 00:01:04.500]  我們一起看看
[00:01:04.500 --> 00:01:08.500]  這個不是很學術性
[00:01:08.500 --> 00:01:09.500]  封根的智慧
[00:01:09.500 --> 00:01:12.500]  用字面去了解媽媽這個字
[00:01:12.500 --> 00:01:16.500]  媽是一個女加一個馬
[00:01:16.500 --> 00:01:19.500]  為你做牛做馬的女人
[00:01:19.500 --> 00:01:20.500]  就是媽
[00:01:20.500 --> 00:01:22.500]  你怎能不愛她
[00:01:22.500 --> 00:01:24.500]  請問PA
[00:01:24.500 --> 00:01:27.500]  這裏有沒有翻轉螢幕可以打開
[00:01:27.500 --> 00:01:34.500]  謝謝
[00:01:34.500 --> 00:01:36.500]  下一張
[00:01:36.500 --> 00:01:40.500]  我們在人生不同的成長階段
