
[00:00:00.000 --> 00:00:03.540]  今天的講道是在聖殿門口的宣講
[00:00:03.540 --> 00:00:04.340]  第三
[00:00:04.340 --> 00:00:08.360]  今天的經文講的是在聖殿的門口的宣講
[00:00:08.360 --> 00:00:09.480]  其實是沒有宣講
[00:00:09.480 --> 00:00:14.400]  是上帝告訴耶利米你要講的東西
[00:00:14.400 --> 00:00:15.280]  其實沒有宣講
[00:00:15.280 --> 00:00:19.040]  是上帝告訴耶利米你要所講的
[00:00:19.040 --> 00:00:21.880]  那麼今天的第三講的題目是什麼呢?
[00:00:21.880 --> 00:00:23.480]  第三講的題目是什麼呢?
[00:00:23.480 --> 00:00:25.480]  耶利米你不可以為百姓祈禱
[00:00:25.480 --> 00:00:27.800]  耶利米不可為百姓祈禱
[00:00:27.800 --> 00:00:30.840]  開道車是上帝叫的
[00:00:30.840 --> 00:00:31.800]  上帝叫的
[00:00:31.800 --> 00:00:33.700]  什麼題目呢?
[00:00:33.700 --> 00:00:35.480]  這個題目呢?
[00:00:35.480 --> 00:00:38.840]  能不能讓你繼續說說為什麼上帝要這麼做?
[00:00:38.840 --> 00:00:41.880]  讓你回想為什麼上帝要這麼做
[00:00:41.880 --> 00:00:42.760]  OK
[00:00:42.760 --> 00:00:46.320]  大家手上有大綱
[00:00:46.320 --> 00:00:47.720]  大家手上有大綱
[00:00:47.720 --> 00:00:49.440]  那麼前文呢?
[00:00:49.440 --> 00:00:50.360]  前文呢?
[00:00:50.360 --> 00:00:51.560]  七章九節
[00:00:51.560 --> 00:00:52.320]  在七章九節
[00:00:52.320 --> 00:00:55.600]  由上帝控告百姓不守十戒
[00:00:55.600 --> 00:00:58.520]  上帝控告百姓不守十戒
[00:00:58.520 --> 00:01:00.840]  在上帝面前假敬拜
[00:01:00.840 --> 00:01:03.240]  在上帝面前假敬拜
[00:01:03.240 --> 00:01:04.520]  什麼叫假敬拜呢?
[00:01:04.520 --> 00:01:05.800]  什麼是假敬拜呢?
[00:01:05.800 --> 00:01:08.120]  我們很容易分
[00:01:08.120 --> 00:01:09.200]  很簡單這麼說
[00:01:09.200 --> 00:01:12.840]  很簡單這麼講
[00:01:12.840 --> 00:01:14.400]  在上帝面前講的東西
[00:01:14.400 --> 00:01:15.360]  在上帝面前講的
[00:01:15.360 --> 00:01:16.400]  答應的東西
[00:01:16.400 --> 00:01:17.760]  答應的
[00:01:17.760 --> 00:01:18.800]  不做
[00:01:18.800 --> 00:01:20.200]  不做
[00:01:20.200 --> 00:01:22.320]  就搞了是不是?
[00:01:22.320 --> 00:01:23.720]  這裡有沒有做父母的?
[00:01:23.720 --> 00:01:25.080]  這裡有沒有父母呢?
[00:01:25.080 --> 00:01:27.160]  有沒有在你面前答應乖兒子?
[00:01:27.160 --> 00:01:30.840]  有沒有兒女在你面前答應做好事?
[00:01:30.840 --> 00:01:32.240]  還沒走出門口
[00:01:32.240 --> 00:01:33.520]  還沒走出門口
[00:01:33.520 --> 00:01:35.040]  就已經不聽你話做了
[00:01:35.040 --> 00:01:36.320]  已經不聽話了
[00:01:36.320 --> 00:01:37.360]  你生不生氣?
[00:01:37.360 --> 00:01:40.760]  你生不生氣呢?
[00:01:40.760 --> 00:01:42.000]  上帝一樣生氣
[00:01:42.000 --> 00:01:44.040]  上帝一樣生氣
[00:01:44.040 --> 00:01:47.200]  上帝說你們將聖殿變為賊窩
[00:01:47.200 --> 00:01:49.680]  上帝說你們將聖殿變成了賊窩
[00:01:49.680 --> 00:01:50.760]  這個我上次講的
[00:01:50.760 --> 00:01:51.760]  我不重複了
[00:01:51.760 --> 00:01:52.840]  這上次講的
[00:01:52.840 --> 00:01:53.880]  七至十節
[00:01:53.880 --> 00:01:55.520]  七到十節
[00:01:55.520 --> 00:02:00.920]  上帝預告百姓將來要受審判
[00:02:00.920 --> 00:02:04.000]  上帝預告百姓將來要受到審判
[00:02:04.000 --> 00:02:05.720]  將要將百姓
[00:02:05.720 --> 00:02:07.200]  就是南國的人
[00:02:07.200 --> 00:02:09.760]  從迦南地趕出去
[00:02:09.760 --> 00:02:13.400]  將南國的人從迦南地趕出去
[00:02:13.400 --> 00:02:17.200]  正如一百年前將北國的人趕出以色列
[00:02:17.200 --> 00:02:20.800]  正如一百多年前將百國的人趕出以色列
[00:02:20.800 --> 00:02:22.680]  其實這個時候已經發生了
[00:02:22.680 --> 00:02:24.040]  其實這個時候已經發生了
[00:02:24.040 --> 00:02:26.800]  因為北國是七二二年
[00:02:26.800 --> 00:02:29.480]  主前七二二年已經亡了給亞述
[00:02:29.480 --> 00:02:32.200]  因為主前七二二年
[00:02:32.200 --> 00:02:34.520]  以色列已經被亞述人所滅了
[00:02:34.520 --> 00:02:36.200]  現在耶利米亞的時代
[00:02:36.200 --> 00:02:37.760]  在耶利米亞時代
[00:02:37.760 --> 00:02:40.160]  是五百多年的時候
[00:02:40.160 --> 00:02:41.800]  是五百多年的時候
[00:02:41.800 --> 00:02:43.160]  八幾年之後
[00:02:43.160 --> 00:02:45.160]  一百多年後
[00:02:45.160 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.480]  耶利米亞的上帝會照辦主管
[00:02:47.480 --> 00:02:47.560]  耶利米亞的上帝會照辦主管
[00:02:47.560 --> 00:02:53.560]  耶利米亞的上帝會照辦主管
[00:03:17.560 --> 00:03:20.360]  現在叫耶利米亞這百姓
[00:03:20.360 --> 00:03:25.680]  我覺得寫文字是表達不了感情
[00:03:25.680 --> 00:03:27.600]  由文字上有很多的
[00:03:27.600 --> 00:03:28.840]  對不起 因為我是香港人
[00:03:28.840 --> 00:03:30.840]  所以我用香港話來表達
[00:03:30.840 --> 00:03:32.600]  用香港話來表示
[00:03:32.600 --> 00:03:35.040]  如果你很生氣的時候
[00:03:35.040 --> 00:03:37.040]  這些人有兒子 知道為什麼嗎
[00:03:37.040 --> 00:03:41.320]  你就會說這些人
[00:03:41.320 --> 00:03:43.200]  聽得懂嗎
[00:03:43.200 --> 00:03:45.040]  你究竟尊重他愛不愛他
[00:03:45.040 --> 00:03:46.600]  是不是很氣的時候說這句話
[00:03:46.600 --> 00:03:48.600]  你在很生氣的時候說這些話
[00:03:48.600 --> 00:03:49.960]  這百姓 你讀的時候
[00:03:49.960 --> 00:03:53.320]  這百姓就是這個戲
[00:03:53.320 --> 00:03:55.440]  七章十六節 十三節
[00:03:55.440 --> 00:03:57.120]  這百姓 是不是有聖經
[00:03:57.120 --> 00:03:59.120]  七章六節到十三節都有
[00:03:59.120 --> 00:04:02.400]  你向這些壞人
[00:04:02.400 --> 00:04:04.080]  傳這些話
[00:04:04.080 --> 00:04:04.880]  傳這些話
[00:04:04.880 --> 00:04:07.440]  七章十六節到八章十六節
[00:04:07.440 --> 00:04:09.080]  都包含了
[00:04:09.080 --> 00:04:10.600]  有兩個指令
[00:04:10.600 --> 00:04:12.440]  包含兩個指令
[00:04:12.440 --> 00:04:13.320]  十六節
[00:04:13.320 --> 00:04:13.920]  在十六節
[00:04:13.920 --> 00:04:15.400]  以及二十七到二十八節上
