
[00:00:00.000 --> 00:00:03.000]  感謝神 神賜給我們這麼美好的屬靈大家庭
[00:00:03.000 --> 00:00:05.000]  在過去二十九年來
[00:00:05.000 --> 00:00:08.000]  在過去二十九年來
[00:00:08.000 --> 00:00:11.000]  你可知道明年是三十週年慶祝嗎
[00:00:11.000 --> 00:00:13.000]  謝謝神啊
[00:00:13.000 --> 00:00:19.000]  無論我們走過多少的高山跟低谷
[00:00:19.000 --> 00:00:24.000]  神的恩典總是緊緊相隨
[00:00:24.000 --> 00:00:28.000]  生命和真的是一個蒙福的大家庭
[00:00:28.000 --> 00:00:33.000]  但為什麼生命和這麼蒙福呢
[00:00:33.000 --> 00:00:38.000]  使我們與人不同的是什麼呢
[00:00:38.000 --> 00:00:42.000]  我相信最主要的原因是因為
[00:00:42.000 --> 00:00:45.000]  在生命和一切事功的背後
[00:00:45.000 --> 00:00:49.000]  是有個神所給我們的核心價值
[00:00:49.000 --> 00:00:57.000]  什麼叫做核心價值
[00:00:57.000 --> 00:00:59.000]  什麼是核心價值
[00:00:59.000 --> 00:01:02.000]  核心價值就是神所賜給我們教會
[00:01:02.000 --> 00:01:11.000]  一套如何侍奉的法則
[00:01:11.000 --> 00:01:13.000]  你說神不是已經給我們教會
[00:01:13.000 --> 00:01:18.000]  很清楚的意向跟策略了嗎
[00:01:18.000 --> 00:01:23.000]  沒錯 神已經給我們教會很好的意向
[00:01:23.000 --> 00:01:27.000]  你還記得我們教的意向是什麼嗎
[00:01:27.000 --> 00:01:31.000]  建造神榮耀的教會
[00:01:31.000 --> 00:01:38.000]  沒錯 神也給我們很好的策略
[00:01:38.000 --> 00:01:40.000]  什麼是我們的策略
[00:01:40.000 --> 00:01:42.000]  四個策略
[00:01:42.000 --> 00:01:43.000]  敬拜讚美
[00:01:43.000 --> 00:01:44.000]  聖靈更新
[00:01:44.000 --> 00:01:46.000]  小組教會
[00:01:46.000 --> 00:01:49.000]  全地轉化
[00:01:49.000 --> 00:01:56.000]  神是給我們一套非常清楚的意向策略
[00:01:56.000 --> 00:02:02.000]  但意向跟策略只不過是個目標
[00:02:02.000 --> 00:02:11.000]  但核心價值卻是達成這個目標的方法
[00:02:11.000 --> 00:02:18.000]  如果說意向跟策略是一個地方的話
[00:02:18.000 --> 00:02:24.000]  那麼核心價值就是個道路
[00:02:24.000 --> 00:02:30.000]  意向策略是可以從一個人來領受
[00:02:30.000 --> 00:02:39.000]  但核心價值卻是要整個會眾花長時間來培育的
[00:02:39.000 --> 00:02:45.000]  那你說我們生命核的核心價值是什麼呢
[00:02:45.000 --> 00:02:50.000]  神給我們生命核核心價值有六項
[00:02:50.000 --> 00:02:54.000]  效法基督 信心跨越
[00:02:54.000 --> 00:02:58.000]  成全聖徒 團隊侍奉
[00:02:58.000 --> 00:03:01.000]  不斷創新 慷慨樂事
[00:03:01.000 --> 00:03:05.000]  所以我們今天要講六點
[00:03:05.000 --> 00:03:11.000]  不過請你放心不會到下午才回家的
[00:03:11.000 --> 00:03:16.000]  第一個要效法基督
[00:03:16.000 --> 00:03:24.000]  換句話說我們的福祉一定要出於基督生命的流露
[00:03:24.000 --> 00:03:28.000]  而不是出於我們的熱心跟能力
[00:03:28.000 --> 00:03:33.000]  第二點 福祉神不只是做事情
[00:03:33.000 --> 00:03:37.000]  做事情人人都會
[00:03:37.000 --> 00:03:44.000]  而且只要你願意學習經驗是可以累積的
[00:03:44.000 --> 00:03:52.000]  但福祉神不只是做事情而是一種生命的流露
[00:03:52.000 --> 00:04:00.000]  你是怎麼樣一個人你表現出來的就是怎麼樣的福祉
[00:04:00.000 --> 00:04:06.000]  所以福祉神不只是做一些對的事情
[00:04:06.000 --> 00:04:10.000]  更重要你要成為一個對的人
[00:04:10.000 --> 00:04:16.000]  今天在教會裡面我看見很多時候很多人在福祉神
[00:04:16.000 --> 00:04:18.000]  不是說不好
[00:04:18.000 --> 00:04:23.000]  可是充滿了自己的個性的流露
[00:04:23.000 --> 00:04:26.000]  充滿了自己的喜好
[00:04:26.000 --> 00:04:32.000]  結果在福祉中帶來極大的傷害
[00:04:32.000 --> 00:04:37.000]  今天我們來服侍神的人
[00:04:37.000 --> 00:04:42.000]  我們的生命是有一個效法的對象
[00:04:42.000 --> 00:04:48.000]  我們是要效法主耶穌基督的樣式
[00:04:48.000 --> 00:04:56.000]  神呼召我們要效法主的樣式來服侍這個世代的人
[00:04:56.000 --> 00:05:02.000]  所以瑪格福音第十章四十五節主這樣說
[00:05:02.000 --> 00:05:04.000]  因為人子來並不是要受人的服侍
[00:05:04.000 --> 00:05:16.000]  乃是要服侍人並且要捨命做多人的贖家
[00:05:16.000 --> 00:05:25.000]  我相信神今天同樣呼召我們要效法主的榜樣來服侍別人
[00:05:25.000 --> 00:05:31.000]  那你說怎麼樣才能夠成為像主的僕人呢
[00:05:31.000 --> 00:05:38.000]  簡單的說就是要為主走第二里路
[00:05:38.000 --> 00:05:42.000]  瑪格福音五章第四十一節
[00:05:42.000 --> 00:05:51.000]  主自己這樣說有人強逼你走一里路你就同他走二里
[00:05:51.000 --> 00:05:59.000]  那說什麼意思呢走第一路表示是你的責任
[00:05:59.000 --> 00:06:04.000]  是你應盡的本分是你不能不做的
[00:06:04.000 --> 00:06:11.000]  但當你開始走第二里路的時候就不是責任
[00:06:11.000 --> 00:06:14.000]  那是你心甘情願的
[00:06:14.000 --> 00:06:21.000]  你發現同一件事情如果你是出於責任去做跟心甘情願做是不一樣的
[00:06:21.000 --> 00:06:30.000]  那是不一樣的心態也帶來不一樣的結果
[00:06:30.000 --> 00:06:36.000]  所以我們的服侍一定是要效法基督
[00:06:36.000 --> 00:06:45.000]  第二個核心價值信心跨越
[00:06:45.000 --> 00:06:57.000]  保留在哥倫多後書第五章第七節說因為我們行事為人是憑著信心不是憑著眼睛
[00:06:57.000 --> 00:07:04.000]  今天我們跟隨神是一定要憑著信心
[00:07:04.000 --> 00:07:17.000]  是在我們眼睛還沒有看見神的道路的時候就要抓住要憑著信心抓住神的應許來跟隨
[00:07:17.000 --> 00:07:20.000]  就像亞伯拉罕一樣
[00:07:20.000 --> 00:07:29.000]  聖經說亞伯拉罕離開了家鄉吾爾的時候還不知道往哪裡去
[00:07:29.000 --> 00:07:35.000]  他只知道神很確定給他一個應許之地
