
[00:00:00.000 --> 00:00:03.240]  今天想和大家分享一個題目是
[00:00:03.240 --> 00:00:04.820]  誰想居首
[00:00:04.820 --> 00:00:08.800]  說白一點,就是誰想做頭
[00:00:08.800 --> 00:00:11.020]  或者你會想
[00:00:11.020 --> 00:00:13.160]  做頭有什麼好處
[00:00:13.160 --> 00:00:16.820]  有了你的名字,責任自然多了
[00:00:16.820 --> 00:00:19.580]  事做好了,是應該的
[00:00:19.580 --> 00:00:22.580]  做不好,就被人批評
[00:00:22.580 --> 00:00:24.360]  不如
[00:00:24.360 --> 00:00:28.320]  躲在別人背後,在背後幫忙
[00:00:29.340 --> 00:00:33.060]  這就是因為責任的問題
[00:00:33.060 --> 00:00:34.500]  不想做頭
[00:00:34.500 --> 00:00:37.900]  但我們是不是真的不想做頭
[00:00:37.900 --> 00:00:41.380]  還記得
[00:00:41.380 --> 00:00:44.240]  自己在美國教會
[00:00:44.240 --> 00:00:45.740]  其中教了一個主學
[00:00:45.740 --> 00:00:48.500]  講的經文,大家很熟悉的
[00:00:48.500 --> 00:00:50.800]  就是《已不所書》第五章22節
[00:00:50.800 --> 00:00:53.720]  題目就是
[00:00:53.720 --> 00:00:56.600]  妻子要信服自己的丈夫
[00:00:57.340 --> 00:00:59.500]  我做了一個很簡單的統計
[00:00:59.500 --> 00:01:03.060]  我問了那裡大約十個妻子
[00:01:03.060 --> 00:01:06.240]  叫他們不記名地
[00:01:06.240 --> 00:01:08.480]  在紙上寫
[00:01:08.480 --> 00:01:10.280]  對這個問題的答案
[00:01:10.280 --> 00:01:13.560]  這個問題就是
[00:01:13.560 --> 00:01:17.300]  覺得自己是不是信服自己的丈夫
[00:01:17.300 --> 00:01:21.540]  答案非常清楚
[00:01:21.540 --> 00:01:26.280]  百分之百的妻子覺得自己不信服
[00:01:27.680 --> 00:01:30.840]  我也問了那裡的十多個丈夫
[00:01:30.840 --> 00:01:35.220]  覺得自己的妻子信不信服自己
[00:01:35.220 --> 00:01:37.780]  答案也非常清楚
[00:01:37.780 --> 00:01:41.480]  所有的丈夫都覺得自己的妻子不信服他
[00:01:41.480 --> 00:01:44.380]  你可能會問
[00:01:44.380 --> 00:01:47.280]  是不是那些丈夫不愛妻子呢
[00:01:47.280 --> 00:01:49.000]  那倒不是
[00:01:49.000 --> 00:01:51.500]  大部分的妻子都覺得
[00:01:51.500 --> 00:01:53.580]  自己的丈夫是愛她的
[00:01:54.360 --> 00:01:57.600]  所以這些妻子不信服自己的丈夫
[00:01:57.600 --> 00:02:00.200]  不是因為丈夫不愛他們
[00:02:00.200 --> 00:02:02.680]  為什麼呢
[00:02:02.680 --> 00:02:05.020]  可能就不能夠接受
[00:02:05.020 --> 00:02:06.860]  丈夫是她的頭
[00:02:06.860 --> 00:02:08.120]  就是說
[00:02:08.120 --> 00:02:10.680]  在自己的家裡面
[00:02:10.680 --> 00:02:13.560]  最少要和自己的丈夫平等
