
[00:00:00.000 --> 00:00:02.000]  我們一起有個祈禱
[00:00:02.000 --> 00:00:04.000]  耶穌,我們來到祢面前
[00:00:04.000 --> 00:00:08.000]  當我們每一次要來尋求祢的面的時候
[00:00:08.000 --> 00:00:10.000]  主啊,我們心裡面有一個渴望
[00:00:10.000 --> 00:00:15.000]  就是渴望我們能夠領受祢的恩賢
[00:00:15.000 --> 00:00:18.000]  主啊,所以我們來到祢面前去呼求祢
[00:00:18.000 --> 00:00:22.000]  主啊,祢說過真理的聖靈來會帶領我們進入真理
[00:00:22.000 --> 00:00:26.000]  主啊,我們要摸到神祢真實的說話
[00:00:26.000 --> 00:00:29.000]  我們很想能夠經歷到祢真實的說話
[00:00:29.000 --> 00:00:32.000]  所以主啊,願祢的靈在我們無論說的聽的
[00:00:32.000 --> 00:00:34.000]  我們都被祢感動
[00:00:34.000 --> 00:00:36.000]  讓我們的心在祢的面前
[00:00:36.000 --> 00:00:37.000]  能夠得著力量
[00:00:37.000 --> 00:00:41.000]  就好像當日二馬五師路上那兩個門徒一樣
[00:00:41.000 --> 00:00:44.000]  當我們來接近祢,聽祢的說話的時候
[00:00:44.000 --> 00:00:46.000]  我們的心裡面可以火熱起來
[00:00:46.000 --> 00:00:48.000]  所以主祢祝福我們與我們同在
[00:00:48.000 --> 00:00:50.000]  奉耶穌的名,阿門
[00:00:50.000 --> 00:00:53.000]  好,那就未解釋聖經,未曬熄聖經
[00:00:53.000 --> 00:00:55.000]  我都喜歡講一個簡單的故事
[00:00:55.000 --> 00:00:59.000]  這個故事話說發生在中世紀的時候
[00:00:59.000 --> 00:01:01.000]  有一個國家,有一個將軍
[00:01:01.000 --> 00:01:06.000]  這個將軍叫做夢將軍
[00:01:06.000 --> 00:01:08.000]  這個夢將軍是做夢的夢
[00:01:08.000 --> 00:01:09.000]  叫做夢將軍
[00:01:09.000 --> 00:01:11.000]  他很有名的,為什麼呢?
[00:01:11.000 --> 00:01:13.000]  因為每一次他打仗
[00:01:13.000 --> 00:01:15.000]  逢打必贏
[00:01:15.000 --> 00:01:17.000]  為什麼他逢打必贏呢?
[00:01:17.000 --> 00:01:21.000]  原來他每一次做夢的時候
[00:01:21.000 --> 00:01:23.000]  都能夠洞悉先機
[00:01:23.000 --> 00:01:25.000]  他竟然能夠看到打仗的情景
[00:01:25.000 --> 00:01:28.000]  以至每一次他都經歷
[00:01:28.000 --> 00:01:31.000]  如何預早安排打贏仗
[00:01:31.000 --> 00:01:33.000]  就好像有一次
[00:01:33.000 --> 00:01:35.000]  他叫所有的士兵
[00:01:35.000 --> 00:01:37.000]  戴上很硬的頭盔
[00:01:37.000 --> 00:01:39.000]  大熱天時戴上很硬的頭盔
[00:01:39.000 --> 00:01:42.000]  那些人就說大熱天時很熱,出去打仗很辛苦
[00:01:42.000 --> 00:01:44.000]  他就叫那些士兵要聽聽
[00:01:44.000 --> 00:01:46.000]  就去打仗了
[00:01:46.000 --> 00:01:48.000]  打打的時候,突然那個天
[00:01:48.000 --> 00:01:50.000]  很天的,落薄
[00:01:50.000 --> 00:01:53.000]  將那些敵人扔死了
[00:01:53.000 --> 00:01:55.000]  他就這樣打贏了一場仗
[00:01:55.000 --> 00:01:56.000]  另外有一次
[00:01:56.000 --> 00:01:58.000]  他又是引領那些敵人
[00:01:58.000 --> 00:02:01.000]  去一些山坡那裡
[00:02:01.000 --> 00:02:02.000]  都沒什麼特別的
[00:02:02.000 --> 00:02:06.000]  其實他引領那些敵人退到一個地步
[00:02:06.000 --> 00:02:09.000]  他們的士兵是退無可退
[00:02:09.000 --> 00:02:10.000]  就在這個時候
[00:02:10.000 --> 00:02:12.000]  突然間山泥傾瀉
[00:02:12.000 --> 00:02:14.000]  將那些敵人淹滅了
[00:02:14.000 --> 00:02:19.000]  每一次他都總是可以打敗敵人
[00:02:19.000 --> 00:02:20.000]  有一天
[00:02:20.000 --> 00:02:23.000]  這個蒙將軍又在做夢了
[00:02:23.000 --> 00:02:26.000]  他夢醒之後就很震驚
[00:02:26.000 --> 00:02:27.000]  震驚,很震驚
[00:02:27.000 --> 00:02:29.000]  這個震驚究竟是震驚什麼呢
[00:02:29.000 --> 00:02:31.000]  原來很久很快之後
[00:02:31.000 --> 00:02:33.000]  就收到一個消息
[00:02:33.000 --> 00:02:35.000]  有很遠的地方
[00:02:35.000 --> 00:02:36.000]  有一個國家
[00:02:36.000 --> 00:02:39.000]  派領幾千隻手船
[00:02:39.000 --> 00:02:41.000]  載著戰船
[00:02:41.000 --> 00:02:43.000]  很多的士兵拿了很多的武器
[00:02:43.000 --> 00:02:45.000]  正前往他們的國家
[00:02:45.000 --> 00:02:47.000]  準備要進攻他們的國家
[00:02:47.000 --> 00:02:50.000]  當大家聽到幾千隻船
[00:02:50.000 --> 00:02:51.000]  很多的武器的時候
[00:02:51.000 --> 00:02:54.000]  大家舉國上下都很害怕
[00:02:54.000 --> 00:02:57.000]  因為其實他們的國家只有萬多人
[00:02:57.000 --> 00:03:00.000]  要對付那十幾萬的士兵
[00:03:00.000 --> 00:03:02.000]  真的相距太遠了
[00:03:02.000 --> 00:03:04.000]  他們就很害怕
[00:03:04.000 --> 00:03:06.000]  有些人就說不如投降吧
[00:03:06.000 --> 00:03:08.000]  不如我們快點走吧
