
[00:00:00.000 --> 00:00:04.720]  今天我想和各位分享的一個訊息
[00:00:04.720 --> 00:00:07.220]  是非常之重要的一個訊息
[00:00:07.220 --> 00:00:09.220]  也是藉著神的話語
[00:00:09.220 --> 00:00:16.020]  聖靈感動保羅在《羅馬書》來幫助我們
[00:00:16.020 --> 00:00:18.620]  在這個題目裏面
[00:00:18.620 --> 00:00:23.300]  我們講到心意要更新
[00:00:23.300 --> 00:00:25.500]  要心意更新
[00:00:25.500 --> 00:00:28.860]  在這個題目裏面
[00:00:28.860 --> 00:00:30.860]  我就不斷在思考
[00:00:30.860 --> 00:00:32.860]  我就發覺
[00:00:32.860 --> 00:00:34.860]  在我們現在
[00:00:34.860 --> 00:00:38.860]  很多人都很喜歡發現新的事物
[00:00:38.860 --> 00:00:39.860]  為甚麼呢?
[00:00:39.860 --> 00:00:41.860]  因為我們有新的事物
[00:00:41.860 --> 00:00:44.860]  我們就會有冒險
[00:00:44.860 --> 00:00:48.860]  我們就會感覺到很刺激
[00:00:48.860 --> 00:00:50.860]  感覺到不單止有刺激
[00:00:50.860 --> 00:00:52.860]  更加有很多的學習
[00:00:52.860 --> 00:00:56.860]  更加我們可以得到新的一些經歷
[00:00:56.860 --> 00:00:58.860]  新的祝福
[00:00:58.860 --> 00:01:00.860]  這些都是很寶貴的
[00:01:00.860 --> 00:01:04.860]  正如聖經裏面的舊約講
[00:01:04.860 --> 00:01:07.860]  迦南是一個很好的地方
[00:01:07.860 --> 00:01:13.860]  以色列人為了要去發現迦南
[00:01:13.860 --> 00:01:15.860]  大家在舊約的聖經裏面
[00:01:15.860 --> 00:01:17.860]  你們都很清楚知道
[00:01:17.860 --> 00:01:21.860]  他們就用了很多的時間
[00:01:21.860 --> 00:01:26.860]  不斷地去希望發現所謂的迦南之地
[00:01:26.860 --> 00:01:29.860]  我們再看看歷史
[00:01:29.860 --> 00:01:33.860]  我們知道中國鄭和都下西洋
[00:01:33.860 --> 00:01:38.860]  我們再看看美國哥倫布發現新大陸
[00:01:38.860 --> 00:01:40.860]  我們再看看
[00:01:40.860 --> 00:01:44.860]  我們知道李文斯頓
[00:01:44.860 --> 00:01:46.860]  他深入去非洲
[00:01:46.860 --> 00:01:48.860]  目的是希望發現一些
[00:01:48.860 --> 00:01:51.860]  他要做的他的抱負
[00:01:51.860 --> 00:01:54.860]  他的使命是甚麼
[00:01:54.860 --> 00:01:58.860]  但是到了二十世紀的時候
[00:01:58.860 --> 00:02:01.860]  慢慢向外發展
[00:02:01.860 --> 00:02:03.860]  向太空發展
[00:02:03.860 --> 00:02:05.860]  然後再發展到甚麼程度呢
[00:02:05.860 --> 00:02:09.860]  就希望發現究竟人的基因在哪裏
[00:02:09.860 --> 00:02:11.860]  這個是二十世紀
[00:02:11.860 --> 00:02:14.860]  時至到今天二十一世紀
[00:02:14.860 --> 00:02:17.860]  究竟新大陸在哪裏呢
[00:02:17.860 --> 00:02:19.860]  慢慢很多人就發現到
[00:02:19.860 --> 00:02:25.860]  原來新大陸不是外在的
[00:02:25.860 --> 00:02:27.860]  是內在
[00:02:27.860 --> 00:02:30.860]  新的大陸不是物質
[00:02:30.860 --> 00:02:34.860]  而是我們的心靈裏面
[00:02:34.860 --> 00:02:36.860]  我們每一個人都有一個
[00:02:36.860 --> 00:02:38.860]  內在的世界
[00:02:38.860 --> 00:02:40.860]  我們內在的世界
[00:02:40.860 --> 00:02:44.860]  就好像一片新的大陸一樣
[00:02:44.860 --> 00:02:48.860]  我們怎樣去發現我們內心的世界
[00:02:48.860 --> 00:02:52.860]  究竟我們新的大陸是有些甚麼呢
[00:02:52.860 --> 00:02:54.860]  很感激神
[00:02:54.860 --> 00:02:59.860]  這個新的大陸是我們每一個人的內心世界
[00:02:59.860 --> 00:03:01.860]  我們要繼續向前
[00:03:01.860 --> 00:03:03.860]  我們要去發現
[00:03:03.860 --> 00:03:05.860]  雖然我們是經過冒險
[00:03:05.860 --> 00:03:10.860]  雖然我們經過一些不容易的地方
[00:03:10.860 --> 00:03:16.860]  但是我們在發現的過程當中
[00:03:16.860 --> 00:03:19.860]  我們可以學到很多寶貴的功課
[00:03:19.860 --> 00:03:21.860]  得到很多的祝福
[00:03:21.860 --> 00:03:25.860]  以至到神希望我們每一位弟兄姊妹
[00:03:25.860 --> 00:03:28.860]  都能夠進入內心世界
[00:03:28.860 --> 00:03:29.860]  一個新的大陸
[00:03:29.860 --> 00:03:33.860]  能夠進入到祂所應許之地
[00:03:33.860 --> 00:03:36.860]  讓我們每一個人都能夠得到祝福
[00:03:36.860 --> 00:03:40.860]  這個是我們今天怎樣可以
[00:03:40.860 --> 00:03:43.860]  能夠在這個新的大陸裏面
[00:03:43.860 --> 00:03:47.860]  我們可以不斷地去學習
[00:03:47.860 --> 00:03:51.860]  不斷地能夠去蒙受主的祝福呢
[00:03:51.860 --> 00:03:55.860]  我們就需要心意更振
[00:03:55.860 --> 00:03:58.860]  今天我想跟大家分享的
[00:03:58.860 --> 00:03:59.860]  在未分享之前
[00:03:59.860 --> 00:04:01.860]  我們一起祈禱
[00:04:01.860 --> 00:04:03.860]  我們求聖靈帶領我們
[00:04:03.860 --> 00:04:05.860]  求聖靈幫助我們
