
[00:00:00.000 --> 00:00:02.000]  各位弟子們 早安
[00:00:02.000 --> 00:00:07.000]  邀請大家再一次低頭和我一起祈禱
[00:00:07.000 --> 00:00:13.000]  親主我們多謝你
[00:00:13.000 --> 00:00:16.000]  祝多謝你賜給我們生命氣息
[00:00:16.000 --> 00:00:19.000]  多謝你去呼喚和吸引我們
[00:00:19.000 --> 00:00:25.000]  以上我們能夠回到你的殿裏面去敬拜你
[00:00:26.000 --> 00:00:31.000]  我領求上帝賜給我們有生命和誠實
[00:00:31.000 --> 00:00:33.000]  懂得如何去敬拜
[00:00:33.000 --> 00:00:38.000]  又願在你的殿裏面去得盡你所賜一切的豐富
[00:00:38.000 --> 00:00:42.000]  願聽的和說的都同蒙你的原諒
[00:00:42.000 --> 00:00:45.000]  祈禱奉主耶穌基督的名求 阿門
[00:00:45.000 --> 00:00:52.000]  在我還年輕的時候
[00:00:52.000 --> 00:00:56.000]  我曾經和我的朋友分享過
[00:00:56.000 --> 00:01:01.000]  如果可以置身於大自然的美景當中
[00:01:01.000 --> 00:01:03.000]  耳朵戴著聽筒
[00:01:03.000 --> 00:01:05.000]  聽一些很微妙的音樂
[00:01:05.000 --> 00:01:07.000]  如果加上一隻手
[00:01:07.000 --> 00:01:10.000]  可以捧到一本好的書
[00:01:10.000 --> 00:01:13.000]  真是一件人生的樂事
[00:01:13.000 --> 00:01:15.000]  我現在也是這樣覺得
[00:01:15.000 --> 00:01:18.000]  當有朋友聽我這句說話之後
[00:01:18.000 --> 00:01:22.000]  他講了一句話:你這麼容易滿足的
[00:01:22.000 --> 00:01:25.000]  當日的我覺得很奇怪
[00:01:25.000 --> 00:01:29.000]  相信他這句說話不是一個讚許
[00:01:29.000 --> 00:01:33.000]  但我又不太明白我有什麼問題
[00:01:33.000 --> 00:01:36.000]  人慢慢長大可能會覺得
[00:01:36.000 --> 00:01:38.000]  人真的需要有大志
[00:01:38.000 --> 00:01:41.000]  才可以有大的成就
[00:01:41.000 --> 00:01:44.000]  或者我這麼容易滿足
[00:01:44.000 --> 00:01:48.000]  一方面不會有什麼成就或貢獻
[00:01:48.000 --> 00:01:51.000]  更可能是我成長的半腳石
[00:01:51.000 --> 00:01:53.000]  不過人越來越大的時候
[00:01:53.000 --> 00:01:55.000]  就明白人沒有錯
[00:01:55.000 --> 00:01:57.000]  真的需要有理想
[00:01:57.000 --> 00:01:58.000]  有志向
[00:01:58.000 --> 00:02:00.000]  但同時也需要有一些
[00:02:00.000 --> 00:02:04.000]  令自己很容易滿足開心的事情
[00:02:04.000 --> 00:02:06.000]  究竟怎樣去選擇
[00:02:06.000 --> 00:02:09.000]  怎樣去平衡呢
[00:02:09.000 --> 00:02:15.000]  不如我們聽一下上帝在聖經裡對我們的教導
[00:02:15.000 --> 00:02:18.000]  法祥公穆斯拉為我們讀出今天的經文
[00:02:18.000 --> 00:02:20.000]  詩篇23篇1至6節
[00:02:20.000 --> 00:02:23.000]  我相信這首詩篇、這首詩歌
[00:02:23.000 --> 00:02:27.000]  很多人都會認為是詩篇之中的詩篇
[00:02:27.000 --> 00:02:31.000]  可能你不單止看過、聽過
