
[00:00:00.000 --> 00:00:05.000]  今日我的講題題目是有些敏感的
[00:00:05.000 --> 00:00:08.000]  「晨早嘍嘍講到死」
[00:00:08.000 --> 00:00:12.000]  還有「死」這個字很多時候我們都不敢去碰
[00:00:12.000 --> 00:00:15.000]  或者不敢去提的
[00:00:15.000 --> 00:00:18.000]  我們甚至會用一些字眼來代替
[00:00:18.000 --> 00:00:21.000]  例如「返咗舊時嗰度」
[00:00:21.000 --> 00:00:22.000]  「過咗身」
[00:00:22.000 --> 00:00:23.000]  「拜拜咗」
[00:00:23.000 --> 00:00:24.000]  「瞓咗覺」
[00:00:24.000 --> 00:00:26.000]  「香咗」
[00:00:26.000 --> 00:00:32.000]  近期這個情況似乎有些改變
[00:00:32.000 --> 00:00:35.000]  去年有一個機構
[00:00:35.000 --> 00:00:41.000]  他們在新開設的長者中心設了一間體驗館
[00:00:41.000 --> 00:00:49.000]  這個體驗館是讓到訪的客人體驗一下生老病死
[00:00:49.000 --> 00:00:56.000]  更加邀請了城中的名人來訓棺材
[00:00:56.000 --> 00:01:02.000]  讓他們訓在棺材裏面體驗一下死亡的滋味
[00:01:02.000 --> 00:01:04.000]  不單止香港
[00:01:04.000 --> 00:01:07.000]  南韓也有這樣的活動
[00:01:07.000 --> 00:01:10.000]  他們有一些體驗營
[00:01:10.000 --> 00:01:14.000]  參加者去到會場裏面的時候
[00:01:14.000 --> 00:01:19.000]  找回自己的照片和名字
[00:01:19.000 --> 00:01:22.000]  然後寫下遺書
[00:01:22.000 --> 00:01:27.000]  大聲讀出遺書的內容
[00:01:27.000 --> 00:01:33.000]  有人來跟他們舉行入棺儀式
[00:01:33.000 --> 00:01:38.000]  參加者在棺材裏面睡十分鐘
[00:01:38.000 --> 00:01:42.000]  在裏面體驗一下死亡
[00:01:42.000 --> 00:01:44.000]  日本也有
[00:01:44.000 --> 00:01:46.000]  日本那些是一個月舉辦一次
[00:01:46.000 --> 00:01:49.000]  每次最多六個人參加
[00:01:49.000 --> 00:01:51.000]  大家想不想去試試?
[00:01:51.000 --> 00:01:53.000]  不想
[00:01:53.000 --> 00:02:01.000]  這些活動其實是近年興起的生死教育的其中一些活動
[00:02:01.000 --> 00:02:07.000]  這些活動的目的都是希望參加者藉著體驗死亡
[00:02:07.000 --> 00:02:11.000]  之後能夠更加珍惜生命
[00:02:11.000 --> 00:02:16.000]  並且懂得如何面對和處理死亡
[00:02:16.000 --> 00:02:20.000]  其實現在科技越來越發達
[00:02:20.000 --> 00:02:23.000]  人的壽命也越來越長
[00:02:23.000 --> 00:02:26.000]  不過始終不能敵得過死亡
[00:02:26.000 --> 00:02:31.000]  非自然死亡也有增無減
[00:02:31.000 --> 00:02:33.000]  什麼是非自然死亡呢?
[00:02:33.000 --> 00:02:39.000]  不是因為疾病、年老等等原因而致死亡
[00:02:39.000 --> 00:02:41.000]  很可能是因為天災人禍
[00:02:41.000 --> 00:02:46.000]  因為各種人為的意外
[00:02:46.000 --> 00:02:49.000]  這些非自然死亡率越高
[00:02:49.000 --> 00:02:52.000]  其中一個帶來的影響
[00:02:52.000 --> 00:02:56.000]  就是使人對生命越來越沒有把握
[00:02:56.000 --> 00:02:58.000]  越來越不安
[00:02:58.000 --> 00:03:05.000]  有些人索性抱著一種今朝有酒今朝醉的態度去面對人生
[00:03:05.000 --> 00:03:09.000]  或者去到另一個極端就是很害怕
[00:03:09.000 --> 00:03:10.000]  很怕死
[00:03:10.000 --> 00:03:13.000]  終日惶恐不安
[00:03:13.000 --> 00:03:15.000]  而另一方面
[00:03:15.000 --> 00:03:19.000]  死亡也好像變得越來越不受重視
[00:03:19.000 --> 00:03:21.000]  我們會忽視它
[00:03:21.000 --> 00:03:25.000]  甚至死亡好像只是一個數字
[00:03:25.000 --> 00:03:31.000]  我們知道最近南韓發生歲月號沉沒的海難
[00:03:31.000 --> 00:03:35.000]  起初那一兩天我聽新聞的時候
[00:03:35.000 --> 00:03:39.000]  我聽到有三、四個人死亡
[00:03:39.000 --> 00:03:41.000]  然後我就想
[00:03:41.000 --> 00:03:44.000]  一宗沉船意外有三幾個人死亡
[00:03:44.000 --> 00:03:47.000]  為什麼會成為國際都哄動的新聞呢?
[00:03:47.000 --> 00:03:49.000]  然後我再聽真一點
[00:03:49.000 --> 00:03:52.000]  就知道有幾百人失蹤
[00:03:52.000 --> 00:03:54.000]  我再想深一層
[00:03:54.000 --> 00:03:56.000]  我是不是變得麻木了呢?
[00:03:56.000 --> 00:03:59.000]  就算只是三、四個人死亡
[00:03:59.000 --> 00:04:01.000]  也是人命
[00:04:01.000 --> 00:04:03.000]  為什麼我會變得這麼麻木呢?
[00:04:03.000 --> 00:04:05.000]  人就是這樣
[00:04:05.000 --> 00:04:07.000]  我們慢慢會變得麻木
[00:04:07.000 --> 00:04:09.000]  死亡變成只是一個數字
[00:04:09.000 --> 00:04:14.000]  我們只是對數字的大小有反應
[00:04:14.000 --> 00:04:16.000]  當人重視死亡的時候
[00:04:16.000 --> 00:04:20.000]  其實我們也忽略生命的意義
[00:04:20.000 --> 00:04:24.000]  我們也不了解生命存在的意義
[00:04:24.000 --> 00:04:28.000]  今天我很想藉著我們復活節的主日
[00:04:28.000 --> 00:04:30.000]  藉著今天的訊息
[00:04:30.000 --> 00:04:32.000]  跟大家一起思想
[00:04:32.000 --> 00:04:35.000]  我們應該如何面對死亡
[00:04:35.000 --> 00:04:37.000]  在我們面對死亡的時候
[00:04:37.000 --> 00:04:39.000]  首先我們要知道
[00:04:39.000 --> 00:04:42.000]  或生或死有神掌舵
[00:04:42.000 --> 00:04:43.000]  無用懼怕
[00:04:43.000 --> 00:04:45.000]  首先我們要不怕死
[00:04:45.000 --> 00:04:49.000]  剛才讀經完和我們讀的那段經文
[00:04:49.000 --> 00:04:52.000]  其實在那段經文之前還有幾節
[00:04:52.000 --> 00:04:55.000]  介紹這件事的背景
[00:04:55.000 --> 00:04:58.000]  我們看看第十一章一開始
[00:04:58.000 --> 00:04:59.000]  我們一起讀
[00:04:59.000 --> 00:05:01.000]  有一個患病的人
[00:05:01.000 --> 00:05:03.000]  名叫拉薩盧
[00:05:03.000 --> 00:05:05.000]  住在白大尼
[00:05:05.000 --> 00:05:09.000]  就是瑪利亞和他子子瑪大的村莊
[00:05:09.000 --> 00:05:13.000]  這瑪利亞就是那用香膏抹煮
[00:05:13.000 --> 00:05:19.000]  又用頭髮擦他腳的患病的拉薩盧是他的兄弟
[00:05:19.000 --> 00:05:22.000]  這裡提到瑪大瑪利亞
[00:05:22.000 --> 00:05:24.000]  他們應該是我們熟悉的
[00:05:24.000 --> 00:05:28.000]  因為他們是路加福音第十章的姐妹花
[00:05:28.000 --> 00:05:32.000]  他們曾經接待耶穌到他們的家
[00:05:32.000 --> 00:05:36.000]  而拉薩盧是他們的兄弟
[00:05:36.000 --> 00:05:38.000]  按照第五節的排名
[00:05:38.000 --> 00:05:40.000]  瑪大排第一
[00:05:40.000 --> 00:05:42.000]  有可能他是大姐姐
[00:05:42.000 --> 00:05:44.000]  然後是瑪利亞
[00:05:44.000 --> 00:05:48.000]  最後是拉薩盧排最後
[00:05:48.000 --> 00:05:51.000]  他很可能是弟弟
[00:05:51.000 --> 00:05:56.000]  而瑪利亞就在第十二章說到
[00:05:56.000 --> 00:06:02.000]  用一瓶很貴重的曾拿達香膏來羔抹耶穌
[00:06:02.000 --> 00:06:09.000]  然後又用頭髮擦乾耶穌腳的那位女士瑪利亞
[00:06:09.000 --> 00:06:12.000]  在這裡我們看到瑪大和瑪利亞
[00:06:12.000 --> 00:06:18.000]  他們派人將弟弟病重的消息告訴耶穌
[00:06:18.000 --> 00:06:23.000]  雖然他們沒有說得很清楚
[00:06:23.000 --> 00:06:26.000]  但他們這樣派人將消息告訴耶穌
[00:06:26.000 --> 00:06:30.000]  其實他們是希望耶穌來幫助他們
[00:06:30.000 --> 00:06:33.000]  我們看看當時耶穌有什麼反應
[00:06:33.000 --> 00:06:34.000]  我們一起讀
[00:06:34.000 --> 00:06:37.000]  耶穌聽見就說
[00:06:37.000 --> 00:06:39.000]  這病不至於死
[00:06:39.000 --> 00:06:41.000]  乃是為神的榮耀
[00:06:41.000 --> 00:06:45.000]  叫神的兒子因此得榮耀
[00:06:45.000 --> 00:06:50.000]  耶穌數來愛馬大和他妹子並拉薩盧
[00:06:50.000 --> 00:06:52.000]  聽見拉薩盧病了
[00:06:52.000 --> 00:06:56.000]  就在所居之地營住了兩天
[00:06:56.000 --> 00:07:00.000]  這裡說到這個病不至於死
[00:07:00.000 --> 00:07:04.000]  其實不是指這個病不是太嚴重
[00:07:04.000 --> 00:07:05.000]  是不會致命
[00:07:05.000 --> 00:07:06.000]  不是這個意思
[00:07:06.000 --> 00:07:08.000]  耶穌指這個病不至於死
[00:07:08.000 --> 00:07:13.000]  是指這個病最終不會以死亡作為結束
[00:07:13.000 --> 00:07:16.000]  為什麼耶穌可以一開始那麼肯定
[00:07:16.000 --> 00:07:19.000]  這個病不會以死亡作為結束呢?
