
[00:00:00.000 --> 00:00:03.880]  父母怕子女反叛不聽自己話
[00:00:03.880 --> 00:00:06.080]  怕沒工作
[00:00:06.080 --> 00:00:10.040]  弟兄怕找不到女朋友
[00:00:10.040 --> 00:00:11.800]  有些人說
[00:00:11.800 --> 00:00:13.760]  有些人怕死
[00:00:13.760 --> 00:00:15.520]  同樣有些人不怕死
[00:00:15.520 --> 00:00:20.080]  但又怕病毒不生不死
[00:00:20.080 --> 00:00:22.960]  我們人生很多事會怕
[00:00:22.960 --> 00:00:24.640]  基年都有很多事怕
[00:00:24.640 --> 00:00:26.200]  上次說基年怕什麼呢?
[00:00:26.200 --> 00:00:27.960]  怕自己沒這個能力
[00:00:27.960 --> 00:00:31.720]  他又怕上帝和我們一起
[00:00:31.720 --> 00:00:36.920]  他又怕自己這隊以色列人打不贏其他龐大的軍隊
[00:00:36.920 --> 00:00:40.120]  其他敵人很多敵人很怕
[00:00:40.120 --> 00:00:42.280]  所以我們集中看看今天
[00:00:42.280 --> 00:00:44.440]  我們這麼勁的神
[00:00:44.440 --> 00:00:46.560]  他怎樣搞定基電呢
[00:00:46.560 --> 00:00:49.040]  怎樣令基電由恐懼
[00:00:49.040 --> 00:00:51.360]  怕,以至到他不怕
[00:00:51.360 --> 00:00:56.080]  帶著以色列人一起去打仗
[00:00:56.080 --> 00:00:58.440]  同樣的弟兄姊妹,今天我們都將我們的怕
[00:00:58.440 --> 00:01:00.360]  擺到神面前
[00:01:00.360 --> 00:01:02.480]  你試下開放你的心
[00:01:02.480 --> 00:01:07.320]  告訴神你有什麼內心有什麼恐懼的事
[00:01:07.320 --> 00:01:10.440]  你現在就求神親自向你說話
[00:01:10.440 --> 00:01:19.240]  我們低頭禱告
[00:01:19.240 --> 00:01:21.000]  天父啊
[00:01:21.000 --> 00:01:24.160]  你的兒女們現在在你面前
[00:01:24.160 --> 00:01:26.840]  我們公聽,我們洗耳恭聽
[00:01:26.840 --> 00:01:30.400]  神你自己的說話
[00:01:30.400 --> 00:01:35.760]  求你親自和我們每一位弟兄姊妹說話
[00:01:35.760 --> 00:01:37.600]  開我們的耳朵
[00:01:37.600 --> 00:01:39.480]  開我們的眼
[00:01:39.480 --> 00:01:43.120]  打開我們的心
[00:01:43.120 --> 00:01:46.160]  求主你大令以下這段時間
[00:01:46.160 --> 00:01:48.560]  禱告奉耶穌基督的聖名求
[00:01:48.560 --> 00:01:49.560]  阿們
[00:01:49.560 --> 00:01:57.320]  怕,我想看回經文第一至第三節
[00:01:57.320 --> 00:02:00.200]  我們再讀一次,預備,一二三
[00:02:00.200 --> 00:02:02.920]  耶路巴力就是基電
[00:02:02.920 --> 00:02:06.520]  他和一切跟隨的人早晨起來
[00:02:06.520 --> 00:02:09.120]  在哈律全旁安營
[00:02:09.120 --> 00:02:12.360]  米顛營在他們北邊的平原
[00:02:12.360 --> 00:02:14.400]  靠近摩利江
[00:02:14.400 --> 00:02:16.560]  耶和華對基電說
[00:02:16.560 --> 00:02:18.680]  跟隨你的人過多
[00:02:18.680 --> 00:02:22.440]  我不能將米顛營交在他們手中
[00:02:22.440 --> 00:02:25.000]  免得以色列人向我誇大
[00:02:25.000 --> 00:02:29.200]  說是我們自己的手救了我們
[00:02:29.200 --> 00:02:32.600]  現在你要向這些人宣告說
[00:02:32.600 --> 00:02:34.680]  凡懼怕膽怯的
[00:02:34.680 --> 00:02:37.640]  可以離開這些山回去
[00:02:37.640 --> 00:02:40.680]  於是有二萬二千人回去
[00:02:40.680 --> 00:02:43.240]  只剩下一萬人
[00:02:43.240 --> 00:02:44.600]  好
[00:02:44.600 --> 00:02:47.640]  有少少資料就是當時這班以色列人
[00:02:47.640 --> 00:02:51.280]  面對著他們龐大的敵人
[00:02:51.280 --> 00:02:53.280]  大概有多少呢
[00:02:53.280 --> 00:02:57.080]  大概是十三萬五千人
[00:02:57.080 --> 00:02:58.680]  我們先看回上一章
