
[00:00:00.000 --> 00:00:03.640]  今天要繼續跟大家講《針研》的系列
[00:00:03.640 --> 00:00:08.360]  第九講就是領袖的、領導的智慧
[00:00:08.360 --> 00:00:11.080]  所羅門王其實是一個君王
[00:00:11.080 --> 00:00:14.080]  所以他在《針研》裏面有很多的教導
[00:00:14.080 --> 00:00:16.360]  都是給領袖的教導
[00:00:16.360 --> 00:00:19.100]  你說今天講領袖的智慧
[00:00:19.100 --> 00:00:20.600]  我又不是領袖
[00:00:20.600 --> 00:00:24.520]  今天這篇導讀對我來說是毫無意義
[00:00:24.520 --> 00:00:26.560]  但是今天所講的
[00:00:26.560 --> 00:00:29.080]  都是有關同臣的關係
[00:00:29.080 --> 00:00:30.800]  或者是待人接物
[00:00:30.800 --> 00:00:33.400]  所以每個人都應該是得益
[00:00:33.400 --> 00:00:35.360]  而且在11月
[00:00:35.360 --> 00:00:38.720]  我們知道美國就會有總統的大選
[00:00:38.720 --> 00:00:40.680]  這篇導讀就是教我們
[00:00:40.680 --> 00:00:45.400]  怎樣能夠選出一個合臣心意的美國總統
[00:00:45.400 --> 00:00:46.920]  一個好的領袖
[00:00:46.920 --> 00:00:50.640]  所以這篇導讀是非常非常重要
[00:00:50.640 --> 00:00:54.720]  我們講《針研》裏面的君王
[00:00:54.720 --> 00:00:59.320]  其實和現在現代的領袖是有很大的分別
[00:00:59.320 --> 00:01:03.360]  但是《針研》裏面所給君王的勸告
[00:01:03.360 --> 00:01:07.040]  都是很適合今時今日的領袖
[00:01:07.040 --> 00:01:11.440]  今天的經文是記載在《針研》的29章第二節
[00:01:11.440 --> 00:01:14.440]  說「義人增多,民就喜樂
[00:01:14.440 --> 00:01:18.000]  惡人掌權,民就嘆息」
[00:01:18.000 --> 00:01:19.720]  如果是有好領袖的時候
[00:01:19.720 --> 00:01:21.640]  人民就會歡喜快樂
[00:01:21.640 --> 00:01:24.440]  但是如果領袖是不好的時候
[00:01:24.440 --> 00:01:27.600]  人民就會悲傷嘆息
[00:01:27.600 --> 00:01:33.960]  今天會和大家講四點是有關領導的智慧
[00:01:33.960 --> 00:01:38.440]  第一點要講的是領導的質素
[00:01:38.440 --> 00:01:41.200]  你說領袖的質素不重要
[00:01:41.200 --> 00:01:42.760]  最重要是懂得做事
[00:01:42.760 --> 00:01:45.840]  懂得帶領人這樣就可以了
[00:01:45.840 --> 00:01:49.120]  但這個不是《針研》裏面所講的
[00:01:49.120 --> 00:01:50.320]  如果是這樣
[00:01:50.320 --> 00:01:56.280]  《針研》裏面就不會有那麼多是關於領袖的質素的教導
[00:01:56.280 --> 00:01:58.480]  如果神話重要
[00:01:58.480 --> 00:02:00.000]  我們說不重要
[00:02:00.000 --> 00:02:01.520]  那究竟重要嗎?
