
[00:00:00.000 --> 00:00:02.940]  弟兄姊妹,祝日平安
[00:00:02.940 --> 00:00:07.460]  在這裡先祝大家母親節快樂
[00:00:07.460 --> 00:00:12.460]  我不戴口罩
[00:00:12.460 --> 00:00:15.140]  因為戴了口罩,大概不知道怎麼講話
[00:00:15.140 --> 00:00:21.240]  大家有沒有覺得今天應該是很開心的日子
[00:00:21.240 --> 00:00:24.300]  請問在座的母親
[00:00:24.300 --> 00:00:27.220]  妳已經收到花的人舉手
[00:00:28.780 --> 00:00:31.860]  那妳的花還在路上的人舉手
[00:00:31.860 --> 00:00:35.880]  這第二個舉手的人是需要有信心的
[00:00:35.880 --> 00:00:38.740]  我就是那個有信心的人
[00:00:38.740 --> 00:00:43.660]  每一年的聖誕節,根據統計
[00:00:43.660 --> 00:00:47.500]  大概76%的母親會期望收到花
[00:00:47.500 --> 00:00:50.020]  那所有的花店
[00:00:50.020 --> 00:00:52.720]  生意最好的那一天就是母親節
[00:00:52.720 --> 00:00:55.800]  所以花店都特別感謝母親
[00:00:55.880 --> 00:00:58.860]  那除了花店感謝母親
[00:00:58.860 --> 00:01:01.300]  餐廳也感謝母親
[00:01:01.300 --> 00:01:05.460]  通常母親節這一天是訂不到餐館的
[00:01:05.460 --> 00:01:08.020]  所以很多人都提前一天去吃
[00:01:08.020 --> 00:01:11.520]  那已經吃到母親節大餐的請舉手
[00:01:11.520 --> 00:01:14.800]  好,請放下
[00:01:14.800 --> 00:01:18.060]  那妳將會收到母親節大餐的舉手
[00:01:18.060 --> 00:01:20.880]  這第二批的人是有信心的
[00:01:20.880 --> 00:01:22.500]  我也是第二批的人
[00:01:23.380 --> 00:01:26.340]  好,感謝神啊,那我們知道
[00:01:26.340 --> 00:01:29.320]  母親節是一年當中非常重要的日子
[00:01:29.320 --> 00:01:33.140]  不是說只有這一天,我們才紀念母親的愛
[00:01:33.140 --> 00:01:35.900]  其實母親的愛是無影
[00:01:35.900 --> 00:01:39.400]  隨行的,就是時時刻刻
[00:01:39.400 --> 00:01:42.360]  那個愛都是我們會體會的
[00:01:42.360 --> 00:01:45.560]  最近呢,有一個很火紅的職業
[00:01:45.560 --> 00:01:47.400]  在中國興起
[00:01:47.400 --> 00:01:51.100]  那這個職業很特別,它叫做
[00:01:51.100 --> 00:01:53.880]  家庭教育導師證
[00:01:53.880 --> 00:01:56.860]  我記得十幾年前,我們有很多的人
[00:01:56.860 --> 00:01:59.860]  一波汪的到中國要去考
[00:01:59.860 --> 00:02:02.160]  心理輔導諮詢師的證件
[00:02:02.160 --> 00:02:05.180]  然後又有一批人要去搞企業管理的證件
[00:02:05.180 --> 00:02:08.100]  最近呢,又出現了要
[00:02:08.100 --> 00:02:11.140]  家庭教育的導師證
[00:02:11.140 --> 00:02:14.440]  太厲害了,為什麼會有這樣子的改變呢
[00:02:14.440 --> 00:02:17.460]  就是中國的社會的發展
[00:02:17.460 --> 00:02:20.420]  讓大家發現,過去的價值觀
[00:02:20.420 --> 00:02:23.280]  已經不存在
[00:02:23.280 --> 00:02:26.000]  很多人一切向前看
[00:02:26.000 --> 00:02:29.260]  向前看
[00:02:29.260 --> 00:02:32.000]  很多人所追求的,跟過去的道德體系
[00:02:32.000 --> 00:02:34.780]  已經完全不一樣了
[00:02:34.780 --> 00:02:37.800]  所以有很多人發現說,好像這個社會的架構
[00:02:37.800 --> 00:02:40.040]  體制有一點點,不是那麼
[00:02:40.040 --> 00:02:43.600]  穩,有一點shaky,好像有一點動盪
[00:02:43.600 --> 00:02:46.400]  人的心裡,有很多東西
[00:02:46.400 --> 00:02:49.440]  是不符合我們過去有的道德價值觀
[00:02:49.440 --> 00:02:52.380]  我前一陣子也跟別人聊天
[00:02:52.380 --> 00:02:55.380]  他說,不能相信
[00:02:55.380 --> 00:02:58.340]  很多東西都不能相信
[00:02:58.340 --> 00:03:01.340]  我們就不在這裡提了,那我們就看到這是一個社會的現象
[00:03:01.340 --> 00:03:04.340]  家庭教育跟學校教育
[00:03:04.340 --> 00:03:07.440]  還有社會教育,是被稱為
[00:03:07.440 --> 00:03:10.440]  教育的三大支柱,這其中
[00:03:10.440 --> 00:03:13.440]  家庭教育又是最重要的
[00:03:13.440 --> 00:03:16.440]  所以很可喜的是說,在中國的社會裡
[00:03:16.440 --> 00:03:19.440]  家庭教育是最重要的
[00:03:19.440 --> 00:03:22.440]  這一批家庭教育的導師要做什麼呢?
[00:03:22.440 --> 00:03:25.440]  他們就是要協助家長,怎麼培育你的孩子
[00:03:25.440 --> 00:03:28.440]  陪伴你的孩子,引導他們
[00:03:28.440 --> 00:03:31.440]  怎麼樣教導孩子
