
[00:00:00.000 --> 00:00:04.080]  大家知不知道我們今年的主題是什麼
[00:00:04.080 --> 00:00:06.240]  一起讀
[00:00:06.240 --> 00:00:08.240]  逆流而上
[00:00:08.240 --> 00:00:10.000]  乘風而飛
[00:00:10.000 --> 00:00:14.120]  你有沒有想起中國成語裏面有沒有用飛字呢?
[00:00:14.120 --> 00:00:16.960]  有沒有想過
[00:00:16.960 --> 00:00:18.640]  特飛猛進
[00:00:18.640 --> 00:00:21.400]  小朋友的成績
[00:00:21.400 --> 00:00:24.680]  特飛猛進就是最開心的
[00:00:24.680 --> 00:00:25.840]  還有什麼呢?
[00:00:25.840 --> 00:00:27.320]  雙翼齊飛
[00:00:27.320 --> 00:00:28.960]  哇 厲害了
[00:00:28.960 --> 00:00:31.560]  雙翼齊飛就很強勁
[00:00:31.560 --> 00:00:33.400]  一方面都不夠
[00:00:33.400 --> 00:00:34.960]  很多教會就說
[00:00:34.960 --> 00:00:37.520]  我們的敬拜和小祖
[00:00:37.520 --> 00:00:38.960]  雙翼齊飛的時候
[00:00:38.960 --> 00:00:41.520]  整個教會就能夠興旺起來
[00:00:41.520 --> 00:00:43.040]  還有什麼呢?
[00:00:43.040 --> 00:00:45.040]  振翅高飛
[00:00:45.040 --> 00:00:46.320]  好像這個圖一樣
[00:00:46.320 --> 00:00:49.400]  這隻鷹振翅高飛
[00:00:49.400 --> 00:00:51.320]  還有什麼呢?
[00:00:51.320 --> 00:00:53.840]  乘風而飛
[00:00:53.840 --> 00:00:56.360]  還有沒有什麼飛呢?
[00:00:57.880 --> 00:00:59.120]  飛黃騰達
[00:00:59.120 --> 00:01:00.800]  哇 我沒有想過
[00:01:00.800 --> 00:01:02.960]  可能我比較熟悉
[00:01:02.960 --> 00:01:04.760]  飛黃騰達也是
[00:01:04.760 --> 00:01:06.360]  真的很棒
[00:01:06.360 --> 00:01:09.760]  但是也有一些很特別的
[00:01:09.760 --> 00:01:10.960]  說飛字
[00:01:10.960 --> 00:01:12.080]  比如說
