
[00:00:00.000 --> 00:00:02.740]  菩提先輩讓我們聽神爹道爾心
[00:00:02.740 --> 00:00:04.640]  一起再次以禱告
[00:00:04.640 --> 00:00:07.640]  預備我們新心靈去聆聽主的話語
[00:00:07.640 --> 00:00:10.020]  弟子們讓我們在聆聽主道之前
[00:00:10.020 --> 00:00:11.720]  先讓我們一同禱告
[00:00:11.720 --> 00:00:14.560]  聆聽主的聲音
[00:00:14.560 --> 00:00:18.160]  菩薩多謝祢給我們有這樣的機會
[00:00:18.160 --> 00:00:22.460]  仍然可以有生命氣息打開祢的說話
[00:00:22.460 --> 00:00:26.600]  去明白主祢行事的特色
[00:00:26.600 --> 00:00:30.200]  也讓我們作為祢的兒女
[00:00:30.200 --> 00:00:32.700]  讓我們學會怎樣一步一步
[00:00:32.700 --> 00:00:36.540]  去隨著祢的教導而成長起來
[00:00:36.540 --> 00:00:37.980]  我們不得不承認
[00:00:37.980 --> 00:00:41.740]  我們本身是有很多不成熟的地方
[00:00:41.740 --> 00:00:44.040]  即使我們信主多年
[00:00:44.040 --> 00:00:46.680]  可能我們的信對你的認識
[00:00:46.680 --> 00:00:51.920]  仍然是很簡單、很膚淺
[00:00:51.920 --> 00:00:54.160]  但願我們能夠隨著祢的聲明
[00:00:54.160 --> 00:00:58.300]  進入一個更成熟、更準心的生命
[00:00:58.300 --> 00:01:01.640]  好使我們能夠在上帝祢的當中
[00:01:01.640 --> 00:01:05.400]  預示將來我們所能夠與祢同活的時候
[00:01:05.400 --> 00:01:09.740]  是一個真是合乎屬於祢心意的生命
[00:01:09.740 --> 00:01:11.280]  求祢與我們同在
[00:01:11.280 --> 00:01:12.320]  冒照我們
[00:01:12.320 --> 00:01:14.380]  預備進入一個這樣的
[00:01:14.380 --> 00:01:16.880]  永恆的生命、生活的當中
[00:01:16.880 --> 00:01:18.160]  我親愛的天父感謝祢
[00:01:18.160 --> 00:01:21.460]  讓我們能夠再次打開祢的說話
[00:01:21.460 --> 00:01:24.060]  讓我們有生命、有機會
[00:01:24.060 --> 00:01:25.620]  能夠一步一步地
[00:01:25.620 --> 00:01:30.060]  一點一點來到明白上帝祢的屬性
[00:01:30.060 --> 00:01:31.940]  也明白祢在
[00:01:31.940 --> 00:01:35.540]  這個栽培我們成長的過程當中
[00:01:35.540 --> 00:01:39.340]  我們是怎麼樣來到明白
[00:01:39.340 --> 00:01:43.480]  一步一步跟隨祢的指導來到成熟起來
[00:01:43.480 --> 00:01:46.480]  我們明白我們今天
[00:01:46.480 --> 00:01:48.920]  不得不承認我們意願有很多地方
[00:01:48.920 --> 00:01:52.320]  我們的屬靈上面的意願是很膚淺
[00:01:52.320 --> 00:01:56.560]  求祢的幫助使我們成熟起來
[00:01:56.560 --> 00:02:00.320]  期盼在將來我們活在祢當中的時候
[00:02:00.320 --> 00:02:02.160]  我們都能有一個
[00:02:02.160 --> 00:02:04.600]  特配的一個生命
[00:02:04.600 --> 00:02:07.260]  能夠活在祢的當中
[00:02:07.260 --> 00:02:08.600]  求祢的幫助
[00:02:08.600 --> 00:02:12.900]  讓我們能夠明白祢的真理
[00:02:12.900 --> 00:02:13.840]  我們禱告
[00:02:13.840 --> 00:02:15.480]  封主耶穌的名稱
[00:02:15.480 --> 00:02:16.980]  Amen
[00:02:16.980 --> 00:02:18.580]  無論東方人也好
[00:02:18.580 --> 00:02:20.120]  或者西方的人也好
[00:02:20.120 --> 00:02:22.120]  都有一句這樣的諺語
[00:02:22.120 --> 00:02:24.060]  無論東方人還是西方人
[00:02:24.060 --> 00:02:25.920]  都有這樣一個諺語
[00:02:25.920 --> 00:02:29.820]  就是在暴風雨的前夕
[00:02:29.820 --> 00:02:32.960]  必定有一段安靜的時間
[00:02:32.960 --> 00:02:35.100]  在暴風雨的前夕
[00:02:35.100 --> 00:02:37.060]  必有一定安靜的時間
[00:02:37.060 --> 00:02:39.340]  用英文講就是說
[00:02:39.340 --> 00:02:44.500]  Always there is a lute before the storm
