
[00:00:00.000 --> 00:00:04.420]  以塞雅書有幾段經文特別多人看
[00:00:04.420 --> 00:00:08.000]  剛才所讀的第六章是其中一段
[00:00:08.000 --> 00:00:14.000]  這段經文出名的原因是它記載一個罪人
[00:00:14.000 --> 00:00:19.500]  和榮耀的上帝面對面的相遇
[00:00:19.500 --> 00:00:24.500]  而這個相遇是改變了以塞雅的一生
[00:00:24.500 --> 00:00:32.500]  我希望今天這段經文也改變了你的一生
[00:00:32.500 --> 00:00:36.500]  剛才大家讀這段經文的時候
[00:00:36.500 --> 00:00:39.500]  或者會留意到有幾點是很特別的
[00:00:39.500 --> 00:00:42.500]  第一點就是在第一節
[00:00:42.500 --> 00:00:47.500]  他說當烏西亞王彬死那一年
[00:00:47.500 --> 00:00:51.500]  我見主坐在高高的寶座上
[00:00:51.500 --> 00:00:55.500]  有解經家說以塞雅見到一個異象
[00:00:55.500 --> 00:00:57.500]  一個vision
[00:00:57.500 --> 00:01:00.500]  但是有另外的解經家說
[00:01:00.500 --> 00:01:02.500]  這裡沒有說是vision
[00:01:02.500 --> 00:01:05.500]  是以塞雅見到一個實景
[00:01:05.500 --> 00:01:11.500]  她真的見到上帝坐在寶座上
[00:01:11.500 --> 00:01:14.500]  無論以塞雅見到一個異象
[00:01:14.500 --> 00:01:16.500]  或者是她被提
[00:01:16.500 --> 00:01:21.500]  我們知道她是真真實實的和上帝相遇
[00:01:21.500 --> 00:01:24.500]  第二點特別的就是
[00:01:24.500 --> 00:01:27.500]  這段經文記載三一真神
[00:01:27.500 --> 00:01:31.500]  聖父、聖子、聖靈彼此的對話
[00:01:31.500 --> 00:01:33.500]  我可以猜獻誰呢?
[00:01:33.500 --> 00:01:36.500]  誰肯為我們去呢?
[00:01:36.500 --> 00:01:40.500]  但這段對話起初是沒有包括以塞雅
[00:01:40.500 --> 00:01:43.500]  她自己插嘴過去
[00:01:43.500 --> 00:01:48.500]  她自動說我在夜裡請差遣我
[00:01:48.500 --> 00:01:50.500]  第三點特別
[00:01:50.500 --> 00:01:54.500]  當以塞雅對上帝說請差遣我的時候
[00:01:54.500 --> 00:01:57.500]  其實她不知道上帝在想什麼任務
[00:01:57.500 --> 00:02:01.500]  不知道上帝會派她去哪裡做什麼
[00:02:01.500 --> 00:02:03.500]  她也沒有計較
[00:02:03.500 --> 00:02:06.500]  很多人看以塞雅書六章
[00:02:06.500 --> 00:02:08.500]  看到第八節就停下來
[00:02:08.500 --> 00:02:10.500]  心安理得完了
[00:02:10.500 --> 00:02:12.500]  其實你再看下去
