
[00:00:00.000 --> 00:00:03.240]  今天是經文羅馬書第二章
[00:00:03.240 --> 00:00:05.800]  今天是母親節
[00:00:05.800 --> 00:00:09.880]  所以我找了一個比較貼切
[00:00:09.880 --> 00:00:13.400]  應節的題目叫做「母愛大兒」
[00:00:13.400 --> 00:00:17.320]  不過今天的訊息一點都不應節
[00:00:17.320 --> 00:00:21.480]  非常沉重的訊息
[00:00:21.480 --> 00:00:22.920]  在羅馬書第二章裏面
[00:00:22.920 --> 00:00:28.200]  保羅好像是一個愛子深切的屬靈母親
[00:00:28.200 --> 00:00:32.920]  他在呼喚一個恣意叛逆的兒子
[00:00:32.920 --> 00:00:35.560]  叫他回轉
[00:00:35.560 --> 00:00:39.160]  我想說這段聖經不是我選擇的
[00:00:39.160 --> 00:00:42.520]  我不知道是誰選擇在母親節講
[00:00:42.520 --> 00:00:46.200]  根本是不對的
[00:00:46.200 --> 00:00:48.400]  我昨天在預備的時候在想
[00:00:48.400 --> 00:00:49.560]  上帝耍我
[00:00:49.560 --> 00:00:53.120]  為甚麼會在母親節講這段聖經呢
[00:00:53.120 --> 00:00:58.520]  不過我們相信上帝是選擇了這段經文
[00:00:58.520 --> 00:01:00.600]  希望在母親節裏面向我們傳
[00:01:00.600 --> 00:01:03.760]  是否上帝也在呼召我們
[00:01:03.760 --> 00:01:08.320]  因為我們都是恣意叛逆
[00:01:08.320 --> 00:01:10.920]  需要回轉
[00:01:10.920 --> 00:01:13.440]  可能有人會問
[00:01:13.440 --> 00:01:16.400]  你說保羅是慈愛的媽媽
[00:01:16.400 --> 00:01:17.120]  不多此
[00:01:17.120 --> 00:01:20.320]  保羅在這段聖經裏面非常惡毒
[00:01:20.320 --> 00:01:23.440]  好像抓住他們去受審判
[00:01:23.440 --> 00:01:29.040]  為甚麼你會叫這段聖經母愛大兒呢
[00:01:29.040 --> 00:01:33.600]  中文有句說話說慈母多拜兒
[00:01:33.600 --> 00:01:35.960]  所以保羅罵得這麼激
[00:01:35.960 --> 00:01:40.720]  其實是因為他很愛這個叛逆的兒子
[00:01:40.720 --> 00:01:43.920]  所以一會兒如果我罵得你們很激的時候
[00:01:43.920 --> 00:01:46.520]  你明白為甚麼了
[00:01:46.520 --> 00:01:50.200]  你說林牧師我現在明白為甚麼你叫他母愛大兒了
[00:01:50.200 --> 00:01:56.040]  不過你可不可以解釋一下為甚麼叫西遊記呢
[00:01:56.040 --> 00:01:59.880]  說來話長一言難盡
[00:01:59.880 --> 00:02:04.520]  西遊記其實是我給羅馬書的一個花名
[00:02:04.520 --> 00:02:07.720]  如果你將羅馬書放到現代的中國文化裏面
[00:02:07.720 --> 00:02:09.200]  你說羅馬書應該叫甚麼名字
[00:02:09.200 --> 00:02:11.400]  應該叫西遊記
[00:02:11.400 --> 00:02:13.920]  我其實準備了很多很多的資料
[00:02:13.920 --> 00:02:16.760]  今天預備跟你先講西遊記
[00:02:16.760 --> 00:02:19.800]  接著再講母愛大兒
[00:02:19.800 --> 00:02:24.080]  結果很快就發覺原來是不會夠時間的
[00:02:24.080 --> 00:02:25.880]  於是我最後要割愛
[00:02:25.880 --> 00:02:27.480]  就不講西遊記
[00:02:27.480 --> 00:02:30.320]  直入去講母愛大兒
[00:02:30.320 --> 00:02:33.080]  我都決定會講西遊記
[00:02:33.080 --> 00:02:35.720]  不過就轉了去星期三晚上
[00:02:35.720 --> 00:02:37.480]  我們有個福音晚宴
[00:02:37.480 --> 00:02:39.000]  所以不錯
[00:02:39.000 --> 00:02:44.520]  所以在那裏我今個禮拜會講為甚麼叫西遊記
[00:02:44.520 --> 00:02:47.160]  而你沒空來的時候
[00:02:47.160 --> 00:02:49.040]  你都可以在網上聽
[00:02:49.040 --> 00:02:51.600]  你開始的時候一起做一個祈禱
[00:02:51.600 --> 00:02:52.560]  主 這是你的話語
[00:02:52.560 --> 00:02:54.640]  這不是人的聰明智慧
[00:02:54.640 --> 00:02:57.440]  主 你想我們聽你這段聖經
[00:02:57.440 --> 00:03:00.080]  祢想我們今天聽你這段聖經
[00:03:00.080 --> 00:03:03.320]  求主讓我們有一個謙卑的心
[00:03:03.320 --> 00:03:06.680]  有一個同心聽祢話的心
[00:03:06.680 --> 00:03:08.160]  叫我們不要博弈
[00:03:08.160 --> 00:03:09.800]  叫我們不要質疑
[00:03:09.800 --> 00:03:11.880]  叫我們不要高傲
[00:03:11.880 --> 00:03:15.160]  去拒絕你在福音裏面對我們的呼求
[00:03:15.160 --> 00:03:17.000]  叫我們去仔細的聆聽
[00:03:17.000 --> 00:03:21.480]  去叫我們去回應祢的呼求
[00:03:21.480 --> 00:03:22.920]  祝福我們以下這段時間
[00:03:22.920 --> 00:03:25.360]  我們今天祈禱去奉主耶穌基督名求
[00:03:25.360 --> 00:03:27.680]  阿們
