
[00:00:00.000 --> 00:00:02.740]  上一集我們跟隨阿布拉罕的足跡
[00:00:02.740 --> 00:00:04.240]  我們看到上帝呼召他
[00:00:04.240 --> 00:00:07.340]  然後他順命一家離開自己本地本族本家
[00:00:07.340 --> 00:00:08.520]  未索不達米亞
[00:00:08.520 --> 00:00:10.480]  離開吾爾哈蘭
[00:00:10.480 --> 00:00:12.280]  終於來到迦南地
[00:00:12.280 --> 00:00:14.860]  到了迦南地的時候故事是這樣發展的
[00:00:14.860 --> 00:00:16.620]  他經過不同的地點
[00:00:16.620 --> 00:00:20.680]  斯堅、伯特利艾中間和南地
[00:00:20.680 --> 00:00:24.140]  在不同的地點他也建立祭壇宣揚上帝的名
[00:00:24.140 --> 00:00:27.340]  《創世紀》十二章繼續這樣記載
[00:00:27.340 --> 00:00:31.180]  第十節 當時那地發生饑荒
[00:00:31.180 --> 00:00:33.280]  阿布蘭就下到埃及去
[00:00:33.280 --> 00:00:34.780]  在那裡寄居
[00:00:34.780 --> 00:00:38.000]  因為那地的饑荒十分嚴重
[00:00:38.000 --> 00:00:41.040]  迦南地我們知道是靠雨水來生存的
[00:00:41.040 --> 00:00:44.040]  所以一年兩年幾年缺乏雨水的話
[00:00:44.040 --> 00:00:47.080]  就會造成旱災 農作物就失收
[00:00:47.080 --> 00:00:48.200]  但這裡有一個問題
[00:00:48.200 --> 00:00:51.440]  古時的時候發生的旱季
[00:00:51.440 --> 00:00:53.600]  是不是可以有跡可尋呢?
[00:00:53.600 --> 00:00:55.600]  到底靠什麼數據
[00:00:55.600 --> 00:00:58.040]  用什麼方法讓我們知道
[00:00:58.040 --> 00:01:00.680]  以前可能曾經有不同的時段
[00:01:00.680 --> 00:01:04.240]  雨水不夠所以造成旱季呢?
[00:01:04.240 --> 00:01:06.640]  答案就是花粉
[00:01:06.640 --> 00:01:08.480]  我們知道雨水充足的時候
[00:01:08.480 --> 00:01:09.800]  那些木本植物
[00:01:09.800 --> 00:01:13.480]  即是大的樹、高的樹就會繁盛
[00:01:13.480 --> 00:01:15.800]  而且他們的花粉就會更加多
[00:01:15.800 --> 00:01:18.800]  但如果到旱季缺乏雨水的時候
[00:01:18.800 --> 00:01:22.280]  這些木本植物的花粉就會相繼減少
[00:01:22.280 --> 00:01:25.980]  並且矮灌木因為他們需要的水分比較少
[00:01:25.980 --> 00:01:29.280]  所以矮灌木的花粉自然會增加
[00:01:29.280 --> 00:01:32.680]  過去多年有些學者不斷做研究
[00:01:32.680 --> 00:01:35.080]  來收集這些花粉的數據
[00:01:35.080 --> 00:01:38.080]  譬如在北面嘉里海地區附近的
[00:01:38.080 --> 00:01:40.080]  一些古代花粉的數據
[00:01:40.080 --> 00:01:41.880]  還有南面死海一帶
[00:01:41.880 --> 00:01:46.880]  搜集了古時花粉的多少、數量等等
[00:01:46.880 --> 00:01:48.680]  在2014年的時候
[00:01:48.680 --> 00:01:50.880]  有一篇論文來總結了出來
[00:01:50.880 --> 00:01:54.480]  你看到這個圖表是由下至上這樣看的
[00:01:54.480 --> 00:01:59.280]  由下至上即是公元前2500年至1500年之間
[00:01:59.280 --> 00:02:04.080]  這1000年的花粉數量是有多也有少的
[00:02:04.080 --> 00:02:10.080]  那條灰色線代表木本花粉在不同時間的數量
[00:02:10.080 --> 00:02:13.680]  木本花粉即是大樹的花粉越少
[00:02:13.680 --> 00:02:15.880]  就代表雨水越少
[00:02:15.880 --> 00:02:18.080]  灰線就會向左
[00:02:18.080 --> 00:02:19.680]  如果花粉越多的話
[00:02:19.680 --> 00:02:22.280]  就代表雨水是越來越多
[00:02:22.280 --> 00:02:24.680]  灰線也會向右
[00:02:24.680 --> 00:02:29.280]  你可以看到在公元前2000至1800年之間
[00:02:29.280 --> 00:02:31.280]  確實是有下降的跡象
[00:02:31.280 --> 00:02:33.480]  即是在這200年裏面
[00:02:33.480 --> 00:02:35.280]  雨水是不充足
[00:02:35.280 --> 00:02:39.480]  以致可能會造成農作物失收、旱季
[00:02:39.480 --> 00:02:43.080]  我們提過在創世紀續漲的時期
[00:02:43.080 --> 00:02:45.480]  阿伯拉罕、以薩、雅各
[00:02:45.480 --> 00:02:48.880]  大約在公元前2000至1500年之間
[00:02:48.880 --> 00:02:51.480]  在這段時間的初期
[00:02:51.480 --> 00:02:52.880]  你看這個列表的時候
[00:02:52.880 --> 00:02:58.880]  你就知道加南地確實有旱季的出現
[00:02:58.880 --> 00:03:03.280]  所以可以看到聖經的記載是相當寫實的
[00:03:03.280 --> 00:03:06.880]  所以今次我們跟隨著阿伯拉罕的足跡
[00:03:06.880 --> 00:03:09.880]  繼續看他的故事有什麼發展
[00:03:19.880 --> 00:03:21.880]  創世紀十二漲之後的故事
[00:03:21.880 --> 00:03:25.880]  我們就說有饑荒、有旱災在加南地出現
[00:03:25.880 --> 00:03:28.280]  於是阿伯拉罕發生了什麼事呢?
[00:03:28.280 --> 00:03:30.880]  阿伯拉罕出現了一個旱災
[00:03:30.880 --> 00:03:32.880]  而這個旱災的旁邊
[00:03:32.880 --> 00:03:34.880]  有一個旱災的旁邊
[00:03:34.880 --> 00:03:36.880]  在這個旱災的旁邊
[00:03:36.880 --> 00:03:38.880]  有一個旱災的旁邊
[00:03:38.880 --> 00:03:40.880]  而這個旱災的旁邊
[00:03:40.880 --> 00:03:43.880]  有一個旱災的旁邊
[00:03:43.880 --> 00:03:45.880]  在這個旱災的旁邊
[00:03:45.880 --> 00:03:48.880]  於是阿伯拉罕發生了什麼事呢?
[00:03:48.880 --> 00:03:50.880]  十二章第十一節就交代了
[00:03:50.880 --> 00:03:52.880]  快要到達埃及的時候
[00:03:52.880 --> 00:03:54.880]  阿伯蘭對他的妻子撒萊說
[00:03:54.880 --> 00:03:58.880]  看啊,我知道你是個美貌的女人
[00:03:58.880 --> 00:04:00.880]  埃及人看見你的時候
[00:04:00.880 --> 00:04:02.880]  必會說這是他的妻子
[00:04:02.880 --> 00:04:04.880]  他們就會殺我
[00:04:04.880 --> 00:04:05.880]  卻叫你活著
[00:04:05.880 --> 00:04:07.880]  請你說你是我的妹妹
[00:04:07.880 --> 00:04:11.880]  使我因你的緣故可以平安無事
[00:04:11.880 --> 00:04:14.880]  我的性命也可以因你的緣故得以保存
[00:04:14.880 --> 00:04:17.880]  果然,阿伯蘭進入埃及的時候
[00:04:17.880 --> 00:04:19.880]  埃及人就注視那女人
[00:04:19.880 --> 00:04:21.880]  因為她十分美麗
[00:04:21.880 --> 00:04:24.880]  法老的一些大臣看見了撒萊
[00:04:24.880 --> 00:04:27.880]  就在法老面前稱讚她
[00:04:27.880 --> 00:04:30.880]  於是那女人被帶進法老的宮內去
[00:04:30.880 --> 00:04:34.880]  阿伯蘭因這女人的緣故就被優待
[00:04:34.880 --> 00:04:38.880]  得了許多牛羊、公牢、母牢、瀑皮和駱駝
[00:04:38.880 --> 00:04:42.880]  又說因為阿伯蘭妻子撒萊的緣故
[00:04:42.880 --> 00:04:47.880]  就用嚴重的災病打擊法老和他的全家
[00:04:47.880 --> 00:04:50.880]  於是法老把阿伯蘭照料下來對她說
[00:04:50.880 --> 00:04:52.880]  你向我作了什麼?
[00:04:52.880 --> 00:04:56.880]  你為什麼不告訴我她是你的妻子?
[00:04:56.880 --> 00:04:59.880]  你為什麼說她是你的妹妹
[00:04:59.880 --> 00:05:01.880]  以至我娶了她作妻子?
[00:05:01.880 --> 00:05:03.880]  現在你的妻子在這裡
[00:05:03.880 --> 00:05:05.880]  帶她走吧
[00:05:05.880 --> 00:05:08.880]  法老為了阿伯蘭的事吩咐臣服
[00:05:08.880 --> 00:05:12.880]  他們就把阿伯蘭和他的妻子
[00:05:12.880 --> 00:05:14.880]  以及他所有的一切都送走了
[00:05:14.880 --> 00:05:17.880]  是一段很有趣的故事
[00:05:17.880 --> 00:05:19.880]  這裡是交代阿伯拉罕一家
[00:05:19.880 --> 00:05:22.880]  到了埃及所謂大難不死
[00:05:22.880 --> 00:05:25.880]  從埃及回到迦南
[00:05:25.880 --> 00:05:28.880]  並且繼續走到南地
[00:05:28.880 --> 00:05:31.880]  十三章第三節又說到他的行程
