
[00:00:00.000 --> 00:00:04.000]  我們現在其實是面臨中秋節的時候
[00:00:04.000 --> 00:00:08.000]  我想起蘇東坡的一首詞
[00:00:08.000 --> 00:00:10.000]  《西江月》這首詞
[00:00:10.000 --> 00:00:12.000]  世事一場大夢
[00:00:12.000 --> 00:00:14.000]  人生幾度秋涼
[00:00:14.000 --> 00:00:16.000]  夜來楓葉以明郎
[00:00:16.000 --> 00:00:18.000]  汗水眉頭奔上
[00:00:18.000 --> 00:00:20.000]  在中秋夜
[00:00:20.000 --> 00:00:24.000]  他想起人生所度過的歲月
[00:00:24.000 --> 00:00:26.000]  好像一場大夢
[00:00:26.000 --> 00:00:28.000]  經過很多個秋天
[00:00:28.000 --> 00:00:30.000]  人生已經過了日子
[00:00:30.000 --> 00:00:32.000]  眼上當風吹過走廊
[00:00:32.000 --> 00:00:34.000]  吹起落葉沙沙聲
[00:00:34.000 --> 00:00:36.000]  看看自己的眉頭
[00:00:36.000 --> 00:00:38.000]  自己的笨相
[00:00:38.000 --> 00:00:40.000]  都是有些花白
[00:00:40.000 --> 00:00:42.000]  感慨萬千
[00:00:42.000 --> 00:00:44.000]  當時蘇東坡一生有很多困難
[00:00:44.000 --> 00:00:48.000]  他二十一歲已經是才華還日
[00:00:48.000 --> 00:00:50.000]  已經重進士
[00:00:50.000 --> 00:00:52.000]  去到朝廷
[00:00:52.000 --> 00:00:54.000]  很受歐陽修的賞識
[00:00:54.000 --> 00:00:56.000]  又受皇帝的賞識
[00:00:56.000 --> 00:00:58.000]  因為媽媽的病
[00:00:58.000 --> 00:01:00.000]  他要守喪三年
[00:01:00.000 --> 00:01:02.000]  媽媽病死了
[00:01:02.000 --> 00:01:04.000]  之後朝廷遇上王安石做宰相
[00:01:04.000 --> 00:01:06.000]  王安石要改革
[00:01:06.000 --> 00:01:08.000]  他和歐陽修覺得
[00:01:08.000 --> 00:01:10.000]  改革太快太激烈
[00:01:10.000 --> 00:01:12.000]  不同意
[00:01:12.000 --> 00:01:14.000]  不斷被貶
[00:01:14.000 --> 00:01:16.000]  他一生沒有機會發揮他的理想和才華
[00:01:16.000 --> 00:01:18.000]  去對國家民族有貢獻
[00:01:18.000 --> 00:01:20.000]  不斷貶來這裡貶去那裡
[00:01:20.000 --> 00:01:24.000]  唯一寫了很多偉大的詩詞
[00:01:24.000 --> 00:01:26.000]  讓後世看到他的內心世界
[00:01:26.000 --> 00:01:28.000]  他寫這首詞時
[00:01:28.000 --> 00:01:30.000]  剛剛是烏台詩案
[00:01:30.000 --> 00:01:32.000]  因為他寫的文章或詩
[00:01:32.000 --> 00:01:34.000]  被告發
[00:01:34.000 --> 00:01:36.000]  說是譏諷朝廷
[00:01:36.000 --> 00:01:38.000]  差不多要斬頭
[00:01:38.000 --> 00:01:40.000]  幸好王安石是正直的人
[00:01:40.000 --> 00:01:42.000]  雖然是敵人
[00:01:42.000 --> 00:01:44.000]  但仍然朝廷保他
[00:01:44.000 --> 00:01:46.000]  他免得死
[00:01:46.000 --> 00:01:48.000]  但當時再被貶
[00:01:48.000 --> 00:01:50.000]  去一個不重要的位置
[00:01:50.000 --> 00:01:52.000]  中秋很孤獨的面對月光
[00:01:52.000 --> 00:01:54.000]  中秋誰與共孤光
[00:01:54.000 --> 00:01:56.000]  他後面這樣寫
[00:01:56.000 --> 00:01:58.000]  把陣棲言不忘
[00:01:58.000 --> 00:02:00.000]  將不變忘
[00:02:00.000 --> 00:02:02.000]  回到朝廷那邊
[00:02:02.000 --> 00:02:04.000]  覺得人生
