
[00:00:00.000 --> 00:00:01.820]  25週年紀念
[00:00:01.820 --> 00:00:06.320]  到底恩福要建立的是一個怎樣的教會呢?
[00:00:06.320 --> 00:00:09.100]  在過去
[00:00:09.100 --> 00:00:13.820]  我們試過有很多令我們很興奮的事
[00:00:13.820 --> 00:00:15.860]  每逢有人信主
[00:00:15.860 --> 00:00:17.420]  有人的生命改變
[00:00:17.420 --> 00:00:19.480]  我們的心充滿著興奮
[00:00:19.480 --> 00:00:22.780]  第二,每次當看見他們的水泥
[00:00:22.780 --> 00:00:25.180]  淚流滿面的
[00:00:25.180 --> 00:00:27.060]  來講他們的見證
[00:00:27.060 --> 00:00:30.160]  他們以前一幕一幕的事
[00:00:30.160 --> 00:00:32.560]  夫妻吵架的事
[00:00:32.560 --> 00:00:34.420]  很不開心的事
[00:00:34.420 --> 00:00:38.520]  甚至是硬頸、不信、很自我的樣子
[00:00:38.520 --> 00:00:42.580]  一個一個浮現在我們自己的腦里
[00:00:42.580 --> 00:00:44.600]  我們是充滿感恩
[00:00:44.600 --> 00:00:47.260]  為他們的改變而感恩
[00:00:47.260 --> 00:00:49.040]  但另一方面
[00:00:49.040 --> 00:00:50.780]  在教會越來越大的時間
[00:00:50.780 --> 00:00:54.060]  我們同樣經歷過很多不同的低谷
[00:00:55.540 --> 00:00:57.340]  總體來講
[00:00:57.340 --> 00:01:00.480]  開心是比不開心多很多
[00:01:00.480 --> 00:01:03.020]  而不開心是什麼呢?
[00:01:03.020 --> 00:01:06.500]  就是當見到有人、人際出現了問題
[00:01:06.500 --> 00:01:09.980]  我們見到有些夫妻來來去去不妥
[00:01:09.980 --> 00:01:11.620]  但是不肯聽
[00:01:11.620 --> 00:01:13.380]  有些人包而拉
[00:01:13.380 --> 00:01:15.700]  我們勸極不肯改
[00:01:15.700 --> 00:01:17.620]  這些是令到我們傷心
[00:01:17.620 --> 00:01:19.620]  令到我們扎心的事
[00:01:19.620 --> 00:01:21.940]  另一方面
[00:01:21.940 --> 00:01:23.940]  我已經問過很多人
[00:01:23.940 --> 00:01:25.780]  為什麼會來恩福呢?
[00:01:25.780 --> 00:01:27.300]  我想問問大家
[00:01:27.300 --> 00:01:29.300]  為什麼你們會來恩福呢?
[00:01:29.300 --> 00:01:31.580]  有多少人覺得
[00:01:31.580 --> 00:01:33.780]  你初來恩福是港談吸引你的
[00:01:33.780 --> 00:01:35.300]  可不可以舉手?
[00:01:35.300 --> 00:01:36.780]  即是港島吸引你
[00:01:36.780 --> 00:01:39.260]  可不可以舉手?舉高一點
[00:01:39.260 --> 00:01:41.500]  不是很多,這樣不錯
[00:01:41.500 --> 00:01:43.900]  有多少人覺得你來恩福
[00:01:43.900 --> 00:01:46.300]  主要是因為弟兄姊妹很熱心
[00:01:46.300 --> 00:01:47.420]  令到你很感動
[00:01:47.420 --> 00:01:48.220]  所以你來的
[00:01:48.220 --> 00:01:50.220]  舉手好嗎?
[00:01:50.220 --> 00:01:51.300]  也不是很多
[00:01:51.300 --> 00:01:52.420]  第三
[00:01:52.420 --> 00:01:55.860]  你來恩福是因為這裡有很多主要學的課程
[00:01:55.860 --> 00:01:57.140]  很多東西教導
[00:01:57.140 --> 00:01:58.100]  很多東西吃
[00:01:58.100 --> 00:01:58.860]  所以來的
[00:01:58.860 --> 00:02:00.580]  可不可以舉手?
[00:02:00.580 --> 00:02:01.860]  即是凌涼
[00:02:01.860 --> 00:02:03.020]  我所說的吃
[00:02:03.020 --> 00:02:05.020]  可不可以舉高一點?
[00:02:05.020 --> 00:02:05.860]  第四
[00:02:05.860 --> 00:02:06.940]  有多少人來恩福
[00:02:06.940 --> 00:02:08.060]  是因為這些小朋友
[00:02:08.060 --> 00:02:09.860]  兒童主義學做得很好
[00:02:09.860 --> 00:02:12.060]  你們很放心
[00:02:12.060 --> 00:02:13.660]  所以就帶他們一起來
[00:02:13.660 --> 00:02:15.660]  可不可以舉手?
[00:02:15.660 --> 00:02:16.620]  非常感恩
[00:02:16.620 --> 00:02:18.500]  有多少人來恩福
[00:02:18.500 --> 00:02:22.380]  是因為有弟兄姊妹死前難打
[00:02:22.380 --> 00:02:24.380]  不能脫身
[00:02:24.380 --> 00:02:26.380]  勉勉強強
[00:02:26.380 --> 00:02:27.380]  來吧
[00:02:27.380 --> 00:02:30.380]  結果就被三福隊抓住了
[00:02:30.380 --> 00:02:31.380]  有多少人是這樣的
[00:02:31.380 --> 00:02:33.380]  可不可以舉手?
[00:02:33.380 --> 00:02:35.380]  都有
[00:02:35.380 --> 00:02:37.380]  我們很感恩
[00:02:37.380 --> 00:02:40.380]  在過去我們曾經做過一次調查
[00:02:40.380 --> 00:02:43.380]  就是到底恩福堂最吸引你們的是什麼呢?
[00:02:43.380 --> 00:02:44.380]  依次序
[00:02:44.380 --> 00:02:45.380]  講壇
[00:02:45.380 --> 00:02:46.380]  第二
[00:02:46.380 --> 00:02:48.380]  教導主義學
[00:02:48.380 --> 00:02:49.380]  第三
[00:02:49.380 --> 00:02:50.380]  兒童主義學
[00:02:50.380 --> 00:02:51.380]  第四
[00:02:51.380 --> 00:02:52.380]  生活團契
[00:02:52.380 --> 00:02:53.380]  第五
[00:02:53.380 --> 00:02:56.380]  就是這裡有一個很完善的管理
[00:02:56.380 --> 00:02:59.380]  很鐘意這裡的敬拜
[00:02:59.380 --> 00:03:02.380]  敬拜是一個很重要的因素
[00:03:02.380 --> 00:03:03.380]  所以因為這樣
[00:03:03.380 --> 00:03:05.380]  有一段時間
[00:03:05.380 --> 00:03:09.380]  我的心裡一直在打籌算
[00:03:09.380 --> 00:03:14.380]  到底如何讓恩福成為一個更加有吸引力的教會
