
[00:00:00.000 --> 00:00:03.520]  今日和大家一齊來到看一位舊約的人物
[00:00:03.520 --> 00:00:05.080]  我們都盼望這段時間
[00:00:05.080 --> 00:00:06.920]  藉著不同聖經的人物
[00:00:06.920 --> 00:00:11.800]  讓我們可以一齊回應
[00:00:11.800 --> 00:00:14.280]  活出神給我們的召命
[00:00:14.280 --> 00:00:17.000]  在教會落行聖言這段時間
[00:00:17.000 --> 00:00:18.600]  我們正在讀《約伯記》
[00:00:18.600 --> 00:00:21.440]  即將到來的六月三十日
[00:00:21.440 --> 00:00:23.040]  就剛剛完成讀完
[00:00:23.040 --> 00:00:25.240]  所以我自己也在當中
[00:00:25.240 --> 00:00:29.760]  從約伯的身上領受神給我的訊息
[00:00:29.760 --> 00:00:32.560]  不知道大家有沒有機會一齊去看
[00:00:32.560 --> 00:00:34.600]  或者你過往看《約伯記》的時候
[00:00:34.600 --> 00:00:36.280]  不知道給你有什麼印象
[00:00:36.280 --> 00:00:37.280]  我們都覺得有時
[00:00:37.280 --> 00:00:40.520]  其實《約伯記》這一類的書卷經文
[00:00:40.520 --> 00:00:42.240]  都不容易看
[00:00:42.240 --> 00:00:44.080]  但我又覺得很感恩
[00:00:44.080 --> 00:00:49.000]  在以《約伯記》作為我的靈修經文的時候
[00:00:49.000 --> 00:00:53.720]  我又發現神有讓我能夠有不同的學習和體會
[00:00:53.720 --> 00:00:56.040]  所以今日我想和大家來看《約伯》
[00:00:56.040 --> 00:01:00.120]  我用了世人的無知、上主的無語
[00:01:00.120 --> 00:01:02.800]  作為今日講道的訊息
[00:01:02.800 --> 00:01:04.080]  《約伯》開始的時候
[00:01:04.080 --> 00:01:07.000]  其實有很多的記載都是
[00:01:07.000 --> 00:01:10.360]  和不同人的對話
[00:01:10.360 --> 00:01:14.160]  最主要當然是約伯和他三個朋友
[00:01:14.160 --> 00:01:15.080]  但開始的時候
[00:01:15.080 --> 00:01:17.480]  其實約伯和他的太太、他的妻子
[00:01:17.480 --> 00:01:19.080]  都有少許的對話
[00:01:19.080 --> 00:01:20.600]  我和大家來溫習一下
[00:01:20.600 --> 00:01:24.800]  這個說的是約伯妻子來和約伯說
[00:01:24.800 --> 00:01:26.600]  你不如放棄
[00:01:26.600 --> 00:01:29.720]  你自己不要再持守你的信仰
