
[00:00:00.000 --> 00:00:05.600]  父親節 我今天選擇了一段在聖經裏面的一個爸爸 叫做艾魯
[00:00:05.600 --> 00:00:16.820]  這個艾魯事件發生在耶穌在格拉森園坐船去加利利海邊的時候
[00:00:16.820 --> 00:00:22.700]  他一下船 站在海邊的時候 這個艾魯就出現了
[00:00:22.700 --> 00:00:25.880]  這個艾魯是一個管會堂的人
[00:00:25.880 --> 00:00:29.540]  管會堂的人是只有高望重的人才可以做的
[00:00:29.540 --> 00:00:35.600]  他負責會堂裏面所有安排 無論是崇拜 讀經 詩歌 教導 祈禱
[00:00:35.600 --> 00:00:43.440]  大致建築物維修 保安 安息日 敬拜等等
[00:00:43.440 --> 00:00:45.680]  都是這個管會堂的人做的
[00:00:45.680 --> 00:00:52.240]  所以他是一個很多人都信任 而且他講的話沒有人會敢說什麼的那些人
[00:00:52.240 --> 00:00:56.980]  其實當時猶太人對會堂的重視
[00:00:56.980 --> 00:01:01.660]  就好像我們現在 給大家一個比喻 讓大家明白
[00:01:01.660 --> 00:01:05.500]  就是公司的老闆 下面那個最高級的經理
[00:01:05.500 --> 00:01:10.400]  他講的話其實你要照做 你不可以有什麼反對
[00:01:10.400 --> 00:01:13.160]  他是一個很有名聲的人
[00:01:13.160 --> 00:01:20.980]  一見到耶穌就俯伏在耶穌腳前 再三去求他 救他自己的女兒
[00:01:20.980 --> 00:01:23.620]  當時還有很多人在耶穌的周圍
[00:01:23.620 --> 00:01:27.600]  剛才我說過 艾路應該是很有名的人
[00:01:27.600 --> 00:01:33.540]  所以圍住周圍的人 雖然是有病或者是很窮的人
[00:01:33.540 --> 00:01:35.980]  但他應該都認識這個艾路
[00:01:35.980 --> 00:01:40.380]  見到一個這麼有名的人 去找耶穌救他的女兒
[00:01:40.380 --> 00:01:45.020]  還要是俯伏在他腳前 那些人的反應是怎樣呢
[00:01:45.020 --> 00:01:47.380]  就是一定是呆的
[00:01:47.380 --> 00:01:50.620]  如果在現代發生的話 一定會上這些頭條新聞
[00:01:50.620 --> 00:01:54.700]  一個這麼專職 這麼多人 這麼敬佩的人
[00:01:54.700 --> 00:01:59.060]  他竟然是去跪在一個耶穌面前
[00:01:59.060 --> 00:02:01.980]  但是可能我們覺得耶穌都沒有什麼
[00:02:01.980 --> 00:02:04.640]  因為我們現在覺得耶穌是一個很尊貴的
[00:02:04.640 --> 00:02:10.060]  耶穌是一個跪在他前面 應該是沒有什麼問題 很正常的一個人
[00:02:10.060 --> 00:02:16.420]  但是當時耶穌只不過是出來醫治
[00:02:16.420 --> 00:02:23.900]  去做很多事工的時候 可能都是很短的時間
[00:02:23.900 --> 00:02:30.460]  當時還有很多法利塞人 很多其他屬靈領袖去質疑耶穌
[00:02:30.460 --> 00:02:32.940]  他還覺得耶穌是哪裡來的
[00:02:32.940 --> 00:02:38.620]  所以這個會堂主管竟然敢去跪在耶穌面前
[00:02:38.620 --> 00:02:42.220]  去求他救他的女兒的時候
[00:02:42.220 --> 00:02:46.620]  其實他要面對的一個危機就是會被其他的領袖質疑
[00:02:46.620 --> 00:02:50.380]  或者審問 可能連一份工作都沒有了
[00:02:50.380 --> 00:02:51.660]  但是他就不理了
[00:02:51.660 --> 00:02:55.460]  經文講到他深深相信
[00:02:55.460 --> 00:03:01.020]  耶穌按手在他的女兒身上必得痊癒 而且得以活了
[00:03:01.020 --> 00:03:04.540]  所以耶穌看到他這份信心 他就和他去
[00:03:04.540 --> 00:03:07.980]  同時也有很多人跟隨 濟用著他
[00:03:07.980 --> 00:03:11.540]  看這件事發展成怎樣
[00:03:11.540 --> 00:03:16.580]  這件事很轟動 這麼多人跟著他去
[00:03:16.580 --> 00:03:20.540]  而且轟動在於這個有名的人
[00:03:20.540 --> 00:03:25.420]  竟然圍著他的女兒 跪在耶穌面前去求他
[00:03:25.420 --> 00:03:29.780]  中國人有一句話就是「男兒膝下有黃金」
[00:03:29.780 --> 00:03:33.300]  跪在人面前是很難的一件事
[00:03:33.300 --> 00:03:37.020]  在希伯來 希臘化的世界同樣
[00:03:37.020 --> 00:03:41.780]  跪在一個接受私恩的人面前
[00:03:41.780 --> 00:03:44.420]  而接受跪拜的人是一些私恩
[00:03:44.420 --> 00:03:47.940]  即是一些很有貴族 很有名氣的人才會這樣
[00:03:47.940 --> 00:03:49.700]  但現在竟然是反過來
[00:03:49.700 --> 00:03:52.780]  這個有名氣的人跪在耶穌面前
[00:03:52.780 --> 00:03:56.020]  你妥想而知這個爸爸
[00:03:56.020 --> 00:03:59.100]  要用多大的勇氣才可以跪在耶穌面前
[00:03:59.100 --> 00:04:02.580]  你會看到這個是怎樣的爸爸
[00:04:02.580 --> 00:04:06.420]  這個爸爸至少是一個願意捨棄一切
[00:04:06.420 --> 00:04:12.500]  為了他的女兒 去救她願意捨棄一切的爸爸
[00:04:12.500 --> 00:04:16.020]  我想做爸爸一定很明白這個心情
[00:04:16.020 --> 00:04:20.060]  為著自己的家人 爸爸很願意犧牲一切
[00:04:20.060 --> 00:04:22.500]  只是為了家人健健康康
[00:04:22.500 --> 00:04:26.060]  我聽過有一位爸爸
[00:04:26.060 --> 00:04:28.380]  他經常問我有什麼祈禱
[00:04:28.380 --> 00:04:29.820]  然後他會跟我說
[00:04:29.820 --> 00:04:31.380]  「我的家人好我就好了」
[00:04:31.380 --> 00:04:32.380]  「所以不用為我祈禱」
[00:04:32.380 --> 00:04:34.420]  「只是為我家人祈禱就夠了」
[00:04:34.420 --> 00:04:36.860]  「如果他們不好就代表我不好」
[00:04:36.860 --> 00:04:41.700]  很明顯這個爸爸真的為了家人
[00:04:41.700 --> 00:04:44.220]  可以奉獻一切
[00:04:44.220 --> 00:04:46.060]  為了家人能夠開心
