
[00:00:00.000 --> 00:00:03.580]  感謝神和大家一起分享訊息
[00:00:03.580 --> 00:00:07.320]  今天我開始會講哥羅西書
[00:00:07.320 --> 00:00:11.520]  題目叫「真知道神」
[00:00:11.520 --> 00:00:16.580]  「真知道神」中文我們會以為
[00:00:16.580 --> 00:00:18.580]  我們要真是知道神
[00:00:18.580 --> 00:00:23.580]  其實這句聖經的意思是
[00:00:23.580 --> 00:00:25.580]  是講那個知識
[00:00:26.580 --> 00:00:30.580]  真理的知識關於神
[00:00:30.580 --> 00:00:32.580]  或者關於神的真理
[00:00:32.580 --> 00:00:41.580]  大家不知道有沒有聽過一個題目
[00:00:41.580 --> 00:00:43.580]  或者一個標籤叫
[00:00:43.580 --> 00:00:46.580]  道德治療性自然神論
[00:00:46.580 --> 00:00:48.580]  都挺新的
[00:00:48.580 --> 00:00:50.580]  這十年八年裏面的人創出來的
[00:00:50.580 --> 00:00:52.580]  自然神論就有了很久
[00:00:52.580 --> 00:00:56.080]  但是道德治療性自然神論
[00:00:56.080 --> 00:01:00.080]  是道德治療性自然神論
[00:01:00.080 --> 00:01:05.080]  我最近在不同的雜誌
[00:01:05.080 --> 00:01:07.080]  或者在網上的文章
[00:01:07.080 --> 00:01:09.080]  都看到這個題目
[00:01:09.080 --> 00:01:11.080]  覺得很特別
[00:01:11.080 --> 00:01:13.080]  覺得這個標籤很新鮮
[00:01:13.080 --> 00:01:16.080]  我就去找資料看一下
[00:01:16.080 --> 00:01:20.080]  我發覺原來這個題目
[00:01:20.080 --> 00:01:25.080]  是在2005年左右開始有的
[00:01:26.080 --> 00:01:28.080]  就是在2005年有一班學者
[00:01:28.080 --> 00:01:30.080]  或者有一個學者
[00:01:30.080 --> 00:01:31.080]  有一本書裏面
[00:01:31.080 --> 00:01:34.080]  創了這個題目出來
[00:01:34.080 --> 00:01:38.080]  這個道德治療性自然神論
[00:01:38.080 --> 00:01:40.080]  大家不記得
[00:01:40.080 --> 00:01:41.080]  咬著舌頭也好
[00:01:41.080 --> 00:01:42.080]  或者不知道是什麼意思
[00:01:42.080 --> 00:01:43.080]  不要緊
[00:01:43.080 --> 00:01:45.080]  聽我講下去你就知道是什麼
[00:01:45.080 --> 00:01:47.080]  那是什麼呢
[00:01:47.080 --> 00:01:50.080]  原來是用來形容
[00:01:50.080 --> 00:01:53.080]  現時美國的青少年
[00:01:53.080 --> 00:01:57.080]  他們所共有的一個宗教信念
[00:01:57.080 --> 00:02:00.080]  那你說為什麼會這麼有趣呢
[00:02:00.080 --> 00:02:04.080]  是美國現時青少年所共有的
[00:02:04.080 --> 00:02:06.080]  就是大家都是這樣想
[00:02:06.080 --> 00:02:08.080]  宗教的信念
[00:02:08.080 --> 00:02:10.080]  是美國的青少年
[00:02:10.080 --> 00:02:12.080]  現時的青少年
[00:02:12.080 --> 00:02:14.080]  那就是說我們的子弟
[00:02:14.080 --> 00:02:16.080]  如果我們的子弟在這裏長大的
[00:02:16.080 --> 00:02:18.080]  他們可能就在這裏
[00:02:18.080 --> 00:02:20.080]  大家留意聽聽
[00:02:20.080 --> 00:02:21.080]  看看對不對
[00:02:23.080 --> 00:02:25.080]  在2005年
[00:02:25.080 --> 00:02:27.080]  有一班學者
[00:02:27.080 --> 00:02:29.080]  他做了一項調查的研究
[00:02:29.080 --> 00:02:33.080]  他訪問了三千個青少年
[00:02:33.080 --> 00:02:35.080]  他想知道他們究竟
[00:02:35.080 --> 00:02:38.080]  他們的宗教信念是怎麼樣的
[00:02:38.080 --> 00:02:41.080]  研究的結果顯示
[00:02:41.080 --> 00:02:45.080]  他們的信念
