
[00:00:00.000 --> 00:00:03.900]  我哋幾個月前已經講咗我哋喺下半年所宣講嘅訊息
[00:00:03.900 --> 00:00:06.440]  有啲嘅弟兄姊妹會越聽會越不安
[00:00:06.440 --> 00:00:09.160]  我哋已經講咗我哋宣講嘅訊息
[00:00:09.160 --> 00:00:13.440]  會令到一啲弟兄姊妹越聽嘅會越覺得要離開㗎
[00:00:13.440 --> 00:00:19.080]  點解?因為我哋所宣講嘅同你所期盼嘅有個好大嘅落差
[00:00:19.080 --> 00:00:22.160]  呢個落差嘅結果得兩個可能性
[00:00:22.160 --> 00:00:25.040]  一,係要修正返我哋嘅信仰
[00:00:25.040 --> 00:00:29.480]  第二,就可能你會選擇另一間啱聽嘅教會
[00:00:29.480 --> 00:00:34.920]  我哋上禮拜提到受苦僕人係我哋所信靠嘅
[00:00:34.920 --> 00:00:41.200]  我哋今日要睇,喺整個二冊書係講論到耶穌一生嘅預言
[00:00:41.200 --> 00:00:43.000]  唔好忘記弟兄姊妹
[00:00:43.000 --> 00:00:48.320]  唔好相信所有嘅《聖經》學家都係啱嘅
[00:00:48.320 --> 00:00:51.680]  唔好相信所有嘅神學家都係啱嘅
[00:00:51.680 --> 00:00:55.280]  點解呢?因為部份嘅《聖經》學家同埋仇學家
[00:00:55.280 --> 00:00:59.280]  佢唔相信神蹟,亦都唔相信《聖經》嘅預言
[00:00:59.280 --> 00:01:04.280]  將《聖經》只係當做一本嘅文學著作去理解
[00:01:04.280 --> 00:01:07.280]  所以喺二冊書嘅初期
[00:01:07.280 --> 00:01:09.280]  有一啲嘅《聖經》學者認為
[00:01:09.280 --> 00:01:13.280]  二冊書一切關於耶穌一生嘅預言咁準確
[00:01:13.280 --> 00:01:17.280]  所以二冊書嘅成書日期,即係話佢寫成嘅日期
[00:01:17.280 --> 00:01:19.280]  喺耶穌之後
[00:01:19.280 --> 00:01:23.280]  因為唯有咁,先可以解釋到二冊書嘅預言係咁準確
[00:01:23.280 --> 00:01:29.280]  我係感謝主喺上帝嘅奇妙安排底下
[00:01:29.280 --> 00:01:32.280]  二冊書嘅被發掘咗出嚟
[00:01:32.280 --> 00:01:37.280]  成為咗死海古卷裏面一個好重要嘅考古學嘅發現
[00:01:37.280 --> 00:01:43.280]  證明咗二冊書成書嘅日期比學者仲要推前一千年
[00:01:43.280 --> 00:01:48.280]  證明咗一件事,二冊書係耶穌出生之前所完成嘅
[00:01:48.280 --> 00:01:52.280]  所以佢嘅預言嘅準確證明咗上帝嘅說話係可信嘅
[00:01:52.280 --> 00:01:56.280]  同你喺隔離睇先,我講一聲,神嘅話係可信嘅
[00:01:56.280 --> 00:02:01.280]  咁今日從另一個角度,就透過二冊書所講
[00:02:01.280 --> 00:02:03.280]  我哋要信靠呢個受苦嘅僕人
[00:02:03.280 --> 00:02:06.280]  佢哋呢個受苦嘅僕人係點樣呢?佢哋一生係如何呢?
[00:02:06.280 --> 00:02:09.280]  我哋見到嘅,喺二冊書第九章第六節就話
[00:02:09.280 --> 00:02:13.280]  因有一英孩為我哋而生,有一子賜給我哋
[00:02:13.280 --> 00:02:15.280]  政權必擔在佢嘅肩頭上
[00:02:15.280 --> 00:02:21.280]  他名稱為奇妙的賊士,全能嘅上帝,永葬一副和平嘅君
[00:02:21.280 --> 00:02:25.280]  呢段經文喺二冊書嘅《釋經學者》裏面有好多唔同嘅解釋
[00:02:25.280 --> 00:02:28.280]  但係起碼我仍然堅信一件事
[00:02:28.280 --> 00:02:32.280]  呢段經文係預言緊新約嘅尼塞亞耶穌嘅一生
[00:02:32.280 --> 00:02:36.280]  佢係講為上帝所預備,為人類所預備嘅英孩
[00:02:36.280 --> 00:02:41.280]  呢個英孩將會係承擔起整個嘅政權
[00:02:41.280 --> 00:02:48.280]  佢稱為奇妙嘅賊士,全能嘅上帝,永葬一副和平之君
[00:02:48.280 --> 00:02:52.280]  佢帶嚟世界和平,但呢個和平唔係佢第一次嚟所帶到嘅
[00:02:52.280 --> 00:02:55.280]  係必須第二次再嚟先可以成就
[00:02:55.280 --> 00:03:03.280]  但係當耶穌一出嚟嘅時候,佢就宣讀咗尼塞亞書第61章嘅第一節
[00:03:03.280 --> 00:03:05.280]  咩叫神蹟呢?弟兄姊妹
[00:03:05.280 --> 00:03:13.280]  神蹟其中一個我哋睇得到嘅,就係咁啱加咁啱加咁啱
[00:03:13.280 --> 00:03:15.280]  呢啲就係叫神蹟
[00:03:15.280 --> 00:03:18.280]  因為世界冇咁多咁啱加埋咁多嘅咁啱
[00:03:18.280 --> 00:03:23.280]  耶穌咁啱進入會堂裏面,咁啱去到讀聖經
[00:03:23.280 --> 00:03:27.280]  咁啱拎出嚟嘅經卷係尼塞亞書
[00:03:27.280 --> 00:03:32.280]  如果你理解耶穌時代嘅背景,你會知道當時嘅經卷係一卷卷
[00:03:32.280 --> 00:03:36.280]  我哋叫做卷就係咁,有卷軸嘅一卷卷
[00:03:36.280 --> 00:03:42.280]  每一卷嘅經卷唔等於有66卷嘅聖經,亦都唔當然無
[00:03:42.280 --> 00:03:44.280]  因為猶太人係無新約
[00:03:44.280 --> 00:03:48.280]  就算舊約39卷嘅經文都唔係
[00:03:48.280 --> 00:03:50.280]  猶太人嘅分類同我哋唔一樣
[00:03:50.280 --> 00:03:55.280]  但係我知道每一卷唔係能夠包含哂整個舊約
[00:03:55.280 --> 00:04:02.280]  咁啱嗰個嘅安息日拎出嚟嘅經卷就係尼塞亞書
[00:04:02.280 --> 00:04:06.280]  耶穌就打開咗係第61章第一節
[00:04:06.280 --> 00:04:11.280]  當然你明白經文嘅章節係後期加上去
[00:04:11.280 --> 00:04:14.280]  咁方便我哋喺閱讀嘅時候可以跟得到
[00:04:14.280 --> 00:04:17.280]  咁啱讀咗呢段經文,耶穌就話
[00:04:17.280 --> 00:04:20.280]  主嘅靈在我身上,因為祂用高告我
[00:04:20.280 --> 00:04:22.280]  叫我傳方給貧窮嘅人,參與我報告
[00:04:22.280 --> 00:04:26.280]  被老的得釋放,下眼得看見,叫那受壓制得自由
[00:04:26.280 --> 00:04:29.280]  報告上帝預納人嘅欺憐
[00:04:29.280 --> 00:04:34.280]  讀出呢段經文冇令任何人驚訝
[00:04:34.280 --> 00:04:39.280]  當耶穌讀完之後,合埋呢一個經卷講出嘅說話
[00:04:39.280 --> 00:04:41.280]  令整個會場震驚
[00:04:41.280 --> 00:04:43.280]  佢講咩,佢話
[00:04:43.280 --> 00:04:47.280]  今天這經應驗在你們耳中了
[00:04:47.280 --> 00:04:49.280]  意思即係話,你今日見到
[00:04:49.280 --> 00:04:53.280]  宣讀緊呢段經文嘅呢位人物
[00:04:53.280 --> 00:04:57.280]  就係應驗緊尼塞亞書61章第一節嘅
[00:04:57.280 --> 00:04:59.280]  神嘅靈就喺我身上
[00:04:59.280 --> 00:05:04.280]  祂用高告我,叫我傳福音給貧窮嘅人
[00:05:04.280 --> 00:05:08.280]  耶穌藉著呢段經文確立咗佢嘅使命宣言
[00:05:08.280 --> 00:05:10.280]  耶穌新嚟到呢個世界上面
[00:05:10.280 --> 00:05:14.280]  就要成就耳中下書61章第一節嘅經文
[00:05:14.280 --> 00:05:17.280]  當時嘅會眾無法啲想像
[00:05:17.280 --> 00:05:21.280]  耳中下書61章,咁樣應用咁樣理解咩,無法想像
[00:05:21.280 --> 00:05:24.280]  所以今日你就算叫拉比尼解經
[00:05:24.280 --> 00:05:28.280]  佢都唔會解到61章第一節係講到尼塞亞
[00:05:28.280 --> 00:05:32.280]  所以好明顯,我哋必須要理解
[00:05:32.280 --> 00:05:34.280]  耶穌一出嚟嘅時候
[00:05:34.280 --> 00:05:39.280]  佢就宣講天國近了,你們當悔改
[00:05:39.280 --> 00:05:42.280]  我哋身為外邦人,我哋唔係猶太人
[00:05:42.280 --> 00:05:45.280]  我哋無一次明白耶穌一句咁簡短嘅說話
[00:05:45.280 --> 00:05:52.280]  點會令到整個猶太嘅社區咁震撼
[00:05:52.280 --> 00:05:57.280]  因為猶太人喺舊約到新約有四百年嘅默示靜止期
[00:05:57.280 --> 00:06:00.280]  即係話上帝冇再藉著任何先知講說話
[00:06:00.280 --> 00:06:03.280]  喺呢段期間好多嘅刺經出現咗
[00:06:03.280 --> 00:06:07.280]  好多假托咗舊約嘅人物寫成嘅經卷
[00:06:07.280 --> 00:06:09.280]  今日我哋唔承認嗰啲係正典
[00:06:09.280 --> 00:06:12.280]  只能夠稱為刺經,可以做參考之用
[00:06:12.280 --> 00:06:16.280]  但係天主教就將部分嘅刺經列入咗佢哋嘅聖經裏面
[00:06:16.280 --> 00:06:19.280]  呢個亦都係天主教同基督教一個好大嘅分別之一
[00:06:19.280 --> 00:06:22.280]  我哋睇吓當耶穌講天國近了嘅時候
[00:06:22.280 --> 00:06:24.280]  究竟猶太人點樣理解
[00:06:24.280 --> 00:06:27.280]  猶太人嘅理解就係尼塞亞嘅降臨
[00:06:27.280 --> 00:06:30.280]  佢哋一直期盼尼塞亞嘅降臨
[00:06:30.280 --> 00:06:36.280]  唔好忘記,猶太人期望嘅尼塞亞降臨天國嘅臨近
[00:06:36.280 --> 00:06:38.280]  係當施贈約翰出嚟嘅時候
[00:06:38.280 --> 00:06:40.280]  佢成為咗耶穌嘅Pioneer
