
[00:00:00.000 --> 00:00:05.000]  求神祢親自用祢的愛臨在我們當中
[00:00:05.000 --> 00:00:07.000]  我們不斷地禱告
[00:00:07.000 --> 00:00:10.000]  我們說願祢的國度權並榮耀
[00:00:10.000 --> 00:00:14.000]  臨在地上如同成就在天上一樣
[00:00:14.000 --> 00:00:16.000]  但是求神除了我們不斷地禱告之外
[00:00:16.000 --> 00:00:19.000]  求神祢親自進到我們的心裡面
[00:00:19.000 --> 00:00:22.000]  祢首先從轉化我們的心思意念開始
[00:00:22.000 --> 00:00:24.000]  祢興起我們弟兄姊妹的心
[00:00:24.000 --> 00:00:26.000]  能夠成為你流通的管子
[00:00:26.000 --> 00:00:30.000]  實實在在地活出神祢的恩典
[00:00:30.000 --> 00:00:33.000]  祢的愛在地上如同在天上一樣
[00:00:33.000 --> 00:00:36.000]  就是因著神祢親自興起我們
[00:00:36.000 --> 00:00:38.000]  使用我們、拆排我們
[00:00:38.000 --> 00:00:40.000]  求神祢與我們同在
[00:00:40.000 --> 00:00:42.000]  祢話語傳在我們的生命裡面
[00:00:42.000 --> 00:00:44.000]  成為一個好的土壤
[00:00:44.000 --> 00:00:46.000]  讓我們能夠在裡面紮根
[00:00:46.000 --> 00:00:48.000]  讓我們能夠發芽生長
[00:00:48.000 --> 00:00:50.000]  結出美好的果子
[00:00:50.000 --> 00:00:51.000]  主我們多謝祢
[00:00:51.000 --> 00:00:52.000]  讚美祢
[00:00:52.000 --> 00:00:53.000]  求神祢親自同在
[00:00:53.000 --> 00:00:54.000]  與我們同在
[00:00:54.000 --> 00:00:55.000]  聽我們祈禱
[00:00:55.000 --> 00:00:57.000]  奉主耶穌基督寶貴名字祈求
[00:00:57.000 --> 00:00:59.000]  Amen
[00:01:25.000 --> 00:01:26.000]  十七歲的時候
[00:01:26.000 --> 00:01:27.000]  在一國的奮興會上
[00:01:27.000 --> 00:01:29.000]  他深受感動
[00:01:29.000 --> 00:01:31.000]  他決定將自己奉獻
[00:01:31.000 --> 00:01:33.000]  全時間的服侍神
[00:01:33.000 --> 00:01:34.000]  結果大家都知道
[00:01:34.000 --> 00:01:38.000]  他成為一個終身被神使用
[00:01:38.000 --> 00:01:42.000]  一個全球聞名的報道家
[00:01:42.000 --> 00:01:44.000]  韓國的趙容基牧師
[00:01:44.000 --> 00:01:46.000]  他生長在一個佛教的家庭
[00:01:46.000 --> 00:01:48.000]  他十七歲的時候
[00:01:48.000 --> 00:01:51.000]  他染上了一個很嚴重的肺結核
[00:01:51.000 --> 00:01:52.000]  他的醫生判斷他
[00:01:52.000 --> 00:01:55.000]  命都不能夠長
[00:01:55.000 --> 00:01:57.000]  他去到死亡的階段
[00:01:57.000 --> 00:01:59.000]  就是一群基督徒的朋友
[00:01:59.000 --> 00:02:00.000]  去探望他
[00:02:00.000 --> 00:02:01.000]  去安慰他
[00:02:01.000 --> 00:02:02.000]  去為他祈禱
[00:02:02.000 --> 00:02:04.000]  於是他決志信了耶穌
[00:02:04.000 --> 00:02:07.000]  然後經歷一連串的屬靈經歷
[00:02:07.000 --> 00:02:08.000]  他能夠結果
[00:02:08.000 --> 00:02:11.000]  他經歷全人的醫治
[00:02:11.000 --> 00:02:12.000]  所以他很深信
[00:02:12.000 --> 00:02:14.000]  是神呼召他
[00:02:14.000 --> 00:02:15.000]  於是他就開始
[00:02:15.000 --> 00:02:18.000]  為著一群美國的宣教士
[00:02:18.000 --> 00:02:20.000]  做翻譯的工作
[00:02:20.000 --> 00:02:22.000]  而且他開始進入神學院
[00:02:22.000 --> 00:02:24.000]  他讀了兩年之後
[00:02:24.000 --> 00:02:26.000]  在他十九歲的時候
[00:02:26.000 --> 00:02:28.000]  他開始建立教會
[00:02:28.000 --> 00:02:29.000]  然後六十年裡面
[00:02:29.000 --> 00:02:31.000]  他終生的侍奉神
[00:02:31.000 --> 00:02:33.000]  在他退休的時候
[00:02:33.000 --> 00:02:38.000]  他的教會超過八十萬的信徒
[00:02:38.000 --> 00:02:40.000]  香港的陳欣明牧師
[00:02:40.000 --> 00:02:41.000]  他的見證
[00:02:41.000 --> 00:02:46.000]  他說他在基督教的家庭成長
[00:02:46.000 --> 00:02:47.000]  年輕的時候
[00:02:47.000 --> 00:02:49.000]  但因著遇到感情失敗
[00:02:49.000 --> 00:02:51.000]  於是他放棄自己
[00:02:51.000 --> 00:02:52.000]  放縱自己
[00:02:52.000 --> 00:02:55.000]  過著一些很頹廢的生活
[00:02:55.000 --> 00:02:56.000]  在他的見證中說
[00:02:56.000 --> 00:02:57.000]  他流連迪斯科
[00:02:57.000 --> 00:02:59.000]  男女關係很隨便
[00:02:59.000 --> 00:03:02.000]  甚至他吸食大麻丸仔
[00:03:02.000 --> 00:03:08.000]  生命對他變得毫無意義
[00:03:08.000 --> 00:03:09.000]  他曾經說過
[00:03:09.000 --> 00:03:11.000]  他說在他迷失的時候
[00:03:11.000 --> 00:03:14.000]  其實他腦裡知道自己是不應該
[00:03:14.000 --> 00:03:15.000]  但他無能為力
[00:03:15.000 --> 00:03:17.000]  不知道怎麼辦
[00:03:17.000 --> 00:03:19.000]  但感恩神的預備
[00:03:19.000 --> 00:03:22.000]  他有一個對他的愛不離不棄的媽媽
[00:03:22.000 --> 00:03:23.000]  不斷為他祈禱
[00:03:23.000 --> 00:03:25.000]  不斷對他接納
