
[00:00:00.000 --> 00:00:03.400]  大家好 題目是「不要濫用恩賜」
[00:00:03.400 --> 00:00:07.200]  我改了「善用恩賜」 正面一點去
[00:00:07.200 --> 00:00:12.500]  所以你會看到 善用恩賜就是我們不要濫用
[00:00:12.500 --> 00:00:15.500]  其實兩者是息息相關
[00:00:15.500 --> 00:00:19.500]  或者我們一開始的時候 我們有禱告
[00:00:19.500 --> 00:00:23.500]  添付我們 多謝給我們一起去崇拜
[00:00:23.500 --> 00:00:27.800]  我們特別看這段經文 幫助我們怎樣去運用我們的恩賜
[00:00:27.800 --> 00:00:31.200]  特別我們不要濫用 求尊你去幫助
[00:00:31.200 --> 00:00:35.800]  我們這樣祈禱 奉主耶穌基督的名 阿們
[00:00:35.800 --> 00:00:40.300]  我們知道人一生出來 有些才能
[00:00:40.300 --> 00:00:43.400]  這些都是神給我們的
[00:00:43.400 --> 00:00:46.400]  但是當我們成為了基督徒的時候
[00:00:46.400 --> 00:00:48.900]  神會給我們更加多的才能
[00:00:48.900 --> 00:00:52.800]  這些可能是我們以前一直生出來的
[00:00:52.800 --> 00:00:56.600]  與生俱來的才能 繼續去延續或者加強
[00:00:56.600 --> 00:01:01.200]  或者有些才能是我們未信主的時候沒有的
[00:01:01.200 --> 00:01:02.800]  神會加添給我們
[00:01:02.800 --> 00:01:04.400]  這些我們叫「恩賜」
[00:01:04.400 --> 00:01:07.200]  這些「恩賜」如果我們用得好的時候
[00:01:07.200 --> 00:01:09.400]  可以成為很多人的祝福
[00:01:09.400 --> 00:01:10.900]  每個人都有「恩賜」
[00:01:10.900 --> 00:01:13.700]  你可以想一下你自己有什麼「恩賜」
[00:01:13.700 --> 00:01:18.600]  就是播道會一個美國的目者叫做Trust Window
[00:01:18.600 --> 00:01:21.700]  他說過一個人很有「恩賜」
[00:01:21.700 --> 00:01:24.300]  這個人影響他很大
[00:01:24.300 --> 00:01:27.800]  這個人叫做Howard 有一個朋友叫Howard
[00:01:27.800 --> 00:01:29.100]  那Howard怎樣呢?
[00:01:29.100 --> 00:01:32.400]  他自己不是很有錢
[00:01:32.400 --> 00:01:35.100]  不過他就很有私慾的「恩賜」
[00:01:35.100 --> 00:01:39.900]  每個學期 當要交學費的時候
[00:01:39.900 --> 00:01:41.400]  他就幫Trust Window
[00:01:41.400 --> 00:01:45.100]  除了他 還有十個其他的實學生
[00:01:45.100 --> 00:01:48.100]  是完全所有費用都給他
[00:01:48.100 --> 00:01:51.400]  自己不是很多錢 但是他願意這樣做
[00:01:51.400 --> 00:01:57.000]  還有他有一次走到神學院裏面
[00:01:57.000 --> 00:01:59.600]  找這11個學生
[00:01:59.600 --> 00:02:02.100]  不如我們出去玩一下
[00:02:02.100 --> 00:02:05.300]  於是就帶了他們去市中心
[00:02:05.300 --> 00:02:08.300]  吃了些三文治之後
[00:02:08.300 --> 00:02:13.100]  我們走過那間男性的時裝店買些衣服
[00:02:13.100 --> 00:02:18.800]  叫他們喜歡穿什麼新的西裝隨便選
[00:02:18.800 --> 00:02:22.000]  一些運動裝隨便選 又有西裝又有運動裝
