
[00:00:00.000 --> 00:00:05.000]  不知道大家還記不記得昨天那段經文
[00:00:05.000 --> 00:00:10.000]  今天生命樹和大家看的聖經人士與聖經裡面的神
[00:00:10.000 --> 00:00:12.000]  他一直在做神蹟
[00:00:12.000 --> 00:00:19.000]  他的力量不只是在以色列百姓當中
[00:00:19.000 --> 00:00:23.000]  神的力量不一定只是在教會裡面
[00:00:23.000 --> 00:00:27.000]  是在整個世界都在他的手上
[00:00:27.000 --> 00:00:30.000]  所有當日的人都不同的民族
[00:00:30.000 --> 00:00:31.000]  都有他們自己的神
[00:00:31.000 --> 00:00:34.000]  而且他們是很敬虔的對於他們的神
[00:00:34.000 --> 00:00:39.000]  有他們的敬拜投身的方法
[00:00:39.000 --> 00:00:42.000]  但是敬虔沒用
[00:00:42.000 --> 00:00:45.000]  很真誠不等於那個神是真的
[00:00:45.000 --> 00:00:47.000]  會有這個問題
[00:00:47.000 --> 00:00:50.000]  終於他們現在覺悟到
[00:00:50.000 --> 00:00:53.000]  耶和華是真神
[00:00:53.000 --> 00:00:54.000]  他們開始敬佩
[00:00:54.000 --> 00:00:56.000]  又敬佩又敬威
[00:00:56.000 --> 00:00:59.000]  但是當然最可惜的是
[00:00:59.000 --> 00:01:03.000]  非利士人沒有改信耶和華上帝
[00:01:03.000 --> 00:01:05.000]  仍然在拜大菌
[00:01:05.000 --> 00:01:07.000]  不過你的神厲害
[00:01:07.000 --> 00:01:09.000]  我不敢招惹
[00:01:09.000 --> 00:01:11.000]  送回給你了
[00:01:11.000 --> 00:01:13.000]  於是就弄了一個車
[00:01:13.000 --> 00:01:16.000]  送藥櫃回去給以色列
[00:01:16.000 --> 00:01:19.000]  今天是牛直行大道往伯氏墨
[00:01:19.000 --> 00:01:21.000]  昨天也說了
[00:01:21.000 --> 00:01:25.000]  應該一般的牛是不會的
[00:01:25.000 --> 00:01:27.000]  第六章第十節
[00:01:27.000 --> 00:01:29.000]  非利士人就這樣行將
