
[00:00:00.000 --> 00:00:03.000]  各位頂子妹 各位來賓朋友 早晨
[00:00:03.000 --> 00:00:06.000]  今日和大家分享 公義 只有公義
[00:00:06.000 --> 00:00:08.000]  新命紀十六章十八節
[00:00:08.000 --> 00:00:10.000]  小十七章十三節
[00:00:10.000 --> 00:00:12.000]  用我們同心低頭禱告
[00:00:12.000 --> 00:00:15.000]  慈悲仁愛的天父
[00:00:15.000 --> 00:00:17.000]  愛主我們的神
[00:00:17.000 --> 00:00:19.000]  我們要敬拜祢
[00:00:19.000 --> 00:00:22.000]  祢充滿著恩典慈愛憐憫
[00:00:22.000 --> 00:00:26.000]  祢都是有公平公正公義的上帝
[00:00:26.000 --> 00:00:28.000]  求聖靈引導我們進入真理
[00:00:28.000 --> 00:00:30.000]  賜我們悟性去明白
[00:00:30.000 --> 00:00:34.000]  也讓我們做一個聽道有行道的人
[00:00:34.000 --> 00:00:37.000]  奉救主耶穌基督 聖名而求 阿門
[00:00:37.000 --> 00:00:40.000]  大家可能記得在舊約聖經
[00:00:40.000 --> 00:00:42.000]  所羅門王有一個奇案
[00:00:42.000 --> 00:00:46.000]  就是有兩個婦人爭子
[00:00:46.000 --> 00:00:50.000]  在三百多年前的德國也有一個奇案
[00:00:50.000 --> 00:00:54.000]  就是有一位年青女子被謀殺
[00:00:54.000 --> 00:00:56.000]  當時抓了兩個嫌疑犯
[00:00:56.000 --> 00:00:59.000]  一個叫亞歷菲 一個叫威廉
[00:00:59.000 --> 00:01:01.000]  有一個很公正的法官
[00:01:01.000 --> 00:01:05.000]  三番四次審問也找不到誰是真兇
[00:01:05.000 --> 00:01:08.000]  結果他想到一個方法
[00:01:08.000 --> 00:01:11.000]  就是抓色仔
[00:01:11.000 --> 00:01:14.000]  他相信有上帝的參與
[00:01:14.000 --> 00:01:19.000]  抓多一點的就是好人 無罪釋放
[00:01:19.000 --> 00:01:22.000]  結果第一個亞歷菲一抓
[00:01:22.000 --> 00:01:24.000]  他本來心情很緊張
[00:01:24.000 --> 00:01:28.000]  一抓出來十二點
[00:01:28.000 --> 00:01:31.000]  這個亞歷菲很得意
[00:01:31.000 --> 00:01:35.000]  氣焰迫人就和他的對家威廉說
