
[00:00:00.000 --> 00:00:03.000]  好了各位今天我是要講什麼
[00:00:03.000 --> 00:00:04.000]  止住謠言
[00:00:04.000 --> 00:00:08.000]  止住謠言或者謠言死於真理
[00:00:08.000 --> 00:00:10.000]  是的
[00:00:10.000 --> 00:00:14.000]  因為最近我感受很多
[00:00:14.000 --> 00:00:17.000]  尤其現在網路特別發達
[00:00:17.000 --> 00:00:20.000]  那謠言滿天飛啊
[00:00:20.000 --> 00:00:24.000]  尤其我們新冠肺炎發生了以後呢
[00:00:24.000 --> 00:00:27.000]  那個真的是
[00:00:27.000 --> 00:00:29.000]  這個病毒不可怕
[00:00:29.000 --> 00:00:32.000]  謠言殺死一堆人啊
[00:00:32.000 --> 00:00:35.000]  那麼美國爆發了暴亂
[00:00:35.000 --> 00:00:39.000]  這個George Floyd的事件
[00:00:39.000 --> 00:00:42.000]  也是謠言滿天飛啊
[00:00:42.000 --> 00:00:44.000]  又是什麼什麼什麼
[00:00:44.000 --> 00:00:46.000]  其實有的時候
[00:00:46.000 --> 00:00:48.000]  也不見得是謠言只是不夠清純
[00:00:48.000 --> 00:00:50.000]  譬如講說哎呀
[00:00:50.000 --> 00:00:53.000]  Captain Hill他鬧獨立
[00:00:53.000 --> 00:00:55.000]  其實不是鬧獨立
[00:00:55.000 --> 00:00:58.000]  他是鬧自治
[00:00:58.000 --> 00:01:00.000]  獨立是independence
[00:01:00.000 --> 00:01:04.000]  他是鬧這個autonomous
[00:01:04.000 --> 00:01:07.000]  自主自治不一樣
[00:01:07.000 --> 00:01:08.000]  那麼當然了
[00:01:08.000 --> 00:01:10.000]  也有許許多多無可厚非的
[00:01:10.000 --> 00:01:12.000]  許許多多的事情
[00:01:12.000 --> 00:01:16.000]  都讓我們感到非常的困惑
[00:01:16.000 --> 00:01:18.000]  我必須要說
[00:01:18.000 --> 00:01:20.000]  我們常常一句話說
[00:01:20.000 --> 00:01:22.000]  謠言死於智慧
[00:01:22.000 --> 00:01:23.000]  不是嗎
[00:01:23.000 --> 00:01:25.000]  但是我今天的重點是
[00:01:25.000 --> 00:01:27.000]  謠言死於真理
[00:01:27.000 --> 00:01:29.000]  等一下你就知道
[00:01:29.000 --> 00:01:30.000]  所以我要來
[00:01:30.000 --> 00:01:32.000]  跟各位來探討
[00:01:32.000 --> 00:01:36.000]  我們怎麼樣讓謠言死於真理
[00:01:36.000 --> 00:01:38.000]  最後我們可以抵擋
[00:01:38.000 --> 00:01:40.000]  魔鬼的詭計
[00:01:40.000 --> 00:01:42.000]  好不好
[00:01:42.000 --> 00:01:43.000]  好的
[00:01:43.000 --> 00:01:46.000]  謠言死於智者呢
[00:01:46.000 --> 00:01:49.000]  這句話是從哪裡出來的呢
[00:01:49.000 --> 00:01:50.000]  這句話是
[00:01:50.000 --> 00:01:53.000]  《荀子大略》裡面說的
[00:01:53.000 --> 00:01:55.000]  它的原文是說
[00:01:55.000 --> 00:01:58.000]  流言死於嘔嗽
[00:01:58.000 --> 00:02:01.000]  流言死於智者
[00:02:01.000 --> 00:02:02.000]  就是謠言
[00:02:02.000 --> 00:02:05.000]  什麼叫流言死於嘔嗽
[00:02:05.000 --> 00:02:07.000]  就是說一個會滾的東西
[00:02:07.000 --> 00:02:09.000]  一個球呢
[00:02:09.000 --> 00:02:11.000]  它滾到挖陷的地方
[00:02:11.000 --> 00:02:13.000]  它就停在那邊了
[00:02:13.000 --> 00:02:14.000]  同樣的
[00:02:14.000 --> 00:02:16.000]  謠言流言
[00:02:16.000 --> 00:02:19.000]  就會到智慧者那邊
[00:02:19.000 --> 00:02:20.000]  它就停住了
[00:02:20.000 --> 00:02:22.000]  就不會再傳下去了
[00:02:22.000 --> 00:02:25.000]  甚至有一個例子是這麼說
[00:02:25.000 --> 00:02:27.000]  那麼有人來跟趙王說
[00:02:27.000 --> 00:02:28.000]  哎呀
[00:02:28.000 --> 00:02:31.000]  世界上面有老虎啊
[00:02:31.000 --> 00:02:33.000]  趙王說哪有這回事
[00:02:33.000 --> 00:02:34.000]  過了一下
[00:02:34.000 --> 00:02:35.000]  第二個又來說
[00:02:35.000 --> 00:02:37.000]  世界上面有老虎啊
[00:02:37.000 --> 00:02:39.000]  真的假的
[00:02:39.000 --> 00:02:40.000]  過一下第三個人來說
[00:02:40.000 --> 00:02:42.000]  世界上面有老虎啊
[00:02:42.000 --> 00:02:43.000]  哎呦
[00:02:43.000 --> 00:02:44.000]  那可慘了
[00:02:44.000 --> 00:02:46.000]  三個人講了
[00:02:46.000 --> 00:02:47.000]  他就信了
[00:02:47.000 --> 00:02:48.000]  是不是
[00:02:48.000 --> 00:02:50.000]  所以有的時候人家說
[00:02:50.000 --> 00:02:53.000]  謊言講了怎麼樣
