
[00:00:00.000 --> 00:00:03.000]  很多時候我參加團契或是主日學
[00:00:03.000 --> 00:00:06.000]  我會有一些特別的感動
[00:00:06.000 --> 00:00:11.500]  那今天也是因為過去這幾次的主日學裡面
[00:00:11.500 --> 00:00:14.500]  有一些提到信仰方面的
[00:00:14.500 --> 00:00:17.500]  或是有弟兄姊妹問起一些問題
[00:00:17.500 --> 00:00:22.000]  我就想藉著短短今天30分鐘的時間
[00:00:22.000 --> 00:00:23.500]  跟各位一起分享
[00:00:23.500 --> 00:00:26.500]  基督教信仰的核心是什麼
[00:00:26.500 --> 00:00:29.000]  你我所信仰的是什麼
[00:00:29.000 --> 00:00:33.000]  也就是剛剛我們所讀的經文
[00:00:33.000 --> 00:00:35.500]  神在古時藉著眾先知
[00:00:35.500 --> 00:00:38.000]  多次多方小於列祖
[00:00:38.000 --> 00:00:40.000]  神藉著以色列民
[00:00:40.000 --> 00:00:44.000]  神的選民來彰顯神的代理
[00:00:44.000 --> 00:00:45.500]  神的同在
[00:00:45.500 --> 00:00:51.500]  藉著古時的先知向百姓說話
[00:00:51.500 --> 00:00:56.500]  也可以說以色列的民族是多有神蹟
[00:00:56.500 --> 00:00:59.500]  來見證這位獨一的神
[00:00:59.500 --> 00:01:02.500]  可是在末世的時候
[00:01:02.500 --> 00:01:05.500]  也藉著祂的兒子小於我們
[00:01:05.500 --> 00:01:11.500]  藉著主耶穌的道臣肉身來小於我們
[00:01:11.500 --> 00:01:13.500]  所以今天我在準備這個信息的時候
[00:01:13.500 --> 00:01:15.000]  有一個目的
[00:01:15.000 --> 00:01:18.000]  讓我們每一次的信息都有一個目的
[00:01:18.000 --> 00:01:22.000]  是我們的信仰不只是一個宗教的外殼
[00:01:22.000 --> 00:01:25.000]  我用這個字 宗教的外殼
[00:01:25.000 --> 00:01:28.500]  乃是在神啟示而來的舊恩裡面
[00:01:28.500 --> 00:01:30.500]  所以我們來這裡的敬拜
[00:01:30.500 --> 00:01:31.500]  我們所相信的
[00:01:31.500 --> 00:01:33.500]  不只是說你相信一個宗教
[00:01:33.500 --> 00:01:35.000]  他相信一個宗教
[00:01:35.000 --> 00:01:37.000]  我選擇這個宗教比較好
[00:01:37.000 --> 00:01:40.000]  一個宗教的外殼
[00:01:40.000 --> 00:01:42.500]  我的心中的負擔就是
