
[00:00:00.000 --> 00:00:11.000]  今天是母親節,祝在座每一位母親,老公痛惜你們,子女孝順
[00:00:11.000 --> 00:00:18.000]  今天的講道未必和母親節有關係,不是應節的講道
[00:00:18.000 --> 00:00:23.000]  但是在這裡,首先預祝大家母親節快樂
[00:00:23.000 --> 00:00:27.000]  好,我們低頭祈禱,準備我們的心
[00:00:31.000 --> 00:00:34.000]  七天天護上帝,我們來到你面前
[00:00:34.000 --> 00:00:39.000]  我們不但要敬拜你,我們更加要領受主你的說話
[00:00:39.000 --> 00:00:44.000]  最要求你使用你的僕人,你使用他準備的訊息
[00:00:44.000 --> 00:00:50.000]  你讓我們在當中一起領受,一起得到助益
[00:00:50.000 --> 00:00:53.000]  我們在這裡祝你親自與我們同在
[00:00:53.000 --> 00:00:59.000]  在這段時間,你完全掌管聖靈在當中做感動的工作
[00:00:59.000 --> 00:01:02.000]  亦都預備好我們每一位,大興致每一心
[00:01:02.000 --> 00:01:05.000]  奉主耶穌基督聖名,Amen
[00:01:05.000 --> 00:01:13.000]  在很多年前,在香港的時候
[00:01:13.000 --> 00:01:17.000]  手機都不是那麼方便傳訊息的時候
[00:01:17.000 --> 00:01:23.000]  你知道今天我們要看訊息,要收訊息
[00:01:23.000 --> 00:01:25.000]  很多時候都是看手機
[00:01:25.000 --> 00:01:29.000]  我不知道還有多少人會看報紙
[00:01:29.000 --> 00:01:34.000]  不知道有多少人會聽收音機收訊息
[00:01:34.000 --> 00:01:37.000]  這兩樣東西我都仍然在做
[00:01:37.000 --> 00:01:43.000]  但是在香港的時候,更加很多訊息都是靠報紙
[00:01:43.000 --> 00:01:47.000]  香港的報紙有多少,有很多免費的報紙
[00:01:47.000 --> 00:01:52.000]  因此每次搭地鐵都會看報紙
[00:01:52.000 --> 00:01:56.000]  有一次看當天的報紙
[00:01:56.000 --> 00:02:01.000]  一天的報紙內,就有三宗個案
[00:02:01.000 --> 00:02:07.000]  或者是個案,令到我覺得很驚訝的
[00:02:07.000 --> 00:02:13.000]  這三宗個案都與小朋友有關係
[00:02:13.000 --> 00:02:20.000]  第一宗是一個小朋友被鎖在皮箱內
[00:02:20.000 --> 00:02:24.000]  另外一個是八歲的小朋友跳樓自殺
[00:02:24.000 --> 00:02:30.000]  另外一宗就不是發生在香港,而是發生在日本
[00:02:30.000 --> 00:02:36.000]  在日本有一位母親殺死了她的兩個兒子
[00:02:36.000 --> 00:02:41.000]  這三宗個案為何令到我這麼留意呢?
[00:02:41.000 --> 00:02:44.000]  或者令到當時很多人留意
[00:02:44.000 --> 00:02:48.000]  因為這都是與家庭有關
[00:02:48.000 --> 00:02:55.000]  還有一個特色是,這三個家庭都是二族通婚
[00:02:55.000 --> 00:03:00.000]  即是不同的種族,即是聯婚,然後生下來的子女
[00:03:00.000 --> 00:03:05.000]  但是這些子女最後遭殃
[00:03:05.000 --> 00:03:10.000]  當時有一份報紙在分析
[00:03:10.000 --> 00:03:15.000]  它說二族通婚很多時候會有些問題
[00:03:15.000 --> 00:03:21.000]  因為可能互相都要適應不同文化的社會
[00:03:21.000 --> 00:03:24.000]  尤其是外來的配偶
[00:03:24.000 --> 00:03:27.000]  他要適應當地的文化
[00:03:27.000 --> 00:03:32.000]  他要適應家庭裏面跟他一向的文化都不同的文化
[00:03:32.000 --> 00:03:38.000]  然後加上缺乏親友的支持,或者支援他
[00:03:38.000 --> 00:03:43.000]  就很容易因為壓力而產生一些家庭的問題
[00:03:43.000 --> 00:03:51.000]  另一方面就是由於語言上與文化是隔膜的
[00:03:51.000 --> 00:03:59.000]  所以這類家庭很少會向當地的社工求助、求救
[00:03:59.000 --> 00:04:07.000]  直至事故發生,很多時候都是一些悲劇,甚至是命案發生的時候
[00:04:07.000 --> 00:04:12.000]  這個時候大家才會去留意
[00:04:12.000 --> 00:04:16.000]  這個就好像一個社會內的計時炸彈一樣
[00:04:16.000 --> 00:04:19.000]  隨時都會爆發的
[00:04:19.000 --> 00:04:23.000]  二族通婚是否一定有問題呢?
[00:04:23.000 --> 00:04:26.000]  我相信未必一定
[00:04:26.000 --> 00:04:30.000]  但是語言上不通,不能溝通
[00:04:30.000 --> 00:04:34.000]  這個很多時候都會產生很多問題
[00:04:34.000 --> 00:04:42.000]  幾乎語言不通,或者語言溝通上有問題,就肯定會出問題
[00:04:42.000 --> 00:04:45.000]  我等你們先關掉電話
[00:04:45.000 --> 00:04:50.000]  嘩!每個人都裝模作樣地看著別人
[00:04:50.000 --> 00:04:54.000]  是不是你呀!偷偷吃掉他
[00:04:54.000 --> 00:04:59.000]  如果不是,真的很受騷擾
[00:04:59.000 --> 00:05:03.000]  我剛才很幸運地記得關掉電話的聲音
[00:05:03.000 --> 00:05:08.000]  說回人與人之間的溝通主要是什麼?
[00:05:08.000 --> 00:05:11.000]  就是語言,就是說話
[00:05:11.000 --> 00:05:16.000]  很少用其他的方法去溝通
[00:05:16.000 --> 00:05:21.000]  如果你語言上有障礙,產生了一些困難的時候
[00:05:21.000 --> 00:05:24.000]  這個就妨礙了溝通
[00:05:24.000 --> 00:05:28.000]  我們很感謝神的就是給我們有語言的能力
[00:05:28.000 --> 00:05:33.000]  不僅有自己的母語,我們很多時候都會學其他的語言
[00:05:33.000 --> 00:05:39.000]  我在不同的特別環境中成長的時候
[00:05:39.000 --> 00:05:43.000]  我都很好的學到很多種語言
[00:05:43.000 --> 00:05:47.000]  今天又要來到英文的世界裡面
[00:05:47.000 --> 00:05:50.000]  又要再次學一種語言
[00:05:50.000 --> 00:05:54.000]  這個學語言是為了溝通
[00:05:54.000 --> 00:05:58.000]  當時我告訴大家,我的家人是客家人
[00:05:58.000 --> 00:06:02.000]  我們在家裡就用客家話說話
[00:06:02.000 --> 00:06:07.000]  我所處的當時的社會是用福建話的
[00:06:07.000 --> 00:06:09.000]  大家就用福建話聊天
[00:06:09.000 --> 00:06:12.000]  旁邊有一個潮州人
[00:06:12.000 --> 00:06:15.000]  又開始學到一些潮州話
[00:06:15.000 --> 00:06:20.000]  更厲害的是,另一個旁邊是海南人
[00:06:20.000 --> 00:06:25.000]  又學到一些海南話,今天都忘記了
[00:06:25.000 --> 00:06:31.000]  當時自己在印尼長大,一定會印尼文
[00:06:31.000 --> 00:06:37.000]  所以種種語言增加了我很多溝通的方法
[00:06:37.000 --> 00:06:39.000]  跟一些不同的人
[00:06:39.000 --> 00:06:43.000]  就好像今天跟楊太在這裡
[00:06:43.000 --> 00:06:47.000]  她經常說潮州話,我都會聽一點
[00:06:47.000 --> 00:06:50.000]  假裝會說一點,跟她溝通
[00:06:50.000 --> 00:06:53.000]  其實我講的是福建話
[00:06:53.000 --> 00:06:56.000]  福建話跟潮州話都挺相似的
[00:06:56.000 --> 00:06:59.000]  說福建話,她好像也會聽
[00:06:59.000 --> 00:07:02.000]  所以大家都溝通得到
[00:07:02.000 --> 00:07:05.000]  如果你懂得多種語言
[00:07:05.000 --> 00:07:10.000]  你可以懂得多一點跟別人溝通
[00:07:10.000 --> 00:07:14.000]  很多時候我們用三兩句就搞定
[00:07:14.000 --> 00:07:16.000]  所以是非常好的
[00:07:16.000 --> 00:07:20.000]  所以有時候我很詫異
[00:07:20.000 --> 00:07:25.000]  那些指手畫腳說話的人,那些是哪些人?
[00:07:25.000 --> 00:07:27.000]  即是弄牙人士,對不對?
[00:07:27.000 --> 00:07:29.000]  他們是用指手畫腳說話的
[00:07:29.000 --> 00:07:31.000]  嘩!很快喔!
[00:07:31.000 --> 00:07:33.000]  尤其是你看到州長出來說話的時候
[00:07:33.000 --> 00:07:35.000]  後面有一個指手畫腳
[00:07:35.000 --> 00:07:38.000]  你不要以為別人在作怪
[00:07:38.000 --> 00:07:40.000]  其實那個是在翻譯
