
[00:00:00.000 --> 00:00:01.840]  今日這個主日
[00:00:01.840 --> 00:00:04.920]  令我去想起基督徒的合一
[00:00:04.920 --> 00:00:11.920]  似乎每一年都會參加一些合一的祈禱會、聚會
[00:00:11.920 --> 00:00:17.200]  但這個合一對我來說有甚麼提醒呢?
[00:00:17.200 --> 00:00:21.440]  當我去想想近年在香港的一些情況
[00:00:21.440 --> 00:00:27.560]  無論是社會的環境、看電視的新聞報告
[00:00:27.560 --> 00:00:31.440]  那些立法局裏面開會的情況
[00:00:31.440 --> 00:00:37.120]  很多的議題、很多的政治、很多的民生的政策
[00:00:37.120 --> 00:00:42.480]  實在都引起很多不單止是立法局裏面的人
[00:00:42.480 --> 00:00:47.440]  政府的官員或者是民間很多的市民
[00:00:47.440 --> 00:00:51.800]  不同的階層有很多不同的看法之外
[00:00:51.800 --> 00:00:55.640]  甚至亦都發生很多的分歧
[00:00:55.640 --> 00:00:56.920]  不同不要緊
[00:00:56.920 --> 00:01:00.440]  分歧之餘還會有一些的對罵
[00:01:00.440 --> 00:01:03.720]  在網上的罵戰、指責
[00:01:03.720 --> 00:01:06.520]  甚至聽到有些人去講
[00:01:06.520 --> 00:01:09.920]  甚至在Facebook即是一些面書裏面
[00:01:09.920 --> 00:01:11.520]  Unlike那些人
[00:01:11.520 --> 00:01:14.480]  Unlike不只是Unlike他的信息
[00:01:14.480 --> 00:01:21.600]  而是甚至將他從我的朋友的名單裏面去刪除
[00:01:21.600 --> 00:01:26.400]  這些不單止是發生在這個社會
[00:01:26.400 --> 00:01:30.600]  在一個家庭甚至在基督徒的群體裏面
[00:01:30.600 --> 00:01:34.400]  都因為很多不相同的想法
[00:01:34.400 --> 00:01:36.800]  甚至可能對一些的議題
[00:01:36.800 --> 00:01:41.640]  很多不同的看法的時間所產生的
[00:01:41.640 --> 00:01:44.480]  由分歧變成隔膜
[00:01:44.480 --> 00:01:46.480]  當每一次去看到這些情況
[00:01:46.480 --> 00:01:49.880]  我心裏面都覺得不好受
[00:01:49.880 --> 00:01:51.800]  無論在整個的社會
[00:01:51.800 --> 00:01:54.800]  甚至在基督徒的圈子裏面
[00:01:54.800 --> 00:01:59.800]  所以當今日去講這個合一這個課題
[00:01:59.800 --> 00:02:03.600]  對我們來說或者對我自己來說究竟是怎樣呢?
[00:02:03.600 --> 00:02:07.080]  又想起在耶穌最後的階段
[00:02:07.080 --> 00:02:10.480]  他都為門徒去祈禱
[00:02:10.480 --> 00:02:15.680]  這個祈禱亦都是一個門徒之間的合一的祈禱
[00:02:15.680 --> 00:02:17.800]  當他這樣去想的時候
[00:02:17.800 --> 00:02:21.560]  似乎由耶穌的時代去到今時今日
[00:02:21.560 --> 00:02:25.360]  合一都好像是一個理想
[00:02:25.360 --> 00:02:26.960]  合一都好像是一個
[00:02:26.960 --> 00:02:28.960]  希望不是夢想或者是幻想
[00:02:28.960 --> 00:02:29.880]  夢想也好
[00:02:29.880 --> 00:02:33.400]  幻想就好像沒有什麼實踐的機會
[00:02:33.400 --> 00:02:37.920]  而今日想和大家去看回這個彼得前書的經文
