
[00:00:00.000 --> 00:00:01.300]  多謝師傅早晨
[00:00:01.300 --> 00:00:02.900]  由我們在靈性主導以先
[00:00:02.900 --> 00:00:07.500]  我們再次回來在神的啟示裡面
[00:00:07.500 --> 00:00:09.100]  隨著聖靈的引導
[00:00:09.100 --> 00:00:12.300]  幫助我們去明白祂當中的教訓
[00:00:12.300 --> 00:00:15.500]  讓我們再次以禱告能夠仰望在我們主的當中
[00:00:15.500 --> 00:00:18.300]  慈悲父神多謝祢
[00:00:18.300 --> 00:00:21.500]  讓我們能夠可以有生命氣息來到祢的面前
[00:00:21.500 --> 00:00:22.600]  一同去學習
[00:00:22.600 --> 00:00:26.500]  一同去追求認識主祢的教訓
[00:00:26.500 --> 00:00:29.300]  求祢的聖靈引導我們每一個
[00:00:29.300 --> 00:00:31.300]  好使我們都能夠有智慧
[00:00:31.300 --> 00:00:33.700]  是從天而來的智慧
[00:00:33.700 --> 00:00:35.400]  從祢而來的智慧
[00:00:35.400 --> 00:00:38.400]  好使我們去明白祢的說話之後
[00:00:38.400 --> 00:00:43.300]  能夠真的有一個更明白主心腸的生命
[00:00:43.300 --> 00:00:46.500]  活在今天這個世代的當中
[00:00:46.500 --> 00:00:49.800]  縱然我們可能在見證的裡面
[00:00:49.800 --> 00:00:52.200]  人未必是更能夠明白
[00:00:52.200 --> 00:00:54.800]  我們為什麼要這樣去對他們
[00:00:54.800 --> 00:00:57.200]  或者怎樣去面對事情
[00:00:57.200 --> 00:01:00.100]  但願人可以啟發到
[00:01:00.100 --> 00:01:03.800]  能夠在上主生命當中有份的人
[00:01:03.800 --> 00:01:06.200]  是截然不同的生命
[00:01:06.200 --> 00:01:08.600]  讓他們能夠打開這個救恩的門
[00:01:08.600 --> 00:01:11.000]  能夠開始去認識真主祢
[00:01:11.000 --> 00:01:12.500]  求祢幫助我們每一個
[00:01:12.500 --> 00:01:14.600]  能夠去聆聽主祢說話的人
[00:01:14.600 --> 00:01:16.500]  也能夠在這段時間裡面
[00:01:16.500 --> 00:01:18.400]  傳言衛生在祢的當中
[00:01:18.400 --> 00:01:21.800]  禱告奉靠主耶穌基督
[00:01:21.800 --> 00:01:23.500]  得聖的名字而求
[00:01:23.500 --> 00:01:25.200]  阿們
[00:01:25.200 --> 00:01:28.400]  在現在這個世界裡面有一股風氣
[00:01:28.400 --> 00:01:32.300]  這種風氣可能你們未必覺得是一個問題
[00:01:32.300 --> 00:01:35.400]  這種風氣叫做泛濫式的包容
[00:01:35.400 --> 00:01:37.500]  用英文的說法叫做一種
[00:01:37.500 --> 00:01:40.400]  Undiscerning Inclusion
[00:01:40.400 --> 00:01:42.800]  究竟是說什麼呢
[00:01:42.800 --> 00:01:44.700]  我們活在加拿大的人
[00:01:44.700 --> 00:01:46.300]  通常我們都一定會聽過
[00:01:46.300 --> 00:01:48.500]  加拿大最大的特色
[00:01:48.500 --> 00:01:52.400]  就是多元文化
[00:01:52.400 --> 00:01:56.400]  多元文化的意思就是Multiculturalism
[00:01:56.400 --> 00:01:58.100]  就是說我們是
[00:01:58.100 --> 00:02:00.800]  集合各式各樣的文化
[00:02:00.800 --> 00:02:02.200]  在這個國家裡面
[00:02:02.200 --> 00:02:05.800]  我們沒有嘗試把它融為一體
[00:02:05.800 --> 00:02:08.600]  但是我們要保存各個文化的特色
[00:02:08.600 --> 00:02:09.800]  在這個世界裡面
[00:02:09.800 --> 00:02:13.900]  或者在這個國家當中一起的生活
[00:02:13.900 --> 00:02:17.300]  但是所謂泛濫式的包容就很不同
[00:02:17.300 --> 00:02:19.600]  泛濫式的包容是一種
[00:02:19.600 --> 00:02:22.100]  可以說是今天的一種腫瘤
[00:02:22.100 --> 00:02:23.300]  或者甚至是一種
[00:02:23.300 --> 00:02:26.700]  在靈性上面一種的病毒
[00:02:26.700 --> 00:02:29.900]  它不是要民族並存
[00:02:29.900 --> 00:02:31.600]  而是它要怎麼樣
[00:02:31.600 --> 00:02:36.600]  是一種個人主義的泛濫碎片化的融合
[00:02:36.600 --> 00:02:40.400]  聽起來好像所謂一種叫做Oxymoron
[00:02:40.400 --> 00:02:44.100]  碎片化又怎樣融合呢
[00:02:44.100 --> 00:02:48.000]  今天這個世界有很多這類型的思維
[00:02:48.000 --> 00:02:50.800]  是我們不覺察的
[00:02:50.800 --> 00:02:54.100]  甚至造成了一個
[00:02:54.100 --> 00:02:57.100]  今天大家留意到的一個局面就是
[00:02:57.100 --> 00:02:58.500]  以往就說
[00:02:58.500 --> 00:03:02.800]  少數服從多數的民主政制
[00:03:02.800 --> 00:03:06.700]  但是現在竟然在一些民主的國家裡面
[00:03:06.700 --> 00:03:09.400]  漸漸發生一種的改變就是
[00:03:09.400 --> 00:03:14.000]  要多數來遷就少數人的主義
[00:03:14.000 --> 00:03:17.500]  最明顯的一個例子就是
[00:03:17.500 --> 00:03:20.800]  不少的異性戀的人就是說
[00:03:20.800 --> 00:03:23.600]  男女的這種關係
[00:03:23.600 --> 00:03:26.800]  現在要將它解體
[00:03:26.800 --> 00:03:32.600]  進而去遷就那種叫做非異性戀的思想
[00:03:32.600 --> 00:03:35.200]  就稱為今天一個很長的名字
[00:03:35.200 --> 00:03:39.900]  叫做LGBTQIA+
