
[00:00:00.000 --> 00:00:04.300]  活在今天的香港社會 活在這個世界裏面
[00:00:04.300 --> 00:00:09.120]  我們是面對很多的艱難 很多的挑戰
[00:00:09.120 --> 00:00:11.320]  亦都有很多傷感
[00:00:11.320 --> 00:00:14.720]  很多令人憤慨
[00:00:14.720 --> 00:00:17.540]  無奈的事情
[00:00:17.540 --> 00:00:19.840]  接下來的歲月
[00:00:19.840 --> 00:00:22.000]  香港的社會會怎樣
[00:00:22.000 --> 00:00:25.240]  我們的人生會怎樣
[00:00:25.240 --> 00:00:27.960]  我相信我們仍然是
[00:00:27.960 --> 00:00:31.520]  需要主的真光
[00:00:31.520 --> 00:00:34.120]  我們需要主的話語
[00:00:34.120 --> 00:00:40.280]  就是一點一滑都不會廢去的寶貴的話語
[00:00:40.280 --> 00:00:42.640]  來改造我們
[00:00:42.640 --> 00:00:49.600]  繼續叫我們成為忠誠的天國人
[00:00:49.600 --> 00:00:54.200]  成為一個面對任何的情況下
[00:00:54.200 --> 00:00:58.520]  都能夠靠著主的恩典
[00:00:58.520 --> 00:01:00.840]  來在這個世界
[00:01:00.840 --> 00:01:09.480]  有黑暗、有不公義、有苦難等等的壓迫
[00:01:09.480 --> 00:01:11.480]  在這樣的場景裏面
[00:01:11.480 --> 00:01:14.520]  我們仍然能夠說
[00:01:14.520 --> 00:01:17.560]  主啊 我讚美你
[00:01:17.560 --> 00:01:21.720]  因為你仍然是掌管萬有的主宰
[00:01:21.720 --> 00:01:26.680]  仍然是按你的美意 行作萬事的上帝
[00:01:26.680 --> 00:01:32.120]  受苦的你會給他安慰 抹乾他的眼淚
[00:01:32.120 --> 00:01:38.600]  專環的 狂妄的 你一定將他扳倒
[00:01:38.600 --> 00:01:45.560]  被蹂躪的 你一定叫他能夠重新抬起頭來
[00:01:45.560 --> 00:01:47.400]  我們需要甚麼呢
[00:01:47.400 --> 00:01:49.960]  作為基督徒 作為天國的子民
[00:01:49.960 --> 00:01:52.600]  其實我們任何一樣
[00:01:52.600 --> 00:01:56.520]  馬太福音八福的其中一福
[00:01:56.520 --> 00:01:58.840]  都不可或缺
[00:01:58.840 --> 00:02:00.840]  我們今天說的
[00:02:00.840 --> 00:02:04.040]  我們在這個時段 在這個世界裏面
[00:02:04.040 --> 00:02:06.040]  不可少的是甚麼呢
