
[00:00:00.000 --> 00:00:04.040]  那我今天的題目就是福字或者和道或者福道或者和字
[00:00:04.040 --> 00:00:05.520]  是一樣的意思而已
[00:00:05.520 --> 00:00:08.000]  那大家就要看一看
[00:00:08.000 --> 00:00:10.160]  我們一起玩一下遊戲
[00:00:10.160 --> 00:00:12.400]  在網上也可以玩的,自己舉手
[00:00:12.400 --> 00:00:15.440]  這兩個字呢
[00:00:15.440 --> 00:00:17.560]  哪個是和字,哪個是福字?
[00:00:17.560 --> 00:00:21.320]  看清楚,我的
[00:00:21.320 --> 00:00:24.040]  這邊的手是福
[00:00:24.040 --> 00:00:25.760]  還是這邊的手是福呢?
[00:00:25.760 --> 00:00:28.800]  OK,看清楚了
[00:00:29.440 --> 00:00:30.960]  看清楚了,OK
[00:00:30.960 --> 00:00:32.960]  不是很難而已
[00:00:32.960 --> 00:00:38.520]  好,如果大家說這邊的手是福的
[00:00:38.520 --> 00:00:40.320]  大家請舉手
[00:00:40.320 --> 00:00:43.520]  舉手,OK
[00:00:43.520 --> 00:00:45.640]  就是說這邊是福了,是不是?
[00:00:45.640 --> 00:00:47.520]  舉手
[00:00:47.520 --> 00:00:49.040]  正確
[00:00:49.040 --> 00:00:54.280]  但是你說,嘩,穩定嗎?很容易而已
[00:00:54.280 --> 00:00:55.520]  你們聰明而已
[00:00:55.520 --> 00:00:57.000]  這個行書呢
[00:00:58.080 --> 00:01:00.360]  我可以告訴大家,這個字
[00:01:00.360 --> 00:01:05.280]  曾經在一份賀年的揮春
[00:01:05.280 --> 00:01:08.160]  所謂有五個福字
[00:01:08.160 --> 00:01:10.600]  其中竟然寫了一個這個出來
[00:01:10.600 --> 00:01:13.640]  如果你放了五個,你自己在網上找很容易找到的
[00:01:13.640 --> 00:01:17.600]  你放了五個,你就不會覺得這個是禍字了
[00:01:17.600 --> 00:01:19.600]  不過有人就說,啊?
[00:01:19.600 --> 00:01:22.280]  你官方文件來的,你弄一個禍字出來?
[00:01:22.280 --> 00:01:24.960]  就是福中裡面又有禍
[00:01:26.280 --> 00:01:28.200]  其實那個分別呢
[00:01:28.200 --> 00:01:29.840]  教大家
[00:01:29.840 --> 00:01:31.680]  都很難分辨的
[00:01:31.680 --> 00:01:34.080]  如果這個禍字
[00:01:34.080 --> 00:01:36.200]  中間那塊東西呢
[00:01:36.200 --> 00:01:36.920]  看一下
[00:01:36.920 --> 00:01:38.440]  對,Pointer
[00:01:38.440 --> 00:01:39.560]  這一塊東西呢
[00:01:39.560 --> 00:01:43.160]  如果它不是一個圓圓圓的
[00:01:43.160 --> 00:01:45.320]  或者是四方形,Closed(封鎖)了
[00:01:45.320 --> 00:01:48.680]  它是一個類似十字
[00:01:48.680 --> 00:01:51.360]  或者是一個Cross,X
[00:01:51.360 --> 00:01:52.400]  那個就是福字了
[00:01:52.400 --> 00:01:53.840]  差一點點而已
[00:01:53.840 --> 00:01:55.600]  那我想說什麼呢?
[00:01:56.160 --> 00:01:59.840]  有時候呢,福裡面又有禍,禍裡面又有福
[00:01:59.840 --> 00:02:01.640]  我們想要福
[00:02:01.640 --> 00:02:03.520]  又很容易得禍的
[00:02:03.520 --> 00:02:05.880]  那也是我今天的講題
[00:02:05.880 --> 00:02:08.760]  也是《老家福音》這段經文呢
[00:02:08.760 --> 00:02:10.360]  那個特別的地方
[00:02:10.360 --> 00:02:13.360]  我們一起去想一想
[00:02:13.360 --> 00:02:15.360]  我們是蒙福的人
[00:02:15.360 --> 00:02:17.960]  還是一個招禍的人呢
[00:02:17.960 --> 00:02:19.440]  我們一起禱告
[00:02:19.440 --> 00:02:22.600]  天父我們求你幫助我們
[00:02:23.240 --> 00:02:26.960]  讓我們再一次去到你的聖殿
[00:02:26.960 --> 00:02:28.600]  其實聖殿就是我們弟兄姊妹
[00:02:28.600 --> 00:02:29.840]  但是我們的心
[00:02:29.840 --> 00:02:33.360]  一起來去敬拜我們就是一群的
[00:02:33.360 --> 00:02:34.680]  聖殿的人
[00:02:34.680 --> 00:02:36.440]  靈工和活石
[00:02:36.440 --> 00:02:39.200]  在我們一起敬拜的時候
[00:02:39.200 --> 00:02:43.480]  我們不是空空的去敬拜你
[00:02:43.480 --> 00:02:47.000]  但是我們透過你的話語,你的聖言
[00:02:47.000 --> 00:02:48.320]  我們明白
[00:02:48.320 --> 00:02:49.800]  謹守遵行
[00:02:49.800 --> 00:02:51.800]  心裡面有感動
[00:02:52.320 --> 00:02:53.320]  聽從
[00:02:53.320 --> 00:02:57.560]  以致我們再一次更新我們的內心
[00:02:57.560 --> 00:03:00.120]  從心裡面來敬拜你
[00:03:00.120 --> 00:03:02.760]  求主讓我們
[00:03:02.760 --> 00:03:05.240]  去接觸到再一次
[00:03:05.240 --> 00:03:07.600]  耶穌這個平原補糞
