
[00:00:00.000 --> 00:00:02.000]  各位女士們,平安!
[00:00:02.000 --> 00:00:06.000]  我很感恩再一次能夠和大家一起
[00:00:06.000 --> 00:00:08.000]  在神的家中一起來敬拜
[00:00:08.000 --> 00:00:10.000]  一起思想聖經的說話
[00:00:10.000 --> 00:00:13.000]  我們昨天開始提及了一件事情
[00:00:13.000 --> 00:00:16.000]  就是我們一生人最大的祝福
[00:00:16.000 --> 00:00:18.000]  是因為我們信了耶穌
[00:00:18.000 --> 00:00:20.000]  我們最大的祝福
[00:00:20.000 --> 00:00:23.000]  是因為我們屬於這位主
[00:00:23.000 --> 00:00:25.000]  你一生一世
[00:00:25.000 --> 00:00:27.000]  遇到什麼事情都好
[00:00:27.000 --> 00:00:30.000]  你記得你是屬於主的
[00:00:30.000 --> 00:00:33.000]  因此你心裡面會有一種極大的平安
[00:00:33.000 --> 00:00:36.000]  也會給你一種方向
[00:00:36.000 --> 00:00:38.000]  知道你一生要走的路
[00:00:38.000 --> 00:00:42.000]  是跟隨這位你所屬於的主
[00:00:42.000 --> 00:00:44.000]  我們今天繼續思想
[00:00:44.000 --> 00:00:47.000]  究竟在這條跟從主的路上
[00:00:47.000 --> 00:00:52.000]  我們如何逃避很多可能有的危險、試探
[00:00:52.000 --> 00:00:55.000]  讓我們的心偏離了神
[00:00:55.000 --> 00:00:58.000]  我們侯神給我們的恩典
[00:00:58.000 --> 00:01:01.000]  能夠一心專一的來侍奉祂
[00:01:01.000 --> 00:01:02.000]  來跟從祂
[00:01:02.000 --> 00:01:04.000]  大家和我再一起祈禱
[00:01:04.000 --> 00:01:05.000]  再一次仰望主
[00:01:05.000 --> 00:01:07.000]  帶領我們這段時間
[00:01:07.000 --> 00:01:13.000]  主,我們到祢的面前
[00:01:13.000 --> 00:01:16.000]  我們雖然眼睛見不到祢
[00:01:16.000 --> 00:01:21.000]  但主,我們知道祢真實的存在
[00:01:21.000 --> 00:01:24.000]  祢掌管天地宇宙
[00:01:24.000 --> 00:01:27.000]  也帶領著我們的人生
[00:01:27.000 --> 00:01:29.000]  因為我們屬於祢
[00:01:29.000 --> 00:01:31.000]  主在祢的眼目
[00:01:31.000 --> 00:01:34.000]  每時每刻看顧、引導我們
[00:01:34.000 --> 00:01:36.000]  因為我們屬於祢
[00:01:36.000 --> 00:01:38.000]  所以祢何等渴望
