
[00:00:00.000 --> 00:00:04.400]  教會在今個季度一路看著彼得後書
[00:00:04.400 --> 00:00:09.400]  在當中提及要在恩典和真理當中成長
[00:00:09.400 --> 00:00:13.000]  甚麼能夠提醒我們追求成長呢?
[00:00:13.000 --> 00:00:18.100]  就是當我們看到聖經不斷提及主耶穌是會再回來
[00:00:18.100 --> 00:00:21.000]  這不是一個純粹的希望
[00:00:21.000 --> 00:00:23.600]  是一個將來的事實
[00:00:23.600 --> 00:00:26.100]  主耶穌是會再回來
[00:00:26.100 --> 00:00:30.300]  但是在會來之前有很多邪惡的勢力
[00:00:30.300 --> 00:00:36.100]  也不斷地吸引引誘人轉向這些勢力
[00:00:36.100 --> 00:00:37.400]  但聖經清楚說
[00:00:37.400 --> 00:00:40.700]  當人不能夠站穩跟隨基督的時候
[00:00:40.700 --> 00:00:42.600]  跟隨真道的時候
[00:00:42.600 --> 00:00:45.500]  就要面對神公義的審判
[00:00:45.500 --> 00:00:49.800]  面對主在來和主的審判
[00:00:49.800 --> 00:00:53.200]  所有屬神的人都應該得到一種提醒
[00:00:53.200 --> 00:00:57.300]  要更加殷勤來追求認識主
[00:00:57.300 --> 00:01:01.000]  讓自己能夠在真道上不會退後
[00:01:01.000 --> 00:01:02.900]  更加不會停滯
[00:01:02.900 --> 00:01:07.800]  而是能夠一生堅定地跟隨耶穌
[00:01:07.800 --> 00:01:09.900]  所以在今次我們讀彼得後書的時候
[00:01:09.900 --> 00:01:12.800]  不要單單想著讀一些理念
[00:01:12.800 --> 00:01:15.400]  而是在當中求神激勵我們的心
[00:01:15.400 --> 00:01:18.900]  是更加的殷勤追求成長
[00:01:18.900 --> 00:01:19.900]  大家再一起祈禱
[00:01:19.900 --> 00:01:21.900]  我們將時間再交託給主
[00:01:23.900 --> 00:01:25.900]  主我們感謝祢
[00:01:25.900 --> 00:01:27.900]  因為祢的確將有寶貴
[00:01:27.900 --> 00:01:30.900]  有極大的應許賜給我們
[00:01:30.900 --> 00:01:32.900]  既然我們不單止可以脫離
[00:01:32.900 --> 00:01:34.900]  從情欲離的敗壞
[00:01:34.900 --> 00:01:38.900]  也只可以與祢的聖情有份
[00:01:38.900 --> 00:01:40.900]  主我們想到
[00:01:40.900 --> 00:01:42.900]  一個很微小的生命
[00:01:42.900 --> 00:01:45.400]  是塵土所造的人
[00:01:45.400 --> 00:01:48.400]  竟然能夠分享祢的聖情
[00:01:48.400 --> 00:01:51.900]  有祢的榮耀在我們生命中
[00:01:51.900 --> 00:01:54.900]  主啊求祢幫助我們
[00:01:54.900 --> 00:01:55.900]  讓我們真的知道
[00:01:55.900 --> 00:01:57.900]  殷勤的追求認識祢
[00:01:57.900 --> 00:01:59.900]  以致祢能夠盡得了
[00:01:59.900 --> 00:02:01.900]  給我們生命的豐盛
[00:02:01.900 --> 00:02:04.900]  不要讓我們停留在岸邊
[00:02:04.900 --> 00:02:07.900]  讓我們進入海洋深處
[00:02:07.900 --> 00:02:11.900]  進入祢自己給我們豐盛的生命裏面
[00:02:11.900 --> 00:02:12.900]  今次晚上感謝主
