
[00:00:00.000 --> 00:00:10.000]  我是在上個世紀五十年代出生,大家合致一算,一把年紀。
[00:00:10.000 --> 00:00:14.000]  我很幸運,我一生沒有經歷過打仗,
[00:00:14.000 --> 00:00:23.000]  因為我是在一個平安、安全的地區裏面成長的。
[00:00:23.000 --> 00:00:25.000]  但我父母不同,
[00:00:25.000 --> 00:00:31.000]  我的父母是經歷過第二次世界大戰,經歷過內戰,
[00:00:31.000 --> 00:00:40.000]  他們就是在那些很混亂、很多戰爭的時間,走難下來香港。
[00:00:40.000 --> 00:00:43.000]  我就是在香港出生。
[00:00:43.000 --> 00:00:46.000]  所以我一生人未經歷過打仗,
[00:00:46.000 --> 00:00:49.000]  但是我周圍的人經歷過打仗,
[00:00:49.000 --> 00:00:53.000]  我從小就聽他們講很多打仗的故事。
[00:00:53.000 --> 00:00:58.000]  所以如果你吃飯吃得不乾淨,剩下的東西扭計不吃,
[00:00:58.000 --> 00:01:02.000]  有些人就會跟你說,你不要那麼節奏,浪費食物。
[00:01:02.000 --> 00:01:04.000]  你知道嗎?打仗的時候很辛苦的,
[00:01:04.000 --> 00:01:09.000]  走難的時候沒得吃的,很多人餓死的,吃樹皮的。
[00:01:09.000 --> 00:01:12.000]  吃樹皮是怎樣吃的呢?
[00:01:12.000 --> 00:01:14.000]  所以我也不知道樹皮是怎樣吃的,
[00:01:14.000 --> 00:01:19.000]  但是在我弱小的心靈裏面,我就明白了一件事,
[00:01:19.000 --> 00:01:23.000]  打仗很危險,打仗會死很多人,
[00:01:23.000 --> 00:01:28.000]  打仗要走難,打仗是血肉橫飛。
[00:01:28.000 --> 00:01:30.000]  我記得我媽媽說,
[00:01:30.000 --> 00:01:35.000]  她說打仗的時候,她在大後方讀書,
[00:01:35.000 --> 00:01:39.000]  她說每逢警報響起,她說幾十年了,
[00:01:39.000 --> 00:01:43.000]  那些嗡嗡聲還在她的心的落印裏面,
[00:01:43.000 --> 00:01:46.000]  因為那些警報一響起,危險啊危險啊,
