
[00:00:00.000 --> 00:00:03.000]  耶穌擔心祂的門徒
[00:00:03.000 --> 00:00:05.000]  當祂離開世界的時候
[00:00:05.000 --> 00:00:09.000]  怎樣去面對現實
[00:00:09.000 --> 00:00:12.000]  祂知道他們會走入一個
[00:00:12.000 --> 00:00:16.000]  被撒旦所控制的世界環境裡
[00:00:16.000 --> 00:00:18.000]  世界會恨他們
[00:00:18.000 --> 00:00:22.000]  會給他們很多很多的難處
[00:00:22.000 --> 00:00:25.000]  但是耶穌卻很勇敢的
[00:00:25.000 --> 00:00:28.000]  深深的知道
[00:00:28.000 --> 00:00:33.000]  如果他們能夠憑著神的道的聖化
[00:00:33.000 --> 00:00:37.000]  他們能夠真的知道他們的身份
[00:00:37.000 --> 00:00:40.000]  即使入世又如何呢?
[00:00:40.000 --> 00:00:44.000]  所以同樣的我們今天一樣
[00:00:44.000 --> 00:00:48.000]  我們這班蒙主恩典福音請救的人
[00:00:48.000 --> 00:00:51.000]  有一個新的身份
[00:00:51.000 --> 00:00:55.000]  和這個世界是有所不同的
[00:00:55.000 --> 00:00:59.000]  但是我們仍然面對一個相當強烈的
[00:00:59.000 --> 00:01:02.000]  世界的壓力和挑戰
[00:01:02.000 --> 00:01:07.000]  因為一方面我們要保持我們的靈性
[00:01:07.000 --> 00:01:11.000]  我們自己有自己的生活方式、價值觀
[00:01:11.000 --> 00:01:15.000]  但同時我們不能夠脫離這個現世
[00:01:15.000 --> 00:01:21.000]  的生命裡面所帶來給我們各樣的試探
[00:01:21.000 --> 00:01:23.000]  各樣的誘惑
[00:01:23.000 --> 00:01:26.000]  各樣的所謂應該有的
[00:01:26.000 --> 00:01:33.000]  一些所謂世俗事情的生活的條件
[00:01:33.000 --> 00:01:37.000]  所以《大義利書》其實就說了一個入世聖徒的
[00:01:37.000 --> 00:01:40.000]  最好典範的人物
[00:01:40.000 --> 00:01:43.000]  我們過去通常對《大義利書》第一章
[00:01:43.000 --> 00:01:50.000]  多數都會集中說他不吃黃的膳這回事
[00:01:50.000 --> 00:01:53.000]  忽略了他上面有幾樣的抉擇
[00:01:53.000 --> 00:01:57.000]  所以我今天想和大家從《大義利》這個人物裡面
[00:01:57.000 --> 00:02:03.000]  看一下尤其是我們活在一個所謂後真相的
[00:02:03.000 --> 00:02:07.000]  很複雜的今天的社會裡面
[00:02:07.000 --> 00:02:11.000]  又活在一個我們每個人都有自己的職業
[00:02:11.000 --> 00:02:13.000]  所謂走入職場裡面
[00:02:13.000 --> 00:02:16.000]  是完全不同的一個世界
[00:02:16.000 --> 00:02:19.000]  你們基督徒只有兩個選擇
[00:02:19.000 --> 00:02:23.000]  一是妥協於世界
[00:02:23.000 --> 00:02:25.000]  你做兩面人
[00:02:25.000 --> 00:02:27.000]  回來教會是另外一面的面貌
[00:02:27.000 --> 00:02:30.000]  在你自己的職場生活是另外一個面貌
[00:02:30.000 --> 00:02:31.000]  這個是不同的
[00:02:31.000 --> 00:02:34.000]  生命你覺得是自相矛盾的
[00:02:34.000 --> 00:02:36.000]  不可能的
[00:02:36.000 --> 00:02:39.000]  這裡我知道有很多護士們
[00:02:39.000 --> 00:02:42.000]  你要知道你走入這個職場裡面
[00:02:42.000 --> 00:02:46.000]  你要面對醫療界裡面對你很多的要求
[00:02:46.000 --> 00:02:50.000]  但你是一個基督徒又要帶病人去作見證
[00:02:50.000 --> 00:02:53.000]  又要走入病人呼音工作裡面
[00:02:53.000 --> 00:02:54.000]  要和基督徒醫生
[00:02:54.000 --> 00:03:00.000]  但是基督徒醫生一樣面對很難的抉擇
[00:03:00.000 --> 00:03:02.000]  所以你都知道
[00:03:02.000 --> 00:03:04.000]  你怎樣統一你的生命
[00:03:04.000 --> 00:03:08.000]  怎樣一個整合的人生
[00:03:08.000 --> 00:03:11.000]  是我們做基督徒要學習的
[00:03:11.000 --> 00:03:12.000]  我們看一下
[00:03:12.000 --> 00:03:15.000]  因為潔身自愛的《大義利》
[00:03:15.000 --> 00:03:19.000]  同時他又走入這個世俗的職場裡面
[00:03:19.000 --> 00:03:21.000]  他怎樣面對
[00:03:21.000 --> 00:03:24.000]  他做了些什麼的抉擇
[00:03:24.000 --> 00:03:27.000]  讓你知道什麼是底線
[00:03:27.000 --> 00:03:30.000]  什麼一定是說不的
[00:03:30.000 --> 00:03:35.000]  但是有些東西是可以的
[00:03:35.000 --> 00:03:40.000]  是沒有什麼所謂性與俗之分的
[00:03:40.000 --> 00:03:43.000]  所以大義利三位朋友
[00:03:43.000 --> 00:03:46.000]  我們昔日對巴比倫王宮裡面
[00:03:46.000 --> 00:03:51.000]  生活上可以給我們的指引和原則
[00:03:51.000 --> 00:03:54.000]  首先第一到第四節
[00:03:54.000 --> 00:03:59.000]  我們看到這個帝國被衝擊之下
[00:03:59.000 --> 00:04:01.000]  這四位年輕的朋友
