
[00:00:00.000 --> 00:00:02.360]  歡迎大家來到我們的
[00:00:02.360 --> 00:00:05.000]  《基督自保進藏舊約》
[00:00:05.000 --> 00:00:06.800]  已經是第五講了
[00:00:06.800 --> 00:00:10.760]  之前五個月我們讀完了《摩西五經》
[00:00:10.760 --> 00:00:14.440]  我們也用了每個月一本
[00:00:14.440 --> 00:00:16.120]  現在到了第六本
[00:00:16.120 --> 00:00:18.400]  第六本就是《約書阿極》
[00:00:18.400 --> 00:00:19.760]  我們仍然要記住
[00:00:19.760 --> 00:00:21.600]  我們現在看的是《舊約聖經》
[00:00:21.600 --> 00:00:22.720]  或者我們現在當中
[00:00:22.720 --> 00:00:26.000]  都有些新的面孔來到我們當中
[00:00:26.000 --> 00:00:28.760]  我們用一個很特殊的方法
[00:00:28.760 --> 00:00:30.840]  或者是角度去明白
[00:00:30.840 --> 00:00:32.800]  舊約和新約的分別
[00:00:32.800 --> 00:00:35.640]  當你看《聖經》的時候
[00:00:35.640 --> 00:00:37.120]  你有舊約和新約
[00:00:37.120 --> 00:00:38.760]  舊約和新約的分別
[00:00:38.760 --> 00:00:44.760]  好像是一棵樹的樹根和樹幹
[00:00:44.760 --> 00:00:46.720]  樹根和樹幹是不一樣的
[00:00:46.720 --> 00:00:49.480]  樹根是你看不見的
[00:00:49.480 --> 00:00:52.080]  樹幹才是在上面的
[00:00:52.080 --> 00:00:53.520]  我們可以這麼說
[00:00:53.520 --> 00:00:56.880]  舊約聖經是樹根
[00:00:56.880 --> 00:00:59.600]  而新約聖經是樹幹
[00:00:59.600 --> 00:01:04.000]  我們現在活在土地以上的樹幹上
[00:01:04.000 --> 00:01:05.840]  我們不會走下去
[00:01:05.840 --> 00:01:08.040]  捉住一些舊約的東西
[00:01:08.040 --> 00:01:10.640]  但你也不能說舊約和新約沒有關係
[00:01:10.640 --> 00:01:13.360]  因為它們是同一棵樹
[00:01:13.360 --> 00:01:15.120]  正如一個最好的例子
[00:01:15.120 --> 00:01:16.920]  就是你去看舊約的時候
[00:01:16.920 --> 00:01:19.280]  你發現當以色列出埃及的時候
[00:01:19.280 --> 00:01:22.520]  他們需要一隻逾越節的羔羊
[00:01:22.520 --> 00:01:24.160]  但是今天我們來到教會
[00:01:24.160 --> 00:01:27.400]  我們不會捉住逾越節的羔羊
[00:01:27.400 --> 00:01:31.120]  我們不會在逾越節的時候吃羊
[00:01:31.120 --> 00:01:33.440]  相反我們高舉的是耶穌基督十字架
[00:01:33.440 --> 00:01:35.840]  因為這個是影子
[00:01:35.840 --> 00:01:38.720]  這個是最終的實體
[00:01:38.720 --> 00:01:39.840]  今天有了實體
[00:01:39.840 --> 00:01:42.840]  我們再不需要回到影子那裡
[00:01:42.840 --> 00:01:43.640]  同一件事
[00:01:43.640 --> 00:01:45.840]  今天我們去看《約書夏記》的時候
[00:01:45.840 --> 00:01:47.800]  你會發現《約書夏記》有些主題
[00:01:47.800 --> 00:01:50.800]  是你和我今天不會再重複去做的
[00:01:50.800 --> 00:01:52.640]  包括聖戰
[00:01:52.640 --> 00:01:53.760]  打聖戰
[00:01:53.760 --> 00:01:55.720]  因為他們要進迦蘭
[00:01:55.720 --> 00:01:59.400]  也包括他們很講那塊地的重要性
[00:01:59.400 --> 00:02:01.600]  死都要抓住那塊地
[00:02:01.600 --> 00:02:02.400]  我們今天
[00:02:02.400 --> 00:02:04.440]  可能香港人也是抓住那塊地
[00:02:04.440 --> 00:02:08.600]  不過再不是中東那塊地
[00:02:08.600 --> 00:02:10.160]  那塊地再不重要
[00:02:10.160 --> 00:02:15.280]  我們期待的是耶穌基督為我們預備的新天新地
[00:02:15.280 --> 00:02:15.760]  OK
[00:02:15.760 --> 00:02:20.280]  所以我們用一個這樣的影子和實體的眼光去看
[00:02:20.280 --> 00:02:25.840]  我們不可以就這樣讀完《約書夏記》
[00:02:25.840 --> 00:02:27.640]  接著直接應用在我們身上
[00:02:27.640 --> 00:02:28.800]  不可以形容到的
[00:02:28.800 --> 00:02:31.040]  你一定要通過新約
[00:02:31.040 --> 00:02:32.520]  和耶穌基督成就
[00:02:32.520 --> 00:02:35.520]  再看我們怎麼去形容
[00:02:35.520 --> 00:02:39.640]  當然我們這個不是為了講座而講座的講座
[00:02:39.640 --> 00:02:40.760]  我們一直都說
[00:02:40.760 --> 00:02:42.760]  我們是一起讀著《聖經》
[00:02:42.760 --> 00:02:44.280]  我們有一群仔兄姊妹
[00:02:44.280 --> 00:02:45.560]  百多二百個
[00:02:45.560 --> 00:02:48.200]  一起希望在兩年之內
[00:02:48.200 --> 00:02:51.160]  看完整本新舊約的《聖經》
[00:02:51.160 --> 00:02:54.200]  所以我們不是為了要有些知識
[00:02:54.200 --> 00:02:56.440]  所以在聽著舊約的講座
[00:02:56.440 --> 00:02:59.040]  而是我們追求著天國
[00:02:59.040 --> 00:03:02.040]  如果你之前有在我們當中一段時間
[00:03:02.040 --> 00:03:02.680]  你也知道
[00:03:02.680 --> 00:03:06.640]  我們有幾個數字是代表了我們的異象
[00:03:06.640 --> 00:03:08.720]  12、18、20
[00:03:08.720 --> 00:03:11.720]  還有一個11.2 km/s
[00:03:11.720 --> 00:03:13.120]  代表了什麼呢
[00:03:13.120 --> 00:03:15.080]  希望有一天我們的教會裡面
[00:03:15.080 --> 00:03:16.560]  所有12歲
[00:03:16.560 --> 00:03:18.360]  如果你在我們教會長大
