
[00:00:00.000 --> 00:00:02.000]  讓我們先低頭禱告
[00:00:02.000 --> 00:00:06.260]  親愛的天父,感謝祢招聘我們
[00:00:06.260 --> 00:00:08.260]  在教會裡面一起仰望祢
[00:00:08.260 --> 00:00:11.580]  求祢開我們的心
[00:00:11.580 --> 00:00:13.580]  讓祢的道在我們生命裡面扎根
[00:00:13.580 --> 00:00:18.060]  我們這樣禱告,是奉GSO基督明智祈求
[00:00:18.060 --> 00:00:20.060]  阿們
[00:00:20.060 --> 00:00:22.800]  先問大家一個問題
[00:00:22.800 --> 00:00:25.660]  不知在座的你,你覺得
[00:00:25.660 --> 00:00:27.660]  五年之後
[00:00:27.660 --> 00:00:29.660]  或者十年之後的你,是會怎樣養的呢?
[00:00:30.940 --> 00:00:32.940]  那個未來的你
[00:00:32.940 --> 00:00:34.940]  會和今天的你
[00:00:34.940 --> 00:00:36.940]  有幾分相似
[00:00:36.940 --> 00:00:38.940]  有幾分不同呢?
[00:00:38.940 --> 00:00:40.940]  我想每過一段日子
[00:00:40.940 --> 00:00:42.940]  我們總會有些改變
[00:00:42.940 --> 00:00:44.940]  特別是當你回望
[00:00:44.940 --> 00:00:46.940]  五年之前,十年之前的你
[00:00:46.940 --> 00:00:48.940]  你想像一下
[00:00:48.940 --> 00:00:50.940]  那時候照片裡面的你是怎樣的呢?
[00:00:50.940 --> 00:00:52.940]  你的口頭禪是怎樣的呢?
[00:00:52.940 --> 00:00:54.940]  一段日子過去
[00:00:54.940 --> 00:00:56.940]  我們總有改變
[00:00:56.940 --> 00:00:58.940]  除了一些
[00:00:58.940 --> 00:01:00.940]  心態上
[00:01:00.940 --> 00:01:02.940]  樣貌上的改變
[00:01:02.940 --> 00:01:04.940]  其實我們心態上
[00:01:04.940 --> 00:01:06.940]  思想上
[00:01:06.940 --> 00:01:08.940]  你重視的事
[00:01:08.940 --> 00:01:10.940]  你的優先次序
[00:01:10.940 --> 00:01:12.940]  都有可能有很多的改變
[00:01:12.940 --> 00:01:14.940]  但我想有趣的是
[00:01:14.940 --> 00:01:16.940]  除非我們特意去留意
[00:01:16.940 --> 00:01:18.940]  我們這些的轉變
[00:01:18.940 --> 00:01:20.940]  如果不是日子一天一天這樣過
[00:01:20.940 --> 00:01:22.940]  我們其實很少會察覺
[00:01:22.940 --> 00:01:24.940]  自己內心經歷過的變化
[00:01:24.940 --> 00:01:26.940]  很多時候一天又一天
[00:01:26.940 --> 00:01:28.940]  一個星期又一個星期
[00:01:28.940 --> 00:01:30.940]  我們每個星期又回到兩個星期
[00:01:30.940 --> 00:01:32.940]  生活發生很多事
[00:01:32.940 --> 00:01:34.940]  通常我們留意到的改變
[00:01:34.940 --> 00:01:36.940]  都是一些外在事情的改變
[00:01:36.940 --> 00:01:38.940]  可能是
[00:01:38.940 --> 00:01:40.940]  你工作上,你負責的項目
[00:01:40.940 --> 00:01:42.940]  有沒有什麼進展
[00:01:42.940 --> 00:01:44.940]  又或者你的身體健康
[00:01:44.940 --> 00:01:46.940]  有沒有出現什麼毛病
[00:01:46.940 --> 00:01:48.940]  甚至是世界局勢
[00:01:48.940 --> 00:01:50.940]  你都可能會留意它每日的走向
[00:01:50.940 --> 00:01:54.940]  但是弟兄姊妹相較之下
[00:01:54.940 --> 00:01:56.940]  你有沒有同樣
[00:01:56.940 --> 00:01:58.940]  那麼關注那麼留意
[00:01:58.940 --> 00:02:00.940]  你自己內心
