
[00:00:00.000 --> 00:00:05.480]  兩姐妹平安,讓我們一同低頭祈禱
[00:00:05.480 --> 00:00:07.800]  再次感謝你自己的恩典
[00:00:07.800 --> 00:00:11.320]  在諸一的清晨,你給我們有生命氣息
[00:00:11.320 --> 00:00:13.760]  能夠在這裡聚集、敬拜你
[00:00:13.760 --> 00:00:15.720]  這是我們的福氣
[00:00:15.720 --> 00:00:18.880]  我們求你開啟我們心靈的眼睛
[00:00:18.880 --> 00:00:21.640]  讓我們看到你華語的奇妙
[00:00:21.640 --> 00:00:25.040]  幫助我們樂意遵行你的華語
[00:00:25.040 --> 00:00:27.160]  奉耶穌基督的名祈禱
[00:00:27.160 --> 00:00:35.120]  最近,如果我們有留意澳洲新聞
[00:00:35.120 --> 00:00:38.000]  除了工黨在大選中勝出之外
[00:00:38.000 --> 00:00:40.400]  還有一則關於一個家庭
[00:00:40.400 --> 00:00:45.040]  叫做ABALA FAMILY的家庭
[00:00:45.040 --> 00:00:48.480]  這個家庭其實住在離教會不太遠的
[00:00:48.480 --> 00:00:51.320]  Oaklands的地區
[00:00:51.320 --> 00:00:54.320]  本來是一個大好的家庭
[00:00:54.320 --> 00:00:57.040]  但在兩年前發生了
[00:00:57.040 --> 00:01:00.560]  突如其來的劇變
[00:01:00.560 --> 00:01:05.320]  他們家裏面有六兄弟姊妹
[00:01:05.320 --> 00:01:11.760]  有三個小孩,好像是大三個
[00:01:11.760 --> 00:01:17.960]  跟一位表兄妹一起去玩雪糕
[00:01:17.960 --> 00:01:20.600]  當他們在行人路上走的時候
[00:01:20.600 --> 00:01:26.280]  被一名吸毒的司機撞上行人路
[00:01:26.280 --> 00:01:30.760]  他們的四條生命就這樣失去了
[00:01:30.760 --> 00:01:32.520]  他們的父母和家人
[00:01:32.520 --> 00:01:36.840]  自然都是非常震驚和悲傷
[00:01:36.840 --> 00:01:38.840]  很多人都可能會對那位
[00:01:38.840 --> 00:01:45.520]  造成意外的司機心懷憤怒
[00:01:45.520 --> 00:01:49.520]  但令很多人意外的是
[00:01:49.520 --> 00:01:55.560]  鴨大拉夫婦並無遺恨於心
[00:01:55.560 --> 00:02:00.560]  他們要遵循聖經的教導
[00:02:00.560 --> 00:02:05.040]  要以堯書來代替憤恨
[00:02:05.040 --> 00:02:08.560]  因為他們都是天主教徒
[00:02:08.560 --> 00:02:11.080]  近來他們又上電視
[00:02:11.080 --> 00:02:12.920]  上電視新聞的原因
[00:02:12.920 --> 00:02:15.720]  是由於天主教教宗
[00:02:15.720 --> 00:02:18.080]  要舉辦一個家庭日
[00:02:18.080 --> 00:02:20.480]  特別邀請了這個家庭
[00:02:20.480 --> 00:02:23.280]  這對夫婦去梵蒂岡
[00:02:23.280 --> 00:02:26.960]  親身講述他們的心路歷程
[00:02:26.960 --> 00:02:28.080]  我都很開心
[00:02:28.080 --> 00:02:29.960]  他們都是主耶穌的門徒
[00:02:29.960 --> 00:02:32.800]  願意進行聖經的教導
[00:02:32.800 --> 00:02:38.200]  用堯書去脫離怨恨的苦海
[00:02:38.200 --> 00:02:40.960]  在我們生活的環境中
[00:02:40.960 --> 00:02:43.440]  都離不開人的
[00:02:43.440 --> 00:02:45.440]  很多時候人與人之間
[00:02:45.440 --> 00:02:49.920]  是很容易產生矛盾衝突
[00:02:49.920 --> 00:02:53.520]  即使在教會中都是這樣
[00:02:53.520 --> 00:02:56.960]  不是我們今天教會才是這樣
[00:02:56.960 --> 00:03:00.800]  兩千年前的哥林多教會都是一樣
[00:03:00.800 --> 00:03:05.600]  充滿了紛爭、批評、搞小圈子
[00:03:05.600 --> 00:03:10.240]  陣營對抗、甚至階級歧視
[00:03:10.240 --> 00:03:12.400]  上星期張傳道已經給我們看了
[00:03:12.400 --> 00:03:14.280]  第一章的下半段
[00:03:14.280 --> 00:03:15.800]  那裡所講的
[00:03:15.800 --> 00:03:18.800]  就是有些哥林多教會的會友
[00:03:18.800 --> 00:03:22.560]  批評保羅不遵守諾言
[00:03:22.560 --> 00:03:26.760]  本來說是要路經哥林多探訪他們
[00:03:26.760 --> 00:03:28.360]  結果就不守約
[00:03:28.360 --> 00:03:30.840]  只是派了一位助手
[00:03:30.840 --> 00:03:34.320]  帶了保羅的一封信去
[00:03:34.320 --> 00:03:36.960]  今天我們來看第二章
[00:03:36.960 --> 00:03:39.720]  5至11節的經文
[00:03:39.720 --> 00:03:41.720]  這裡是針對教會
[00:03:41.720 --> 00:03:45.080]  懲罰了一位弟兄
[00:03:45.080 --> 00:03:49.560]  以保羅教導他們要如何處理
[00:03:49.560 --> 00:03:53.480]  讓我們一起思想這段經文
[00:03:53.480 --> 00:03:55.160]  第五節提到
[00:03:55.160 --> 00:03:59.560]  「如果有人洗別人鼻上」
[00:03:59.560 --> 00:04:02.600]  這裡的「如果」不是假設的意思
[00:04:02.600 --> 00:04:04.760]  而是真有其事
[00:04:04.760 --> 00:04:08.560]  教會的確是有一個人
