
[00:00:00.000 --> 00:00:03.500]  (主席)各位兄弟姐妹平安,新年夢豐
[00:00:03.500 --> 00:00:09.000]  本來在新年開始我們會說一些應時的事
[00:00:09.000 --> 00:00:15.000]  說一下反省過去的一年和新年在神面前立志
[00:00:15.000 --> 00:00:19.500]  不過今天教會定了這個主日是門訓主日
[00:00:19.500 --> 00:00:26.500]  還有定了經文是講司徒行傳十五章的一至三十五節
[00:00:27.000 --> 00:00:31.000]  我會跟著這段經文思想
[00:00:31.000 --> 00:00:34.500]  不過在指令團契和夫婦團契
[00:00:34.500 --> 00:00:40.500]  我會多說一些新年和應節的課題
[00:00:40.500 --> 00:00:46.000]  這張聖經如果打開司徒行傳二十八章
[00:00:46.000 --> 00:00:50.500]  它剛剛在司徒行傳的中間部分
[00:00:50.500 --> 00:00:53.000]  前半部有十四章
[00:00:53.500 --> 00:00:58.500]  講到這個福音如何從耶穌基督領授
[00:00:58.500 --> 00:01:03.000]  由耶路撒冷、猶大傳遞、撒瑪利亞
[00:01:03.000 --> 00:01:05.500]  不過還沒有去到地極
[00:01:05.500 --> 00:01:12.500]  所謂地極就是羅馬帝國的核心和地中海邊緣的地帶
[00:01:12.500 --> 00:01:16.500]  你想想二千五百年前的地理知識很有局限
[00:01:16.500 --> 00:01:19.500]  他們在西方為中心
[00:01:19.500 --> 00:01:22.000]  看不到東方的世界是怎樣
[00:01:22.500 --> 00:01:24.500]  所以他們所謂的地極
[00:01:24.500 --> 00:01:30.500]  往東去到波斯帝國或者印度的邊緣
[00:01:30.500 --> 00:01:33.000]  往西去到西班牙
[00:01:33.000 --> 00:01:35.500]  一出了直布羅河海峽
[00:01:35.500 --> 00:01:38.000]  就好像希臘神話一樣掉下去了
[00:01:38.000 --> 00:01:40.500]  他看不到更遠的地方
[00:01:40.500 --> 00:01:43.000]  北非往南
[00:01:43.000 --> 00:01:45.500]  除了北非的一些國家
[00:01:45.500 --> 00:01:47.500]  南部有一個大的沙漠
[00:01:47.500 --> 00:01:49.500]  令到他沒有辦法
[00:01:49.500 --> 00:01:52.000]  而在歐洲的北方
[00:01:52.500 --> 00:01:54.500]  英安時仍未開發
[00:01:54.500 --> 00:01:58.000]  比起二千年前的中國
