
[00:00:00.000 --> 00:00:05.900]  我們一起讀一段聖經,在詩篇第37篇第8節,
[00:00:05.900 --> 00:00:08.420]  我們一同來念這節經文。
[00:00:08.420 --> 00:00:12.140]  「當止住怒氣,離棄憤怒,
[00:00:12.140 --> 00:00:15.800]  不要心懷不平,以致作惡。」
[00:00:15.800 --> 00:00:17.780]  我們就讀到這裡。
[00:00:17.780 --> 00:00:21.800]  最近這一陣子在美國Baltimore,
[00:00:21.800 --> 00:00:25.860]  發生了警員打死一位黑人的一個事件,
[00:00:25.860 --> 00:00:29.100]  造成當地黑人的暴動。
[00:00:29.100 --> 00:00:34.200]  當我們在電視上看到那種暴徒打劫商店,
[00:00:34.200 --> 00:00:38.340]  而警察在旁邊束手無策的光景,
[00:00:38.340 --> 00:00:41.620]  我相信我們心裡都十分的傷痛。
[00:00:41.620 --> 00:00:45.020]  我們也看見這不只是一個單獨的事件而已,
[00:00:45.020 --> 00:00:49.240]  從去年Missouri州的Ferguson的暴動,
[00:00:49.240 --> 00:00:51.140]  一直到如今,
[00:00:51.140 --> 00:00:57.820]  都反映出這個世代的人心是充滿了憤怒。
[00:00:57.820 --> 00:01:00.420]  我們心中充滿憤怒,
[00:01:00.420 --> 00:01:03.460]  是因為我們覺得不公平,
[00:01:03.460 --> 00:01:07.740]  而憤怒跟苦澀所帶來的結果,
[00:01:07.740 --> 00:01:12.220]  常常就是一種想要報復的心態。
[00:01:12.220 --> 00:01:15.300]  而事實上這種出於報復的行動,
[00:01:15.300 --> 00:01:20.260]  往往是比原來的罪行更加可怕。
[00:01:20.260 --> 00:01:25.340]  在電視上我們一而再,再而三的看到這些情況,
[00:01:25.340 --> 00:01:29.580]  而且我們也看見許多種族之間的仇恨,
[00:01:29.580 --> 00:01:34.940]  也都是因為這種報復的心態越來越加深。
[00:01:34.940 --> 00:01:37.780]  所以剛才我們讀的經文很清楚的講到,
[00:01:37.780 --> 00:01:41.300]  不要心懷不平以致怎麼樣?
[00:01:41.300 --> 00:01:42.700]  作惡。
[00:01:42.700 --> 00:01:45.540]  本來明明是別人不對,
[00:01:45.540 --> 00:01:48.220]  可是當你心懷不平的時候,
[00:01:48.220 --> 00:01:50.140]  你就想報復,
[00:01:50.140 --> 00:01:52.700]  你自己就去做惡事,
[00:01:52.700 --> 00:01:59.220]  結果你自己就跟你所憎恨的人完全一模一樣。
[00:01:59.220 --> 00:02:03.260]  我們看見這個世代的人心中,
[00:02:03.260 --> 00:02:08.860]  就是充滿了各種的苦澀跟憤怒的情緒。
[00:02:08.860 --> 00:02:11.860]  甚至連我們基督徒有時候也不例外,
[00:02:11.860 --> 00:02:15.260]  我們也必須承認多少時候在我們心中深處,
[00:02:15.260 --> 00:02:18.660]  有一種苦澀的心態?
[00:02:18.660 --> 00:02:22.060]  多少時候就是因為別人所說的一句話,
[00:02:22.060 --> 00:02:25.220]  一件事情就叫我們受傷害,
