
[00:00:00.000 --> 00:00:04.060]  推薦大家跟我一起再次的低頭祈禱
[00:00:04.060 --> 00:00:10.700]  鄉長我們感謝你
[00:00:10.700 --> 00:00:15.980]  感謝你讓我們今天能夠回到你的殿去敬拜
[00:00:15.980 --> 00:00:19.640]  讓一切榮耀縱山都歸到你的面前
[00:00:19.640 --> 00:00:23.480]  有願聖靈與我們同在
[00:00:23.480 --> 00:00:25.920]  讓我們能夠明白你的話語
[00:00:25.920 --> 00:00:29.640]  更加願聽的和說的都同蒙你的原諒
[00:00:29.640 --> 00:00:32.800]  耶路奉主耶穌基督的名義求 阿門
[00:00:32.800 --> 00:00:36.860]  今天是區會的主日
[00:00:36.860 --> 00:00:41.700]  我們很感恩剛才有區會的執委
[00:00:41.700 --> 00:00:43.900]  鎮民委員會的副主席吳水禮執事
[00:00:43.900 --> 00:00:46.640]  在我們當中和我們一起參與崇拜
[00:00:46.640 --> 00:00:48.340]  以及帶領我們啟認
[00:00:48.340 --> 00:00:51.320]  區會在2013-2014年的事工中心
[00:00:51.320 --> 00:00:54.280]  就是「效法基督 分享主愛」
[00:00:54.280 --> 00:00:58.720]  這個主題正是要提醒本會各個的堂會
[00:00:59.080 --> 00:01:01.640]  教會是屬於耶穌基督
[00:01:01.640 --> 00:01:03.380]  而不是屬於個人的
[00:01:03.380 --> 00:01:07.920]  所以教會真正的領導人是主耶穌基督
[00:01:07.920 --> 00:01:11.140]  所以教會需要學習
[00:01:11.140 --> 00:01:13.020]  需要謹記
[00:01:13.020 --> 00:01:15.660]  要凡事效法基督
[00:01:15.660 --> 00:01:18.600]  並且以基督耶穌的心為心
[00:01:18.600 --> 00:01:23.980]  作為我們一切計劃、行事的指導原則
[00:01:23.980 --> 00:01:26.080]  所以今天區會
[00:01:26.320 --> 00:01:31.340]  為到區會主日各個堂會所訂定的經文
[00:01:31.340 --> 00:01:34.500]  是《菲律賓書》的二章一至十八節
[00:01:34.500 --> 00:01:36.820]  題目也是區會訂出的
[00:01:36.820 --> 00:01:39.860]  是以基督的心為心的教會
[00:01:39.860 --> 00:01:43.120]  這段經文正好為今天的教會
[00:01:43.120 --> 00:01:45.420]  如何可以真正的落實
[00:01:45.420 --> 00:01:46.920]  去效法基督
[00:01:46.920 --> 00:01:48.920]  以及分享祂的愛
