
[00:00:00.000 --> 00:00:02.440]  我們經常說聖誕故事
[00:00:02.440 --> 00:00:05.880]  都將焦點放在英雄耶穌的身上
[00:00:05.880 --> 00:00:08.960]  這當然是對的
[00:00:08.960 --> 00:00:14.520]  記不記得剛才我們讀過甚麼聖經
[00:00:14.520 --> 00:00:16.680]  主席帶我們讀的
[00:00:16.680 --> 00:00:18.080]  一起讀
[00:00:18.080 --> 00:00:20.240]  在伯利恆之野地裡
[00:00:20.240 --> 00:00:21.640]  有牧羊的人
[00:00:21.640 --> 00:00:25.000]  夜間按著奸刺看守羊群
[00:00:25.000 --> 00:00:27.960]  有主的使者站在他們旁邊
[00:00:27.960 --> 00:00:30.480]  主的榮光四面照著他們
[00:00:30.480 --> 00:00:32.840]  牧羊的人就甚懼怕
[00:00:32.840 --> 00:00:34.600]  那天使對他們說
[00:00:34.600 --> 00:00:35.640]  不要懼怕
[00:00:35.640 --> 00:00:38.120]  我報給你們大喜的訊息
[00:00:38.120 --> 00:00:40.400]  是關乎萬民的
[00:00:40.400 --> 00:00:41.480]  懂了嗎
[00:00:41.480 --> 00:00:43.920]  因今天在大衛的城裡
[00:00:43.920 --> 00:00:45.960]  為你們生了救主
[00:00:45.960 --> 00:00:47.680]  就是主基督
[00:00:47.680 --> 00:00:50.960]  他要抱著布臥在馬槽裡
[00:00:50.960 --> 00:00:53.000]  這就是記號了
[00:00:53.000 --> 00:00:56.000]  忽然有天君和天使讚美神
[00:00:56.000 --> 00:00:57.720]  說得美
[00:00:57.720 --> 00:01:01.560]  在至高之處榮耀歸於神
[00:01:01.560 --> 00:01:06.240]  在地上平安歸於他所喜悅的人
[00:01:06.240 --> 00:01:08.320]  大家剛才慢了一點
[00:01:08.320 --> 00:01:10.240]  其實真的很熟悉
[00:01:10.240 --> 00:01:13.400]  這段經文真的年年都會讀
[00:01:13.400 --> 00:01:16.840]  還有我小時候已經讀過很多次
[00:01:16.840 --> 00:01:20.120]  通常小朋友出來獻唱的時候
[00:01:20.120 --> 00:01:21.400]  我都是其中之一
[00:01:21.400 --> 00:01:24.040]  就會讀這段經文
[00:01:24.040 --> 00:01:26.480]  所以可能有人說這段經文
[00:01:26.480 --> 00:01:29.280]  除了《約翰福音》三章十六字之外
[00:01:29.280 --> 00:01:33.160]  應該是我們最熟悉的一段經文
[00:01:33.160 --> 00:01:36.800]  當然我們讀就朗朗上口
[00:01:36.800 --> 00:01:39.560]  但其實如果說聖誕節裡面
[00:01:39.560 --> 00:01:42.160]  環繞著主耶穌的身上
[00:01:42.160 --> 00:01:45.360]  還有兩位女性都是很重要的
[00:01:45.360 --> 00:01:47.680]  她們一個有血有肉的經歷
[00:01:47.680 --> 00:01:49.720]  我們都不能忽視
[00:01:49.720 --> 00:01:52.360]  其實說起《路加福音》很特別
[00:01:52.360 --> 00:01:55.960]  《路加福音》常常去描寫女性
[00:01:55.960 --> 00:01:58.560]  她描寫得很細緻
[00:01:58.560 --> 00:02:00.960]  譬如在《路加福音》第七章裡面
[00:02:00.960 --> 00:02:03.560]  就說到那位拿恩成的寡婦
[00:02:03.560 --> 00:02:04.560]  大家記不記得
[00:02:04.560 --> 00:02:05.800]  她兒子死了
[00:02:05.800 --> 00:02:06.920]  抬出來的時候
[00:02:06.920 --> 00:02:09.640]  耶穌就叫她兒子復活
[00:02:09.640 --> 00:02:11.560]  還有同一章裡面
[00:02:11.560 --> 00:02:14.480]  就有法利塞人西門家中
[00:02:14.480 --> 00:02:16.080]  一個有罪的女人
[00:02:16.080 --> 00:02:17.160]  大家記不記得
[00:02:17.160 --> 00:02:20.560]  她就將香膏塗在耶穌的腳上
[00:02:20.560 --> 00:02:23.960]  用頭髮去抹耶穌的腳
[00:02:23.960 --> 00:02:24.880]  記不記得
[00:02:24.880 --> 00:02:29.000]  耶穌就說因為西門很不滿意
[00:02:29.000 --> 00:02:31.320]  耶穌就說愛多
[00:02:31.320 --> 00:02:34.640]  她所作的就多了
[00:02:34.640 --> 00:02:36.920]  愛少就作得少
[00:02:36.920 --> 00:02:39.160]  還有第八章很特別的
[00:02:39.160 --> 00:02:41.000]  《路加福音》裡面提到
[00:02:41.000 --> 00:02:44.000]  原來有一群婦女在經濟上
[00:02:44.000 --> 00:02:49.880]  是支持耶穌和使徒的傳道工作
[00:02:49.880 --> 00:02:51.880]  所以在《路加福音》裡面
[00:02:51.880 --> 00:02:57.040]  今天我們嘗試將伊麗莎白和瑪利亞
[00:02:57.040 --> 00:03:00.320]  這兩個女性的故事並列來看
