
[00:00:00.000 --> 00:00:01.140]  我們已經十八年了
[00:00:01.140 --> 00:00:03.880]  在我們今天的十八週年裏面
[00:00:03.880 --> 00:00:05.540]  我們想講一個題目
[00:00:05.540 --> 00:00:07.880]  想我們重新思考一下
[00:00:07.880 --> 00:00:10.860]  究竟教會最基要的使命是甚麼
[00:00:10.860 --> 00:00:13.180]  因為現在是非常之紛亂的世界裏面
[00:00:13.180 --> 00:00:15.840]  有很多人對教會的使命有不同的說法
[00:00:15.840 --> 00:00:19.400]  甚至乎說了很多跟聖經是沒有關係的東西
[00:00:19.400 --> 00:00:22.080]  但我想講的是最基要的
[00:00:22.080 --> 00:00:23.440]  我是說最基要的
[00:00:23.440 --> 00:00:26.280]  即是說你最起碼要做到這幾件事
[00:00:26.280 --> 00:00:27.640]  然後在這幾件事之上
[00:00:27.640 --> 00:00:29.040]  你再加上去做其他事
[00:00:29.040 --> 00:00:30.320]  如果有聖經支持的話
[00:00:30.320 --> 00:00:31.200]  當然是可以的
[00:00:31.200 --> 00:00:33.520]  但問題是如果最基要的也做不到的話
[00:00:33.520 --> 00:00:34.840]  其他就不需要提了
[00:00:34.840 --> 00:00:37.040]  如果一個人他臨離開世界
[00:00:37.040 --> 00:00:39.080]  或者臨別之前跟你講的說話
[00:00:39.080 --> 00:00:40.280]  就是最重要的了
[00:00:40.280 --> 00:00:41.440]  通常都是這樣
[00:00:41.440 --> 00:00:43.480]  很少人臨死之前會講廢話的
[00:00:43.480 --> 00:00:46.560]  但我們見到耶穌是臨上十字架之前
[00:00:46.560 --> 00:00:48.760]  耶穌是臨升天之前
[00:00:48.760 --> 00:00:50.800]  講過兩段很重要的說話
[00:00:50.800 --> 00:00:52.920]  從這裏芝斯瑪迹去找到
[00:00:52.920 --> 00:00:55.760]  教會最基要的使命是甚麼
[00:00:55.760 --> 00:00:56.760]  我們見到的
[00:00:56.760 --> 00:00:59.120]  在約翰福音十五章、十六章、十七章
[00:00:59.120 --> 00:01:01.640]  我們沒法子很詳盡的逐一解釋
[00:01:01.640 --> 00:01:03.240]  但我們見到十五、十六章
[00:01:03.240 --> 00:01:05.200]  是耶穌臨上十字架之前
[00:01:05.200 --> 00:01:09.240]  對門徒講了非常詳盡的一篇教導
[00:01:09.240 --> 00:01:10.760]  但到了第十七章
[00:01:10.760 --> 00:01:13.360]  如果我們過往講的甚麼主禱文
[00:01:13.360 --> 00:01:15.440]  基本上我們在天上的父、怨人
[00:01:15.440 --> 00:01:16.800]  都尊你的名為聖
[00:01:16.800 --> 00:01:18.280]  那個不是叫主禱文
[00:01:18.280 --> 00:01:21.080]  那個是主教導門徒的禱文
[00:01:21.080 --> 00:01:23.000]  但約翰福音十七章
[00:01:23.000 --> 00:01:25.040]  就真的是耶穌的禱文
[00:01:25.040 --> 00:01:26.240]  真的是主禱文
[00:01:26.240 --> 00:01:28.720]  一會兒我們會看主禱文裏面
[00:01:28.720 --> 00:01:30.720]  耶穌所關心、所講的是甚麼
[00:01:30.720 --> 00:01:31.720]  祂臨別之前
[00:01:31.720 --> 00:01:32.800]  臨上十字架之前
[00:01:32.800 --> 00:01:34.560]  為世界祈禱的時候
[00:01:34.560 --> 00:01:36.000]  祂強調的是甚麼
[00:01:36.000 --> 00:01:37.240]  第一件事我們見到的
[00:01:37.240 --> 00:01:39.040]  耶穌臨離開世界
[00:01:39.040 --> 00:01:40.400]  上十字架之前
[00:01:40.400 --> 00:01:42.240]  要交下一條新的命令
[00:01:42.240 --> 00:01:43.720]  在《約翰福音》一書裏面
[00:01:43.720 --> 00:01:45.120]  是不斷提到這條新命令
[00:01:45.120 --> 00:01:48.040]  祂說你們要彼此相愛
[00:01:48.040 --> 00:01:49.480]  像我愛你不一樣
[00:01:49.480 --> 00:01:51.560]  這就是我的命令
[00:01:51.560 --> 00:01:52.920]  跟你解釋一下
[00:01:52.920 --> 00:01:53.920]  你要彼此相愛
[00:01:55.800 --> 00:01:57.480]  如果這樣的話
[00:01:57.480 --> 00:01:58.160]  我想告訴你
[00:01:58.160 --> 00:01:59.360]  彼此相愛是不容易做的
[00:01:59.360 --> 00:02:00.160]  如果容易做的話
[00:02:00.160 --> 00:02:02.320]  耶穌不需要在臨別之前
[00:02:02.320 --> 00:02:03.800]  講一個這麼重要的訊息
[00:02:03.800 --> 00:02:05.360]  如果講了就可以做到的
[00:02:05.360 --> 00:02:06.120]  就是在《約翰福音》一書裏面
[00:02:06.120 --> 00:02:06.880]  不需要再提
[00:02:06.880 --> 00:02:08.760]  彼此相愛是極之難做的
[00:02:08.760 --> 00:02:09.960]  跟你解釋一下
[00:02:09.960 --> 00:02:11.400]  再跟祂說一聲
[00:02:11.400 --> 00:02:12.600]  祢是很難頂
[00:02:12.600 --> 00:02:14.040]  但仍然我都愛你
[00:02:14.040 --> 00:02:21.600]  彼此相愛是並不容易的真理
[00:02:21.600 --> 00:02:26.200]  是耶穌為何要神而眾之地說
[00:02:26.200 --> 00:02:28.000]  我要給你一條新的命令
[00:02:28.000 --> 00:02:29.320]  你們要彼此相愛
[00:02:29.320 --> 00:02:30.640]  因為是一件不容易
[00:02:30.640 --> 00:02:31.640]  不簡單的事情
[00:02:31.640 --> 00:02:34.280]  去到《約翰福音》第17章第一節
[00:02:34.280 --> 00:02:36.680]  耶穌開始祂的禱文裏面
[00:02:36.680 --> 00:02:38.040]  第一樣祂關心的
[00:02:38.040 --> 00:02:40.040]  跟祂教導我們的禱文
