
[00:00:00.000 --> 00:00:01.880]  在前幾天
[00:00:01.880 --> 00:00:04.320]  當我晚上回到家的時候
[00:00:04.320 --> 00:00:05.480]  都很晚了
[00:00:05.480 --> 00:00:06.680]  打開電視
[00:00:06.680 --> 00:00:09.280]  我看到一個節目
[00:00:09.280 --> 00:00:13.400]  剛剛訪問馬慈亨
[00:00:13.400 --> 00:00:17.320]  當主持人來訪問他的時候
[00:00:17.320 --> 00:00:19.840]  他說你十五歲已經出來工作了
[00:00:19.840 --> 00:00:20.880]  由低做起
[00:00:20.880 --> 00:00:23.560]  由金融界去到商界
[00:00:23.560 --> 00:00:25.320]  由商界走入政壇
[00:00:25.320 --> 00:00:26.760]  現在又去到港鐵
[00:00:26.760 --> 00:00:29.160]  來做執行主席
[00:00:29.160 --> 00:00:32.120]  究竟你的成功是靠甚麼呢
[00:00:32.120 --> 00:00:33.720]  馬慈亨就說
[00:00:33.720 --> 00:00:37.080]  其實成功是真的靠朋友
[00:00:37.080 --> 00:00:40.360]  他說這個不是我特有的性格
[00:00:40.360 --> 00:00:42.120]  他說在工作環境裏面
[00:00:42.120 --> 00:00:45.320]  沒有朋友就孤長難鳴
[00:00:45.320 --> 00:00:46.640]  如果要成功
[00:00:46.640 --> 00:00:49.280]  人和人之間的關係
[00:00:49.280 --> 00:00:51.480]  是非常非常之重要
[00:00:51.480 --> 00:00:54.160]  他說朋友就好像雜遊一樣
[00:00:54.160 --> 00:00:55.760]  現在我們的雜遊
[00:00:55.760 --> 00:00:58.120]  跟他拍張照就像雜遊
[00:00:58.120 --> 00:01:00.040]  一直積聚回來的
[00:01:00.040 --> 00:01:02.440]  由小學到中學到大學
[00:01:02.440 --> 00:01:04.480]  到職場到官場
[00:01:04.480 --> 00:01:07.160]  到今天在港鐵
[00:01:07.160 --> 00:01:10.480]  社交的網絡是不斷地擴大
[00:01:10.480 --> 00:01:12.920]  他說對事業和很多方面
[00:01:12.920 --> 00:01:17.080]  其實都有很多很多的幫助
[00:01:17.080 --> 00:01:19.560]  上個星期黃牧師跟我們分享
[00:01:19.560 --> 00:01:21.760]  第一屆至到第四屆
[00:01:21.760 --> 00:01:25.320]  是人和神一個垂直的關係
[00:01:25.320 --> 00:01:27.600]  人的責任就是愛神
[00:01:27.600 --> 00:01:29.640]  今天我想跟大家分享
[00:01:29.640 --> 00:01:33.040]  第五屆至到第十屆
[00:01:33.040 --> 00:01:36.880]  就是人和人一個水平的正確關係
[00:01:36.880 --> 00:01:40.120]  人和人的責任就是愛人
[00:01:40.120 --> 00:01:42.840]  盡己愛神
[00:01:42.840 --> 00:01:45.920]  愛人如己
[00:01:45.920 --> 00:01:46.840]  但是弟兄姊妹
