
[00:00:00.000 --> 00:00:03.260]  剛纔Albert跟我說,要跟大家來分享
[00:00:03.260 --> 00:00:05.960]  如何面對人生苦難的問題
[00:00:05.960 --> 00:00:11.740]  我可以說,我觀察了很多人有苦難的經歷
[00:00:11.740 --> 00:00:14.300]  我絕對不是一個專家
[00:00:14.300 --> 00:00:18.840]  所以若是今天跟大家來分享到關於苦難的事情
[00:00:18.840 --> 00:00:22.060]  跟大家的經驗有所出入的話
[00:00:22.060 --> 00:00:27.840]  你就知道我仍然是一個苦難的門外看
[00:00:28.720 --> 00:00:32.640]  那若是在你們的深處有所共鳴的話
[00:00:32.640 --> 00:00:38.140]  我相信我們是在苦難當中的同路人
[00:00:38.140 --> 00:00:44.200]  若是你在今天裏面有特殊的心裏面的感受
[00:00:44.200 --> 00:00:47.640]  特別是關於苦難的這一個的事情
[00:00:47.640 --> 00:00:50.600]  我相信這個是神格外的恩典
[00:00:50.600 --> 00:00:52.200]  所以不管如何
[00:00:52.200 --> 00:00:54.860]  若是我今天沒有長對你的心
[00:00:54.860 --> 00:00:57.660]  我希望這個仍然是成爲你的祝福
[00:00:58.060 --> 00:01:01.180]  因爲至終人的言語還會有落差
[00:01:01.180 --> 00:01:03.320]  不管我們要聽多少
[00:01:03.320 --> 00:01:07.580]  不管神要在我們的生命當中要啓示多少
[00:01:07.580 --> 00:01:10.400]  我希望今天的分享
[00:01:10.400 --> 00:01:14.380]  不是因爲我要滿足一個牧師那種狂傲
[00:01:14.380 --> 00:01:17.260]  跟大家來講見證,或者講道
[00:01:17.260 --> 00:01:21.960]  是因爲我們的生命裏面真的有一個非常重要的部分
[00:01:21.960 --> 00:01:24.500]  我們不能好好對待的話
[00:01:24.500 --> 00:01:27.520]  會成爲我們生命中很大的虧損
[00:01:28.060 --> 00:01:30.440]  如何面對人生的苦難
[00:01:30.440 --> 00:01:33.620]  我相信有兩個層次我們需要面對的
[00:01:33.620 --> 00:01:36.240]  第一個就是你如何能面對
[00:01:36.240 --> 00:01:42.580]  神所給你在你裏面要處理的苦難
[00:01:42.580 --> 00:01:47.340]  這種的苦難是我不能跟你解釋
[00:01:47.340 --> 00:01:50.280]  你也不能夠傳染跟別人解釋
