
[00:00:00.000 --> 00:00:02.080]  好,我們再一次低頭禱告
[00:00:02.080 --> 00:00:05.240]  天父我們去仰望祢
[00:00:05.240 --> 00:00:07.620]  求祢的靈去指教我們
[00:00:07.620 --> 00:00:09.220]  讓我們明白
[00:00:09.220 --> 00:00:11.400]  由原以謙卑的跟從
[00:00:11.400 --> 00:00:13.960]  我們深相信,我們跟從祢的話
[00:00:13.960 --> 00:00:15.800]  我們的生命會改變
[00:00:15.800 --> 00:00:18.700]  求祢改變我們,奉耶穌基督的聖名
[00:00:18.700 --> 00:00:19.700]  阿們
[00:00:19.700 --> 00:00:22.640]  有一次呢,就去到紅磡一間的
[00:00:22.640 --> 00:00:24.760]  一間酒店裡吃自助餐
[00:00:24.760 --> 00:00:27.560]  是有個親戚請我和我太太去吃
[00:00:28.200 --> 00:00:31.060]  我第一次去那間酒店
[00:00:31.060 --> 00:00:33.520]  很大個那個
[00:00:33.520 --> 00:00:36.620]  那個餐廳很大,就是吃自助餐的地方
[00:00:36.620 --> 00:00:39.420]  很大,嘩,那張擺自助餐
[00:00:39.420 --> 00:00:43.200]  那張桌子,嘩,是幾十米那麼長
[00:00:43.200 --> 00:00:45.400]  我一生都沒見過那麼
[00:00:45.400 --> 00:00:47.680]  就是那麼多食物在我面前
[00:00:47.680 --> 00:00:50.880]  那到了結帳呢,我發覺,嘩,很貴的
[00:00:50.880 --> 00:00:54.020]  雖然我是被人請的,我都納到那張單
[00:00:54.020 --> 00:00:57.140]  嘩,很貴,四百多元一個人
[00:00:57.480 --> 00:00:59.540]  嘩,我覺得,嘩,真是
[00:00:59.540 --> 00:01:02.560]  吃一餐,我們兩夫婦都
[00:01:02.560 --> 00:01:04.280]  都很貴
[00:01:04.280 --> 00:01:07.540]  那我想想,我看回我吃過些什麼呢
[00:01:07.540 --> 00:01:09.900]  原來又是吃那三四碟
[00:01:09.900 --> 00:01:13.540]  又是吃那些東西,跟我去維景其實差不多
[00:01:13.540 --> 00:01:16.960]  吃那麼上下的量,吃那麼上下的東西
[00:01:16.960 --> 00:01:19.040]  為何貴那麼多呢
[00:01:19.040 --> 00:01:21.760]  原來就是,可以選擇
[00:01:21.760 --> 00:01:24.320]  你好像可以選擇,很多東西可以選擇
[00:01:24.320 --> 00:01:26.760]  但是你其實都是選擇那些東西
[00:01:27.560 --> 00:01:29.040]  原來可以選擇呢
[00:01:29.040 --> 00:01:32.600]  是要給代價,可以選擇呢
[00:01:32.600 --> 00:01:34.880]  是要付出的
[00:01:34.880 --> 00:01:38.940]  但是可以選擇是很重要,對很多人來說
[00:01:38.940 --> 00:01:40.420]  可以選擇是很重要
[00:01:40.420 --> 00:01:43.420]  在1976年呢,有兩個的心理學家呢
[00:01:43.420 --> 00:01:44.920]  就做了一個實驗
[00:01:44.920 --> 00:01:48.060]  一個就是美國哈佛的心理學教授呢
[00:01:48.060 --> 00:01:51.060]  他叫做Alan Langer,叫做蘭格教授
[00:01:51.060 --> 00:01:54.120]  一個就是耶魯的心理學家呢,叫做Judith Rodin
[00:01:54.120 --> 00:01:56.900]  叫做羅丹教授
[00:01:57.240 --> 00:02:01.340]  這兩位女士呢,就做了一個的研究
[00:02:01.340 --> 00:02:04.580]  她就找了一間的老人院
[00:02:04.580 --> 00:02:08.260]  就將那些老人家呢,就分開兩批
[00:02:08.260 --> 00:02:11.680]  而一批呢,就告訴他們聽
[00:02:11.680 --> 00:02:13.980]  為了你們著想呢
[00:02:13.980 --> 00:02:18.280]  將會有無微不至的關顧和服務
[00:02:18.280 --> 00:02:21.780]  無論起居、飲食、娛樂
[00:02:21.780 --> 00:02:24.020]  有妥善的代理和安排
[00:02:24.020 --> 00:02:26.020]  你們完全不用操心
[00:02:26.020 --> 00:02:27.720]  什麼都為你們做了
[00:02:27.720 --> 00:02:30.800]  另一組呢,的老人家呢
[00:02:30.800 --> 00:02:33.920]  你可以有老人院的基本服務
[00:02:33.920 --> 00:02:35.920]  有基本的照顧
[00:02:35.920 --> 00:02:38.820]  但是你要自己去規劃
[00:02:38.820 --> 00:02:40.820]  自己去選擇
[00:02:40.820 --> 00:02:44.380]  你有自我安排的決定和自由
[00:02:44.380 --> 00:02:49.080]  這個安排就去了三個星期
[00:02:49.080 --> 00:02:52.720]  三個星期之後呢,結果就很有趣了
[00:02:53.280 --> 00:02:57.020]  可以自己去規劃自己工作的那些老人家呢
[00:02:57.020 --> 00:02:59.820]  他們的表現是更加快樂
[00:02:59.820 --> 00:03:01.420]  更有活力
[00:03:01.420 --> 00:03:05.020]  更加樂於和人聊天、和人去溝通
[00:03:05.020 --> 00:03:08.020]  有九成以上的老人家呢
[00:03:08.020 --> 00:03:10.420]  無論在精神和體力上呢
[00:03:10.420 --> 00:03:12.220]  都得到提升
[00:03:12.220 --> 00:03:15.220]  這些是能夠自我安排的那些
[00:03:15.220 --> 00:03:19.220]  而另一組凡是聽命安排的老人家呢
[00:03:19.220 --> 00:03:23.220]  無論那些照顧是多麼無微不至呢
[00:03:23.220 --> 00:03:25.220]  只有兩成呢
[00:03:25.220 --> 00:03:30.220]  他們的狀態、狀況、健康精神有改進
[00:03:30.220 --> 00:03:33.220]  這個研究繼續做下去
[00:03:33.220 --> 00:03:35.220]  一直追蹤了一年半
[00:03:35.220 --> 00:03:38.720]  一年半之後呢,結果就更加有趣
