
[00:00:00.000 --> 00:00:02.820]  我們今天這個訊息題目是
[00:00:02.820 --> 00:00:07.400]  神的話是我腳前的燈 路上的光
[00:00:07.400 --> 00:00:09.400]  就是這105節
[00:00:09.400 --> 00:00:16.640]  就說到你的話是我腳前的燈 是我路上的光
[00:00:16.640 --> 00:00:21.960]  這一段經我們的主題呢
[00:00:21.960 --> 00:00:26.840]  就是要叫我們來默想這個神話語的一處
[00:00:27.840 --> 00:00:35.840]  然後再下來呢 到105節到106節講到神話語的引導
[00:00:35.840 --> 00:00:39.840]  祂說我們的光 是我們燈
[00:00:39.840 --> 00:00:44.840]  叫我們都能夠行走在這條數錢的道路上面
[00:00:44.840 --> 00:00:48.840]  107節到108節呢
[00:00:48.840 --> 00:00:53.840]  就講到在患難的時候 神的話是我們的幫助
[00:00:54.840 --> 00:00:58.840]  下來109節到114節呢
[00:00:58.840 --> 00:01:03.840]  就講到在受敵人攻擊的時候
[00:01:03.840 --> 00:01:06.840]  神的話是我們的保護
[00:01:06.840 --> 00:01:16.840]  110、111、111跟112這兩節聖經呢
[00:01:16.840 --> 00:01:21.840]  是講到應若有神的話呢 我們有喜惡的心
[00:01:21.840 --> 00:01:26.840]  所以這段話呢 這8節聖經的主題呢
[00:01:26.840 --> 00:01:33.840]  就講到神的話是我們腳前的燈 是我們路上的光
[00:01:33.840 --> 00:01:39.840]  這是講到神的話給我們的一處
[00:01:39.840 --> 00:01:44.840]  我們有新的足以後 我們怎麼走這條道路呢
[00:01:44.840 --> 00:01:48.840]  怎麼能夠到神那裡去呢
[00:01:48.840 --> 00:01:51.840]  我們生活怎麼過呢
[00:01:51.840 --> 00:01:54.840]  因為神賜給我們話語
[00:01:54.840 --> 00:01:58.840]  神把這份寶貴的聖經賜給我們
[00:01:58.840 --> 00:02:04.840]  所以教我們有神的話 做我們的光 做我們的引導
[00:02:04.840 --> 00:02:09.840]  我們需要有光 能夠看得見
[00:02:09.840 --> 00:02:13.840]  我們也需要有方向 我們能夠走得正確
[00:02:13.840 --> 00:02:19.840]  所以有神話語的人呢 是非常重要
[00:02:19.840 --> 00:02:25.840]  我們新的足 神把這樣的一份寶貴的聖經
[00:02:25.840 --> 00:02:27.840]  祂的話賜給我們
[00:02:27.840 --> 00:02:32.840]  這是我們非常重要的一個寶貝
[00:02:32.840 --> 00:02:37.840]  有了這個 我們可以走在神的道路上面
[00:02:41.840 --> 00:02:46.840]  這個是我們走這條路呢 也不是很容易
[00:02:46.840 --> 00:02:50.840]  因為今天特別是這個黑暗的時代
[00:02:50.840 --> 00:02:55.840]  所以我們更需要有神的話來照亮我們
[00:02:55.840 --> 00:02:59.840]  不然的話我們就會寸步難行
[00:02:59.840 --> 00:03:04.840]  感謝神 恩金是神的光
[00:03:04.840 --> 00:03:07.840]  祂不是一些哲學的道理
[00:03:07.840 --> 00:03:11.840]  祂也不是一般的處人的 為人的知識
