
[00:00:00.000 --> 00:00:03.000]  停不了的重站
[00:00:03.000 --> 00:00:06.000]  今天早上想跟大家一起思想
[00:00:06.000 --> 00:00:08.000]  在史堂行傳裏面
[00:00:08.000 --> 00:00:11.000]  保羅和他的宣教小隊
[00:00:11.000 --> 00:00:14.000]  細拉所經歷的一些事
[00:00:14.000 --> 00:00:17.000]  你看到他們的歌聲
[00:00:17.000 --> 00:00:19.000]  能夠帶動他們的生命
[00:00:19.000 --> 00:00:22.000]  和別人的生命有改變
[00:00:22.000 --> 00:00:24.000]  我們一起來去
[00:00:24.000 --> 00:00:27.000]  請聽我讀出今天的經文
[00:00:27.000 --> 00:00:29.000]  請聽我讀出
[00:00:29.000 --> 00:00:31.000]  約在半夜
[00:00:31.000 --> 00:00:34.000]  保羅和細拉禱告
[00:00:34.000 --> 00:00:36.000]  唱詩讚美神
[00:00:36.000 --> 00:00:39.000]  眾囚犯也則以耳聽
[00:00:39.000 --> 00:00:42.000]  忽然地帶震動
[00:00:42.000 --> 00:00:46.000]  甚至監牢的地基都搖動了
[00:00:46.000 --> 00:00:48.000]  監門立刻全開
[00:00:48.000 --> 00:00:52.000]  眾囚犯的鎖鏈也都鬆開了
[00:00:52.000 --> 00:00:54.000]  禁足一省
[00:00:54.000 --> 00:00:56.000]  看見監門全開
[00:00:56.000 --> 00:00:58.000]  以為囚犯已經逃走
[00:00:58.000 --> 00:01:01.000]  就拔刀要自殺
[00:01:01.000 --> 00:01:04.000]  保羅大聲呼叫說
[00:01:04.000 --> 00:01:06.000]  不要傷害自己
[00:01:06.000 --> 00:01:09.000]  我們都在這裏
[00:01:09.000 --> 00:01:11.000]  禁足叫人拿燈來
[00:01:11.000 --> 00:01:13.000]  就跳進去
[00:01:13.000 --> 00:01:15.000]  戰戰兢兢地
[00:01:15.000 --> 00:01:18.000]  俯伏在保羅、細拉面前
[00:01:18.000 --> 00:01:20.000]  又領他們出來說
[00:01:20.000 --> 00:01:22.000]  兩位先生
[00:01:22.000 --> 00:01:26.000]  我當怎樣行才可以得救?
[00:01:26.000 --> 00:01:28.000]  他們說
[00:01:28.000 --> 00:01:30.000]  當信主耶穌
[00:01:30.000 --> 00:01:33.000]  你和你一家都必得救
[00:01:33.000 --> 00:01:35.000]  他們就把主的道
[00:01:35.000 --> 00:01:38.000]  講給他和他全家的人聽
[00:01:38.000 --> 00:01:40.000]  當夜
[00:01:40.000 --> 00:01:41.000]  就在那時候
[00:01:41.000 --> 00:01:43.000]  禁足把他們帶去
[00:01:43.000 --> 00:01:45.000]  洗他們的傷
[00:01:45.000 --> 00:01:47.000]  他和屬乎他的人
[00:01:47.000 --> 00:01:49.000]  立時都受了洗
[00:01:49.000 --> 00:01:53.000]  於是禁足領他們上自己家裡去
[00:01:53.000 --> 00:01:55.000]  給他們擺上飯
[00:01:55.000 --> 00:01:58.000]  他和全家因為信了神
[00:01:58.000 --> 00:02:01.000]  都肯喜樂
[00:02:01.000 --> 00:02:03.000]  讓我們在聽道之前
[00:02:03.000 --> 00:02:07.000]  我們再一次地有禱告
[00:02:07.000 --> 00:02:11.000]  藉十字架請救我們生命的主
[00:02:11.000 --> 00:02:14.000]  我們再次來到祢的面前
[00:02:14.000 --> 00:02:17.000]  藉今日我們所獻情的詩歌
[00:02:17.000 --> 00:02:19.000]  我們所頌唱的
[00:02:19.000 --> 00:02:22.000]  祢歸榮耀給你
[00:02:22.000 --> 00:02:26.000]  求聖靈將人愛喜樂和平的真光
[00:02:26.000 --> 00:02:30.000]  再真實地放在我們的心裡
[00:02:30.000 --> 00:02:33.000]  好使我們聽到祢的話語
[00:02:33.000 --> 00:02:36.000]  我們按著祢的話而行
[00:02:36.000 --> 00:02:40.000]  好叫我們在彎曲薄茂的世代裡
[00:02:40.000 --> 00:02:42.000]  藉我們的生命
[00:02:42.000 --> 00:02:45.000]  有信心有能力
[00:02:45.000 --> 00:02:48.000]  去反照三一真神的榮光
[00:02:48.000 --> 00:02:53.000]  叫我們的生命不單止蒙祢祝福
[00:02:53.000 --> 00:02:55.000]  更加叫我們的生命
[00:02:55.000 --> 00:02:57.000]  能夠引動周遭的人
[00:02:57.000 --> 00:03:00.000]  因為我們這位生命的色彩
[00:03:00.000 --> 00:03:03.000]  而更多認識神祢自己
[00:03:03.000 --> 00:03:04.000]  願神藉著祢的話
[00:03:04.000 --> 00:03:07.000]  引導我們進入真理
[00:03:07.000 --> 00:03:09.000]  我們這樣禱告祈求
[00:03:09.000 --> 00:03:13.000]  是靠我們群陽大目者耶穌基督的明求
[00:03:13.000 --> 00:03:18.000]  阿門
[00:03:43.000 --> 00:03:46.000]  當在戰壕的當中
[00:03:46.000 --> 00:03:49.000]  首先在一個晚上
[00:03:49.000 --> 00:03:52.000]  一個漫漫長夜的晚上
[00:03:52.000 --> 00:03:55.000]  當英國的士兵當中有一位
[00:03:55.000 --> 00:03:57.000]  他思念家前
[00:03:57.000 --> 00:04:00.000]  感到生死兩茫茫
[00:04:00.000 --> 00:04:03.000]  明天不知會如何
[00:04:03.000 --> 00:04:08.000]  因為現在是一個近距離肉搏戰的開始
[00:04:08.000 --> 00:04:12.000]  所以想家又想到臨近聖誕
[00:04:12.000 --> 00:04:14.000]  不期然他就拿起
[00:04:14.000 --> 00:04:19.000]  在他身邊一支風笛吹起來
[00:04:19.000 --> 00:04:30.000]  當他吹起這個齊內宗主信徒
[00:04:30.000 --> 00:04:32.000]  在他吹的時候
[00:04:32.000 --> 00:04:36.000]  他的同袍和戰友聽見他這個笛聲
[00:04:36.000 --> 00:04:41.000]  不期然他們一起加入去唱這首歌
[00:04:41.000 --> 00:04:45.000]  但不知為何在對方的戰壕裡
[00:04:45.000 --> 00:04:47.000]  敵軍的戰壕裡
[00:04:47.000 --> 00:04:50.000]  德國士兵聽到這個風笛聲
[00:04:50.000 --> 00:04:54.000]  聽到歌聲
[00:04:54.000 --> 00:04:56.000]  他們加入去唱
[00:04:56.000 --> 00:05:00.000]  只不過他們是用自己的言語德文
[00:05:00.000 --> 00:05:04.000]  就是這樣歌聲響遍整個戰場
[00:05:04.000 --> 00:05:09.000]  更奇妙的是
[00:05:09.000 --> 00:05:12.000]  這麼一個英國士兵
[00:05:12.000 --> 00:05:15.000]  可能唱到莫極忘形
[00:05:15.000 --> 00:05:21.000]  拿著自己自製的聖誕樹點了一些燭光
[00:05:21.000 --> 00:05:27.000]  他很開心地向人宣佈聖誕節的平安
