
[00:00:00.000 --> 00:00:02.720]  那今天我的訊息也就是說
[00:00:02.720 --> 00:00:06.920]  讓我們明白什麼是洗禮
[00:00:06.920 --> 00:00:09.400]  很多時候我們不明白
[00:00:09.400 --> 00:00:13.400]  我們也不夠清楚什麼是洗禮
[00:00:13.400 --> 00:00:17.360]  因為我聽過有人要洗禮
[00:00:17.360 --> 00:00:21.400]  不信的配偶就說
[00:00:21.400 --> 00:00:23.720]  你洗禮你還不夠格啊
[00:00:23.720 --> 00:00:24.920]  你洗什麼禮
[00:00:25.800 --> 00:00:30.400]  給他一講原來有心願要洗禮的
[00:00:30.400 --> 00:00:32.600]  洗禮要夠格
[00:00:32.600 --> 00:00:34.200]  好像什麼格
[00:00:34.200 --> 00:00:36.000]  達到什麼標準
[00:00:36.000 --> 00:00:38.600]  有人說我們教會洗禮
[00:00:38.600 --> 00:00:41.600]  要上十二堂課才可以洗禮
[00:00:41.600 --> 00:00:47.800]  好像明白教整個教義才洗禮
[00:00:47.800 --> 00:00:52.800]  有人說要來教會六個月
[00:00:52.800 --> 00:00:54.200]  香港有一個教會
[00:00:54.200 --> 00:00:58.800]  要來我們教會崇拜六個月之後才可以洗禮
[00:00:58.800 --> 00:01:02.600]  那我們來看洗禮的真義是什麼
[00:01:02.600 --> 00:01:04.400]  什麼是洗禮
[00:01:04.400 --> 00:01:08.600]  今天我在前言裡面打出來
[00:01:08.600 --> 00:01:12.800]  新約的聖經裡面
[00:01:12.800 --> 00:01:20.000]  基督教會有兩個禮儀是必須遵守和遵行的
[00:01:20.000 --> 00:01:22.600]  第一個是洗禮
[00:01:22.600 --> 00:01:27.000]  洗禮在聖經裡面也可以用詩洗
[00:01:27.000 --> 00:01:29.600]  也可以用詩祭
[00:01:29.600 --> 00:01:32.400]  第二就是聖餐
[00:01:32.400 --> 00:01:40.200]  聖餐是紀念主為我們定食在十字架上
[00:01:40.200 --> 00:01:44.200]  所以有的也就是剝餅紀念主
[00:01:44.200 --> 00:01:51.000]  所以這兩個禮儀是在基督教會裡面必須持守
[00:01:51.000 --> 00:01:56.800]  必須經常遵循在聖經裡面的一個教導
[00:01:56.800 --> 00:02:00.800]  所以我希望今天這個信息
[00:02:00.800 --> 00:02:02.800]  我若講得清楚
[00:02:02.800 --> 00:02:06.600]  各位對洗禮可以明瞭
[00:02:06.600 --> 00:02:08.600]  若我沒有講得清楚
[00:02:08.600 --> 00:02:12.000]  可能我虧欠各位
[00:02:12.000 --> 00:02:16.400]  常常在禱告會主日學等等不同的團契
[00:02:16.400 --> 00:02:18.800]  我們會聽到一些問題
[00:02:18.800 --> 00:02:21.000]  因為聽到問題反而好
[00:02:21.000 --> 00:02:25.400]  也讓我在準備信息的時候知道如何去準備
[00:02:25.400 --> 00:02:27.800]  若是我們在任何的團契
[00:02:27.800 --> 00:02:31.000]  我們都不發問不討論
[00:02:31.000 --> 00:02:36.000]  那我們怎麼知道各位所明瞭的程度是什麼
[00:02:36.000 --> 00:02:38.200]  因為教會存在的目的
[00:02:38.200 --> 00:02:40.600]  不但是向外傳福音
[00:02:40.600 --> 00:02:45.600]  在內對信徒按照聖經的真理
[00:02:45.600 --> 00:02:48.800]  我們來教導
[00:02:48.800 --> 00:02:53.600]  第一個就是
[00:02:53.600 --> 00:02:56.800]  失洗約翰的洗禮是什麼
[00:02:56.800 --> 00:02:59.200]  我們常常會聽到有人問
[00:02:59.200 --> 00:03:01.400]  那失洗約翰的洗禮
[00:03:01.400 --> 00:03:06.800]  跟新約所講的要受洗
[00:03:06.800 --> 00:03:10.400]  這有什麼分別
[00:03:10.400 --> 00:03:12.600]  那我們來看一下
[00:03:12.600 --> 00:03:22.000]  馬太福音的第三章第一節到第二節
[00:03:22.000 --> 00:03:25.600]  馬太福音三章一二兩節
[00:03:25.600 --> 00:03:27.200]  我們一起來讀好嗎
[00:03:27.200 --> 00:03:30.400]  只要各位能看得清楚上面所打的
[00:03:30.400 --> 00:03:32.600]  我們一起來讀
[00:03:32.600 --> 00:03:34.000]  好一起來
[00:03:34.000 --> 00:03:44.800]  那時耶路撒冷和猶太全帝並約旦河一帶地方的人都出去到約翰那裡
[00:03:44.800 --> 00:03:46.800]  承認他們的罪
[00:03:46.800 --> 00:03:50.800]  在約旦河裡受他的洗
[00:03:50.800 --> 00:03:52.600]  在這裡
[00:03:52.600 --> 00:03:55.000]  失洗約翰的洗禮是什麼
[00:03:55.000 --> 00:03:56.600]  聖經講
[00:03:56.600 --> 00:03:59.200]  失洗約翰的洗禮
[00:03:59.200 --> 00:04:03.600]  是一個悔改的洗禮
[00:04:03.600 --> 00:04:10.200]  跟我們今天教會所施行的洗禮是不相同的
[00:04:10.200 --> 00:04:14.200]  失洗約翰出來的時候是為主耶穌鋪路
[00:04:14.200 --> 00:04:20.400]  失洗約翰出來是在主耶穌之前預備人心
[00:04:20.400 --> 00:04:23.800]  所以當時他出來傳講福音的時候
[00:04:23.800 --> 00:04:25.400]  天國盡了
[00:04:25.400 --> 00:04:29.400]  那麼應當悔改
[00:04:29.400 --> 00:04:33.000]  所以當人們聽到這樣的一個訊息
[00:04:33.000 --> 00:04:36.800]  當人民聽到這樣一個呼聲
[00:04:36.800 --> 00:04:41.400]  回應失洗約翰的訊息
[00:04:41.400 --> 00:04:44.400]  他們怎麼樣
[00:04:44.400 --> 00:04:47.800]  失洗約翰用洗禮
[00:04:47.800 --> 00:04:50.400]  失禁的方式
[00:04:50.400 --> 00:04:56.000]  讓他們可以來認同約翰的訊息
[00:04:56.000 --> 00:05:00.400]  所以是失洗約翰所
[00:05:00.400 --> 00:05:06.200]  施行的洗禮是悔改認罪的洗禮
[00:05:06.200 --> 00:05:11.200]  當失洗約翰這樣呼喊有人回應悔改
[00:05:11.200 --> 00:05:15.400]  主耶穌出來傳講福音的時候就不一樣
[00:05:15.400 --> 00:05:18.000]  當心裡已經準備好了
[00:05:18.000 --> 00:05:19.200]  應該悔改
[00:05:19.200 --> 00:05:20.600]  看這社會
[00:05:20.600 --> 00:05:22.000]  看國家
[00:05:22.000 --> 00:05:24.400]  看宗教遠離神
[00:05:24.400 --> 00:05:26.800]  我們應該悔改歸向神
[00:05:26.800 --> 00:05:28.400]  我們得罪神了
[00:05:28.400 --> 00:05:31.400]  當主耶穌出來傳福音的時候
[00:05:31.400 --> 00:05:33.800]  這些心裡預備好的人
[00:05:33.800 --> 00:05:39.200]  他們就可以接受天國的福音
[00:05:39.200 --> 00:05:44.600]  因為天國藉著神的兒子彌賽爾來傳講
[00:05:44.600 --> 00:05:47.400]  可是常常也有人會問
[00:05:47.400 --> 00:05:50.200]  那主耶穌他也受洗
