
[00:00:00.000 --> 00:00:03.000]  我們繼續坐在一起思想聖經的說話
[00:00:03.000 --> 00:00:10.000]  在看聖經之前 大家和我在一起再次祈禱
[00:00:10.000 --> 00:00:13.000]  主我們將心轉向祢
[00:00:13.000 --> 00:00:17.000]  我們知道我們需要祢自己的聖靈
[00:00:17.000 --> 00:00:19.000]  真理的聖靈
[00:00:19.000 --> 00:00:22.000]  上上引導我們明白真理
[00:00:22.000 --> 00:00:26.000]  因此今天求主自己再次接受祢自己的聖經
[00:00:26.000 --> 00:00:28.000]  來開啟我們的心思
[00:00:28.000 --> 00:00:31.000]  讓我們明白祢自己天國的真理
[00:00:31.000 --> 00:00:35.000]  也在裡面按著祢的心意而行
[00:00:35.000 --> 00:00:37.000]  我們等候祈禱
[00:00:37.000 --> 00:00:40.000]  奉耶穌名字求 阿們
[00:00:40.000 --> 00:00:43.000]  我們今天思想到馬太坊的一段經文
[00:00:43.000 --> 00:00:48.000]  大家在前翻開聖經 馬太坊第十九章的經文
[00:00:54.000 --> 00:00:59.000]  這段經文提及到人怎麼可以無因
[00:00:59.000 --> 00:01:02.000]  當我們很多時候在一些初信班
[00:01:02.000 --> 00:01:06.000]  或者在一些我們不同的查經班裡面
[00:01:06.000 --> 00:01:09.000]  都會常常提及一節經文
[00:01:09.000 --> 00:01:11.000]  大家很多會熟悉的
[00:01:11.000 --> 00:01:13.000]  而佛學書第二章第八節
[00:01:13.000 --> 00:01:19.000]  就提到我們得救是本乎因也因著順
[00:01:19.000 --> 00:01:25.000]  這並不是出於自己乃至神所賜的
[00:01:25.000 --> 00:01:27.000]  我們常常讀這節經講到
[00:01:27.000 --> 00:01:29.000]  得救不是因為我們自己
[00:01:29.000 --> 00:01:32.000]  憑著自己能夠得救
[00:01:32.000 --> 00:01:35.000]  是完全出乎因典
[00:01:35.000 --> 00:01:38.000]  但是很多時候聖經也勉勵我們
[00:01:38.000 --> 00:01:42.000]  不單是我們得救的時候知道是憑著因典
[00:01:42.000 --> 00:01:45.000]  在整個信仰的歷程裡面
[00:01:45.000 --> 00:01:49.000]  很清楚知道一切都是因典
[00:01:49.000 --> 00:01:52.000]  當時在聖經的新約的時候
[00:01:52.000 --> 00:01:55.000]  保羅勉勵一些教會的弟兄姊妹
[00:01:55.000 --> 00:01:59.000]  要小心不要走回原來的舊路
[00:01:59.000 --> 00:02:02.000]  在迦勒提書也在其中的第三章提及
