
[00:00:00.000 --> 00:00:02.780]  神的旨意是不是真的很難明白呢?
[00:00:02.780 --> 00:00:04.320]  (正在錄製該會議)
[00:00:04.320 --> 00:00:08.960]  那麼如何去明白神的心意呢?
[00:00:08.960 --> 00:00:11.860]  我們先要明白到
[00:00:11.860 --> 00:00:13.820]  我們要明白神的心意
[00:00:13.820 --> 00:00:15.000]  然後進行
[00:00:15.000 --> 00:00:16.780]  這是很重要的
[00:00:16.780 --> 00:00:18.800]  正如一個爸爸媽媽
[00:00:18.800 --> 00:00:21.380]  他也很愛惜自己的兒女
[00:00:21.380 --> 00:00:23.680]  他是會聽他的話的,是不是?
[00:00:23.680 --> 00:00:25.840]  所以我們要先看一看
[00:00:25.840 --> 00:00:29.560]  就是進行神的心意的重要性在哪裡?
[00:00:29.840 --> 00:00:32.320]  如果你留意到《馬太福音》第七章二十一節
[00:00:32.320 --> 00:00:34.760]  「凡稱呼我主呀主呀的人
[00:00:34.760 --> 00:00:36.360]  不能都進天國
[00:00:36.360 --> 00:00:39.980]  唯獨遵行天父旨意的人才能進去」
[00:00:39.980 --> 00:00:41.200]  如果你留意到有些人說
[00:00:41.200 --> 00:00:42.900]  我曾經跟隨過你的
[00:00:42.900 --> 00:00:44.860]  甚至我為你來大日去宣講
[00:00:44.860 --> 00:00:47.100]  也曾經來大日去行神蹟
[00:00:47.100 --> 00:00:48.720]  但實話我不認識你
[00:00:48.720 --> 00:00:49.800]  為什麼呢?
[00:00:49.800 --> 00:00:54.040]  因為你只是來大日去做你自己認為喜歡做的事情
[00:00:54.040 --> 00:00:56.500]  但是你沒有遵行天父的旨意
[00:00:56.500 --> 00:00:58.400]  這是一個很嚴重的問題
[00:00:58.700 --> 00:01:02.700]  而我們也很清楚知道《羅馬書》第一到第十一章
[00:01:02.700 --> 00:01:04.760]  講到今天我們的信仰
[00:01:04.760 --> 00:01:06.960]  我們是如何恩信稱義
[00:01:06.960 --> 00:01:09.060]  但是第十二章一開始的時候
[00:01:09.060 --> 00:01:11.980]  就講到信仰跟我們生活息息相關的
[00:01:11.980 --> 00:01:16.280]  它就說到今天我們要將自己獻上當作活祭
[00:01:16.280 --> 00:01:17.860]  昔日是怎麼樣呢?
[00:01:17.860 --> 00:01:21.520]  昔日是將那個祭身殺了來呈獻的
[00:01:21.520 --> 00:01:23.480]  但是現在因為耶穌基督的救贖
[00:01:23.480 --> 00:01:25.420]  所以我們不需要再獻祭身了
[00:01:25.420 --> 00:01:27.620]  但是我們要將自己獻上
[00:01:27.620 --> 00:01:29.680]  但是祂很特別強調第二節
[00:01:29.680 --> 00:01:31.520]  「不要下法藉這個世界
[00:01:31.520 --> 00:01:34.080]  只要心意更新而變化
[00:01:34.080 --> 00:01:36.580]  叫你測驗何謂神的善良
[00:01:36.580 --> 00:01:39.420]  純傳可喜悅的旨意」
[00:01:39.420 --> 00:01:43.520]  原來我們就需要來大日去了解神的心意
[00:01:43.520 --> 00:01:46.820]  還要是不斷地來大日去了解
[00:01:46.820 --> 00:01:49.200]  所以很清楚說到
[00:01:49.200 --> 00:01:51.200]  凡遵行天父旨意的人
[00:01:51.200 --> 00:01:54.640]  主耶穌說祂就是我的弟兄姊妹
[00:01:54.640 --> 00:01:58.040]  我們看到遵行天父旨意是很重要的
[00:01:58.040 --> 00:02:04.040]  是以致影響到我們在生活上更加美好豐盛
[00:02:04.040 --> 00:02:06.400]  我們遵行天父旨意的時候
[00:02:06.400 --> 00:02:08.740]  就使我們更加認識神
[00:02:08.740 --> 00:02:11.900]  我們就問哪些是神的心意呢?
[00:02:11.900 --> 00:02:14.320]  聖經裡面很清楚的
[00:02:14.320 --> 00:02:16.000]  是將神的心意
[00:02:16.000 --> 00:02:18.440]  基本最期望我們做到的事情
[00:02:18.440 --> 00:02:19.840]  就已經列出來了
[00:02:19.840 --> 00:02:23.000]  我只是用很少的時間
[00:02:23.000 --> 00:02:24.920]  和大家去看這些經文
[00:02:24.920 --> 00:02:26.520]  然後反而我們會探索
[00:02:26.520 --> 00:02:29.260]  神在我自己獨特的身上
[00:02:29.260 --> 00:02:30.320]  你有什麼計劃
[00:02:30.320 --> 00:02:31.600]  我怎麼去探討呢?
[00:02:31.600 --> 00:02:33.680]  我們就會在這方面來了解
[00:02:33.680 --> 00:02:34.180]  好了
[00:02:34.180 --> 00:02:35.360]  一些普遍的心意
[00:02:35.360 --> 00:02:37.340]  大家都很熟悉的
[00:02:37.340 --> 00:02:38.180]  第一
[00:02:38.180 --> 00:02:41.060]  就是要積極行善
[00:02:41.060 --> 00:02:43.860]  彼得前書第二章十五次很清楚說
[00:02:43.860 --> 00:02:45.000]  「因為神的旨意
[00:02:45.000 --> 00:02:47.240]  原是要你們行善
[00:02:47.240 --> 00:02:51.080]  可以堵住那糊塗無知人的口」
[00:02:51.080 --> 00:02:53.660]  行善是我們應有的生命
[00:02:53.660 --> 00:02:54.480]  記住
[00:02:54.480 --> 00:02:57.200]  我們不是做好事以致我們得救
[00:02:57.200 --> 00:02:59.080]  是我們已經得救了之後
[00:02:59.080 --> 00:03:03.560]  我們就需要有美麗的生命流露出來
[00:03:03.560 --> 00:03:05.540]  我們要積極行善
[00:03:05.540 --> 00:03:07.500]  我們不僅不行惡
[00:03:07.500 --> 00:03:09.500]  我們更加要行善
[00:03:09.500 --> 00:03:12.060]  《雅各書》第四章第十七次很清楚說
[00:03:12.060 --> 00:03:13.200]  「人若知道行善
[00:03:13.200 --> 00:03:13.840]  卻不去行」
[00:03:13.840 --> 00:03:15.140]  這就是他的罪
[00:03:15.140 --> 00:03:17.220]  所以我們要積極行善
[00:03:17.220 --> 00:03:18.420]  還有就是
[00:03:18.420 --> 00:03:20.360]  現在特別是在英國
[00:03:20.360 --> 00:03:23.540]  我們更加要有這個警醒
[00:03:23.540 --> 00:03:28.520]  神的旨意就是要你們成為聖潔遠避淫行
[00:03:28.520 --> 00:03:32.060]  要你們各人曉得如何用聖潔尊貴
[00:03:32.060 --> 00:03:34.060]  守住自己的身體
[00:03:34.060 --> 00:03:37.260]  如果大家在英國長久也會知道
[00:03:37.260 --> 00:03:38.540]  其實不僅是英國
[00:03:38.540 --> 00:03:41.480]  其實現在中國、香港也是這樣
[00:03:41.480 --> 00:03:46.020]  很多人不介意聖上的開放
[00:03:46.020 --> 00:03:48.380]  有些人可能很小的年紀
