
[00:00:00.000 --> 00:00:02.720]  在過去的日子裡
[00:00:02.720 --> 00:00:05.240]  我們自從2月2號開始
[00:00:05.240 --> 00:00:08.320]  「翻炒國節實體崇拜」就一直停下來
[00:00:08.320 --> 00:00:10.320]  是一個網上的敬拜
[00:00:10.320 --> 00:00:12.320]  已經有四個月的時間
[00:00:12.320 --> 00:00:14.800]  這是一個疫情的緣故
[00:00:14.800 --> 00:00:20.080]  其實不知道大家參與了這四個月的網上的敬拜
[00:00:20.080 --> 00:00:23.360]  要比較之前我們在實體崇拜
[00:00:23.360 --> 00:00:25.840]  今天特別在當中大家
[00:00:25.840 --> 00:00:28.560]  今天參與一個實體崇拜的時候
[00:00:28.560 --> 00:00:30.560]  你感覺會是怎樣呢
[00:00:30.560 --> 00:00:32.560]  有什麼分別呢
[00:00:32.560 --> 00:00:34.560]  有什麼不同呢
[00:00:34.560 --> 00:00:37.440]  之前我很感謝一位弟兄
[00:00:37.440 --> 00:00:40.160]  溫文傑弟兄幫我製作了一個短片
[00:00:40.160 --> 00:00:42.160]  訪問了一些弟兄姊妹
[00:00:42.160 --> 00:00:45.040]  分享一下他們對實體崇拜
[00:00:45.040 --> 00:00:49.520]  和網上崇拜的感覺是怎樣
[00:00:49.520 --> 00:00:53.600]  請音響的弟兄姊妹幫我播一播這套片出來
[00:00:53.600 --> 00:00:55.360]  大家感覺一下
[00:00:55.360 --> 00:00:57.360]  同時間你又感覺一下你自己
[00:00:57.360 --> 00:01:00.240]  在實體崇拜和網上崇拜
[00:01:00.240 --> 00:01:02.240]  你自己覺得有什麼分別
[00:01:02.240 --> 00:01:04.240]  覺得有什麼不錯
[00:01:04.240 --> 00:01:06.240]  有什麼一般的呢
[00:01:06.240 --> 00:01:08.240]  請音響的弟兄姊妹幫我播一播這套片出來
[00:01:27.360 --> 00:01:29.360]  現在進入崇拜
[00:01:29.360 --> 00:01:32.320]  我和太太坐在那裡對著電視機
[00:01:32.320 --> 00:01:34.320]  跟足整個程序
[00:01:34.320 --> 00:01:35.600]  直至結束
[00:01:35.600 --> 00:01:37.600]  在家裡很簡單
[00:01:37.600 --> 00:01:38.880]  站起來敬拜
[00:01:38.880 --> 00:01:40.240]  坐下聽道
[00:01:40.240 --> 00:01:42.240]  如果剛好那天要上班的話
[00:01:42.240 --> 00:01:44.240]  我就會找個時間
[00:01:44.240 --> 00:01:56.800]  我通常是早上崇拜的
[00:01:56.800 --> 00:01:58.800]  我會開了電腦
[00:01:58.800 --> 00:02:00.800]  坐在椅子上
[00:02:00.800 --> 00:02:02.800]  來崇拜
[00:02:02.800 --> 00:02:04.800]  通常我在家裡
[00:02:04.800 --> 00:02:06.800]  有時候會獨自一人
[00:02:06.800 --> 00:02:10.560]  或者會和我先生一起
[00:02:10.560 --> 00:02:12.560]  去做崇拜
[00:02:12.560 --> 00:02:14.560]  我和太太坐在那裡
[00:02:14.560 --> 00:02:16.560]  對著電視機
[00:02:16.560 --> 00:02:18.560]  跟足整個程序
[00:02:18.560 --> 00:02:20.560]  直至結束
[00:02:20.560 --> 00:02:22.560]  在家裡很簡單
[00:02:22.560 --> 00:02:24.560]  站起來敬拜
[00:02:24.560 --> 00:02:26.560]  坐下聽道
[00:02:26.560 --> 00:02:28.560]  我會找個時間在醫院宿舍
[00:02:28.560 --> 00:02:30.560]  進行網上崇拜
[00:02:30.560 --> 00:02:32.560]  去到聽道的時候
