
[00:00:00.000 --> 00:00:03.320]  在互聯網上有一個這樣的片段
[00:00:03.320 --> 00:00:06.280]  在看的時候有點緊張
[00:00:06.280 --> 00:00:10.280]  這個影片是從高空拍下去
[00:00:10.280 --> 00:00:17.040]  在一條很繁忙的高速公路當中
[00:00:17.040 --> 00:00:21.160]  有一羣正在移動的小生物
[00:00:21.160 --> 00:00:23.320]  要走過這個馬路
[00:00:23.320 --> 00:00:25.200]  看真一點
[00:00:25.200 --> 00:00:28.480]  原來是一羣鴨子
[00:00:30.880 --> 00:00:33.960]  美國的州際公路的車走得很快
[00:00:33.960 --> 00:00:35.160]  車又很大
[00:00:35.160 --> 00:00:37.520]  當車駛過的時候
[00:00:37.520 --> 00:00:41.080]  那些氣流拉到那些鴨子一撲一窿
[00:00:41.080 --> 00:00:42.080]  不過很有趣
[00:00:42.080 --> 00:00:43.600]  它們很快又歸隊
[00:00:43.600 --> 00:00:45.120]  看着鴨媽媽
[00:00:45.120 --> 00:00:46.360]  鴨媽媽向前走
[00:00:46.360 --> 00:00:48.200]  它們又跟着向前走
[00:00:48.200 --> 00:00:50.760]  一路看很緊張
[00:00:50.760 --> 00:00:52.320]  因爲這個小生命
[00:00:52.320 --> 00:00:54.280]  不知道能不能夠順利
[00:00:54.280 --> 00:00:56.440]  走過這條馬路
[00:00:56.440 --> 00:00:58.640]  馬路如虎口
[00:00:58.640 --> 00:01:00.600]  很令人害怕
[00:01:00.600 --> 00:01:03.160]  或者不想看到這些生命受損
[00:01:03.160 --> 00:01:05.320]  不過一路看一路看
[00:01:05.320 --> 00:01:07.600]  發覺一個的難關
[00:01:07.600 --> 00:01:08.840]  一個又是這樣過
[00:01:08.840 --> 00:01:09.800]  第二個又是這樣過
[00:01:09.800 --> 00:01:10.720]  結果呢
[00:01:10.720 --> 00:01:13.560]  竟然最終是很順利地
[00:01:13.560 --> 00:01:16.120]  能夠橫過了這個馬路
[00:01:16.120 --> 00:01:17.800]  鬆了一口氣
[00:01:17.800 --> 00:01:19.560]  我在想
[00:01:19.560 --> 00:01:24.400]  爲什麼這些鴨子這麼無懼呢
[00:01:24.400 --> 00:01:27.560]  可能因爲它們看着鴨媽媽
[00:01:28.000 --> 00:01:29.160]  但我就會想
[00:01:29.160 --> 00:01:32.000]  爲什麼鴨媽媽要帶它的鴨子
[00:01:32.000 --> 00:01:34.000]  橫過這個馬路呢
[00:01:34.000 --> 00:01:36.360]  或者在它做鴨子的時候
[00:01:36.360 --> 00:01:39.080]  它的鴨媽媽也曾經這樣帶過它
[00:01:39.080 --> 00:01:41.080]  橫過這個馬路也說不定
[00:01:41.080 --> 00:01:43.880]  跟着鴨媽媽
[00:01:43.880 --> 00:01:46.000]  就是鴨子的
[00:01:46.000 --> 00:01:48.000]  好像本能那樣
[00:01:48.000 --> 00:01:50.280]  等於說在我們的生命當中
[00:01:50.280 --> 00:01:52.680]  有沒有一些人是我們
[00:01:52.680 --> 00:01:55.680]  覺得它是我們經常想跟着的呢
[00:01:56.200 --> 00:01:58.200]  又或者在我們的生命當中
[00:01:58.200 --> 00:02:00.200]  我們會不會帶着一些人
[00:02:00.200 --> 00:02:03.200]  來走過人生的歷程呢
[00:02:03.200 --> 00:02:05.400]  早幾個星期呢
[00:02:05.400 --> 00:02:08.200]  我們同福的九龍西堂
[00:02:08.200 --> 00:02:10.200]  就有個獻堂禮
