
[00:00:00.000 --> 00:00:05.000]  教會今天要去處理很多很多的意見的不同
[00:00:05.000 --> 00:00:08.000]  要去判別神的心意
[00:00:08.000 --> 00:00:18.000]  我們有多少地步留給撒旦在我們中間破壞我們的關係
[00:00:18.000 --> 00:00:21.000]  七成會有子弟流失
[00:00:21.000 --> 00:00:26.000]  反映什麼的警方
[00:00:26.000 --> 00:00:31.000]  我很深印象我服侍一間教會裡面有一個很熱心的弟兄
[00:00:31.000 --> 00:00:33.000]  一對夫婦
[00:00:33.000 --> 00:00:37.000]  但他的兒子不願意回教會
[00:00:37.000 --> 00:00:40.000]  他要去做神父
[00:00:40.000 --> 00:00:44.000]  他要去信天主教
[00:00:44.000 --> 00:00:46.000]  背後是什麼原因呢
[00:00:46.000 --> 00:00:51.000]  背後就是因為領袖之間的意見的分歧
[00:00:51.000 --> 00:00:56.000]  跟著他們在回家路途上討論
[00:00:56.000 --> 00:01:02.000]  去分享這些困難
[00:01:02.000 --> 00:01:05.000]  這些思想
[00:01:05.000 --> 00:01:11.000]  不自覺地將信仰的黑暗面
[00:01:11.000 --> 00:01:13.000]  那種的論斷
[00:01:13.000 --> 00:01:17.000]  那種的批評
[00:01:17.000 --> 00:01:21.000]  進入他兒子的心裡
[00:01:21.000 --> 00:01:24.000]  小朋友覺得基督教
[00:01:24.000 --> 00:01:28.000]  甚至說浸信會沒有希望
[00:01:28.000 --> 00:01:31.000]  神只能在天主教裡找到
[00:01:31.000 --> 00:01:34.000]  要奉獻 要為主犧牲
[00:01:34.000 --> 00:01:38.000]  不值得留在自己的教會
[00:01:38.000 --> 00:01:42.000]  要去天主教的教會裡貢獻
[00:01:42.000 --> 00:01:44.000]  很悲哀的
[00:01:44.000 --> 00:01:49.000]  可能是因典 可能是一件好事
[00:01:49.000 --> 00:01:51.000]  你問我作為一個浸信會牧師
[00:01:51.000 --> 00:01:54.000]  我覺得很悲哀 很大的提醒
[00:01:54.000 --> 00:01:59.000]  這麼熱心愛主的一對夫婦
[00:01:59.000 --> 00:02:01.000]  卻是他們不自覺地
[00:02:01.000 --> 00:02:03.000]  留了地步給撒旦
[00:02:03.000 --> 00:02:05.000]  去破壞 破壞
[00:02:05.000 --> 00:02:07.000]  但神有因典 都挽回
[00:02:07.000 --> 00:02:09.000]  還是信耶穌
[00:02:09.000 --> 00:02:11.000]  還是要全心奉獻給神
[00:02:11.000 --> 00:02:16.000]  不過不在浸信會 不在基督教圈子裡
[00:02:42.000 --> 00:02:46.000]  聰明了 現在不用問了
[00:02:46.000 --> 00:02:48.000]  不給我們答案就懂了
[00:02:48.000 --> 00:02:51.000]  原來整個親福的系列
[00:02:51.000 --> 00:02:53.000]  是告訴我們
[00:02:53.000 --> 00:02:57.000]  神的因典 神的真理是夠我們用的
[00:02:57.000 --> 00:03:01.000]  我們是可以將這些已經破損了
[00:03:01.000 --> 00:03:05.000]  不斷有衝突 磨擦 偏見 成見 誤會的
[00:03:05.000 --> 00:03:08.000]  緊密關係去修補的
[00:03:08.000 --> 00:03:11.000]  這五個是一個基本的口訣
[00:03:11.000 --> 00:03:13.000]  今天會說到第四
[00:03:13.000 --> 00:03:15.000]  是預備我們能夠進入一個
[00:03:15.000 --> 00:03:17.000]  難阻基督徒成長的
[00:03:17.000 --> 00:03:20.000]  最大最大一個屬靈的難阻
[00:03:20.000 --> 00:03:22.000]  我們可以破慣
[00:03:22.000 --> 00:03:25.000]  你知不知道要做什麼
[00:03:25.000 --> 00:03:29.000]  最大基督徒屬靈的難阻
[00:03:29.000 --> 00:03:32.000]  是什麼事 知不知道
[00:03:32.000 --> 00:03:36.000]  不寬恕
[00:03:36.000 --> 00:03:38.000]  你要進入寬恕
[00:03:38.000 --> 00:03:42.000]  你要看到原來不只是別人有問題
[00:03:42.000 --> 00:03:44.000]  自己有問題
[00:03:44.000 --> 00:03:46.000]  你看到別人的不是的時候
[00:03:46.000 --> 00:03:48.000]  其實在你裡面有更大的問題
[00:03:48.000 --> 00:03:51.000]  撒旦可以藉著你去傷害別人
[00:03:51.000 --> 00:03:55.000]  傷害你自己 甚至傷害你的細蚊仔
[00:03:55.000 --> 00:03:57.000]  我們看不看到呢
[00:03:57.000 --> 00:03:59.000]  今天 我記得上次
[00:03:59.000 --> 00:04:01.000]  說第二講的時候問有多少人
[00:04:01.000 --> 00:04:05.000]  覺得自己是有一斤糧目的問題的時候
[00:04:05.000 --> 00:04:07.000]  不夠三分一的弟兄姊妹
[00:04:07.000 --> 00:04:09.000]  舉起他們的手來
[00:04:09.000 --> 00:04:11.000]  反映什麼
[00:04:11.000 --> 00:04:15.000]  真理進入不了他們的心靈
[00:04:15.000 --> 00:04:17.000]  他們在聖靈的光照底下
[00:04:17.000 --> 00:04:20.000]  仍然
[00:04:20.000 --> 00:04:22.000]  剛硬著自己的心說
[00:04:22.000 --> 00:04:24.000]  我沒有問題
[00:04:24.000 --> 00:04:27.000]  問題只在對方那裡
[00:04:27.000 --> 00:04:29.000]  弟兄姊妹
